"Sector","Year","fit","se.fit"
"Combined",1998,74.0596153988307,6.47359643452835
"Combined",1998.04008016032,74.0294024762369,6.4548640053476
"Combined",1998.08016032064,73.9991895540829,6.43615060245701
"Combined",1998.12024048096,73.9689766328079,6.41745639314584
"Combined",1998.16032064128,73.9387637128519,6.39878154632225
"Combined",1998.2004008016,73.9085507946545,6.38012623253234
"Combined",1998.24048096192,73.8783378786552,6.36149062397972
"Combined",1998.28056112224,73.8481249652938,6.34287489454658
"Combined",1998.32064128257,73.8179120550099,6.32427921981429
"Combined",1998.36072144289,73.787699148243,6.30570377708459
"Combined",1998.40080160321,73.7574862454328,6.2871487454023
"Combined",1998.44088176353,73.727273347019,6.26861430557747
"Combined",1998.48096192385,73.6970604534413,6.25010064020883
"Combined",1998.52104208417,73.6668475651391,6.23160793370709
"Combined",1998.56112224449,73.6366346825522,6.21313637231995
"Combined",1998.60120240481,73.6064218061204,6.19468614415675
"Combined",1998.64128256513,73.576208936283,6.17625743921367
"Combined",1998.68136272545,73.5459960734797,6.15785044940058
"Combined",1998.72144288577,73.5157832181505,6.1394653685675
"Combined",1998.76152304609,73.4855703707346,6.12110239253174
"Combined",1998.80160320641,73.4553575316717,6.10276171910654
"Combined",1998.84168336673,73.4251447014017,6.08444354812956
"Combined",1998.88176352705,73.394931880364,6.0661480814919
"Combined",1998.92184368737,73.3647190689983,6.0478755231688
"Combined",1998.9619238477,73.3345062677444,6.02962607925004
"Combined",1999.00200400802,73.3042934770416,6.0113999579711
"Combined",1999.04208416834,73.2740806973712,5.99319736981839
"Combined",1999.08216432866,73.2438679293573,5.97501852774639
"Combined",1999.12224448898,73.2136551736549,5.95686364702401
"Combined",1999.1623246493,73.1834424309183,5.93873294521031
"Combined",1999.20240480962,73.1532297018026,5.9206266421835
"Combined",1999.24248496994,73.1230169869627,5.90254496016955
"Combined",1999.28256513026,73.0928042870531,5.88448812377111
"Combined",1999.32264529058,73.0625916027287,5.86645635999782
"Combined",1999.3627254509,73.0323789346445,5.84844989829606
"Combined",1999.40280561122,73.002166283455,5.83046897057914
"Combined",1999.44288577154,72.971953649815,5.81251381125879
"Combined",1999.48296593186,72.9417410343797,5.79458465727621
"Combined",1999.52304609218,72.9115284378033,5.77668174813343
"Combined",1999.56312625251,72.881315860741,5.75880532592613
"Combined",1999.60320641283,72.8511033038476,5.74095563537588
"Combined",1999.64328657315,72.8208907677776,5.72313292386282
"Combined",1999.68336673347,72.790678253186,5.70533744145972
"Combined",1999.72344689379,72.7604657607277,5.68756944096553
"Combined",1999.76352705411,72.7302532910572,5.66982917793931
"Combined",1999.80360721443,72.7000408448295,5.65211691073561
"Combined",1999.84368737475,72.6698284226993,5.6344329005392
"Combined",1999.88376753507,72.6396160253217,5.61677741140083
"Combined",1999.92384769539,72.6094036533509,5.59915071027286
"Combined",1999.96392785571,72.5791913074421,5.58155306704637
"Combined",2000.00400801603,72.5489789882502,5.56398475458776
"Combined",2000.04408817635,72.518766696461,5.5464460489126
"Combined",2000.08416833667,72.4885544328538,5.52893722949551
"Combined",2000.12424849699,72.4583421982249,5.51145857897447
"Combined",2000.16432865731,72.4281299933705,5.49401038310496
"Combined",2000.20440881764,72.3979178190868,5.47659293078998
"Combined",2000.24448897796,72.3677056761705,5.45920651410969
"Combined",2000.28456913828,72.3374935654174,5.4418514283514
"Combined",2000.3246492986,72.307281487624,5.42452797204101
"Combined",2000.36472945892,72.2770694435868,5.40723644697401
"Combined",2000.40480961924,72.2468574341018,5.38997715824691
"Combined",2000.44488977956,72.2166454599653,5.37275041429004
"Combined",2000.48496993988,72.1864335219739,5.35555652689993
"Combined",2000.5250501002,72.1562216209234,5.33839581127215
"Combined",2000.56513026052,72.1260097576105,5.32126858603549
"Combined",2000.60521042084,72.0957979328313,5.30417517328566
"Combined",2000.64529058116,72.0655861473824,5.28711589861996
"Combined",2000.68537074148,72.0353744020596,5.2700910911719
"Combined",2000.7254509018,72.0051626976595,5.25310108364721
"Combined",2000.76553106212,71.9749510349785,5.23614621235945
"Combined",2000.80561122244,71.9447394148126,5.21922681726604
"Combined",2000.84569138277,71.9145278379581,5.20234324200565
"Combined",2000.88577154309,71.8843163052117,5.18549583393516
"Combined",2000.92585170341,71.8541048173692,5.16868494416701
"Combined",2000.96593186373,71.8238933752271,5.15191092760793
"Combined",2001.00601202405,71.793681979582,5.1351741429976
"Combined",2001.04609218437,71.763470631256,5.11847495313286
"Combined",2001.08617234469,71.7332593311393,5.10181372521151
"Combined",2001.12625250501,71.7030480801328,5.08519083048137
"Combined",2001.16633266533,71.6728368791369,5.06860664419897
"Combined",2001.20641282565,71.6426257290523,5.05206154566346
"Combined",2001.24649298597,71.6124146307797,5.03555591824962
"Combined",2001.28657314629,71.5822035852201,5.01909014944154
"Combined",2001.32665330661,71.5519925932736,5.00266463086592
"Combined",2001.36673346693,71.5217816558413,4.98627975832636
"Combined",2001.40681362725,71.4915707738239,4.96993593183688
"Combined",2001.44689378758,71.4613599481219,4.95363355565554
"Combined",2001.4869739479,71.4311491796359,4.93737303831891
"Combined",2001.52705410822,71.4009384692669,4.92115479267573
"Combined",2001.56713426854,71.3707278179153,4.90497923592065
"Combined",2001.60721442886,71.3405172264817,4.88884678962874
"Combined",2001.64729458918,71.3103066958673,4.87275787978909
"Combined",2001.6873747495,71.2800962269721,4.85671293683854
"Combined",2001.72745490982,71.2498858206972,4.84071239569598
"Combined",2001.76753507014,71.2196754779434,4.82475669579584
"Combined",2001.80761523046,71.1894651996109,4.80884628112145
