"Species","Habitat"
"AMBERJACKS **",NA
"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",NA
"BLACK MARLIN",NA
"CRABS, DECAPODA (ORDER) **",NA
"CRUSTACEANS **",NA
"DOLPHINFISH ",NA
"EELS **",NA
"EMPERORS **",NA
"ESCOLAR ",NA
"GOATFISHES **",NA
"GROUPERS, SERRANIDAE (FAMILY) **",NA
"JACKS **",NA
"JOBFISH, GREEN /UKU ",NA
"LEATHERSKIN, LARGEMOUTHED ",NA
"LIMPETS **",NA
"LOBSTER, BANDED SPINY ",NA
"LOBSTERS, SLIPPER **",NA
"MARLIN, BLUE ",NA
"MILKFISH ",NA
"MULLET, STRIPED ",NA
"MULLETS **",NA
"OCTOPUSES **",NA
"OILFISH ",NA
"OPAH ",NA
"PARROTFISHES **",NA
"POMFRETS **",NA
"RUDDERFISH **",NA
"RUNNER, RAINBOW ",NA
"SAILFISH ",NA
"SCAD, BIGEYE ",NA
"SCAD, MACKEREL ",NA
"SCORPIONFISHES **",NA
"SEAWEED",NA
"SHARKS, CHONDRICHTHYES (CLASS) **",NA
"SHRIMP, MARINE **",NA
"SNAPPER, GLASSEYE ",NA
"SNAPPERS, LUTJANIDAE (FAMILY) **",NA
"SPEARFISHES **",NA
"SQUIDS, LOLIGINIDAE **",NA
"SQUIRRELFISHES **",NA
"STRIPED MARLIN",NA
"SURGEONFISHES **",NA
"SWORDFISH ",NA
"TENPOUNDER, HAWAIIAN",NA
"THREADFINS **",NA
"TRIGGERFISHES **",NA
"TUNA, ALBACORE ",NA
"TUNA, BIGEYE ",NA
"TUNA, KAWAKAWA ",NA
"TUNA, SKIPJACK ",NA
"TUNA, YELLOWFIN ",NA
"TUNAS **",NA
"VERTEBRATES, JAWED",NA
"WAHOO ",NA
"SHARKS, MAKO **",NA
"HERRING, ROUND ",NA
"JACK, BLACK ",NA
"SHARKS, THRESHER **",NA
"ALFONSINO ",NA
"SUNFISH, OCEAN ",NA
"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",NA
"BILLFISHES **",NA
"CORALS **",NA
"HERRING, LAKE OR CISCO ",NA
"MACKEREL, FRIGATE ",NA
"SHARKS, HAMMERHEAD **",NA
"TILAPIAS **",NA
"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",NA
"CABRILLA, SPOTTED ",NA
"FLYINGFISHES **",NA
"MACKEREL, CHUB ",NA
"JACK, ALMACO ",NA
"CUCUMBERS, SEA **",NA
"HERRINGS **",NA
"SHARK, WHITETIP, OCEANIC ",NA
"MACKEREL, SNAKE ",NA
"RAYS **",NA
"PUFFERS, SPHOEROIDES (GENUS) **",NA
"SQUID, JUMBO ",NA
"SHRIMPS, PENAEOID **",NA
"SNAPPER, RED ",NA
"TUNA, BLUEFIN PACIFIC ",NA
"LOBSTER, CARIBBEAN SPINY ",NA
"SHRIMPS, PENAEID **",NA
"SEA BASS, GIANT ",NA
"TUNA, LITTLE TUNNY ",NA
