Species,Name Flipped,Habitat
GREEN JOBFISH,JOBFISH GREEN,Reef
SMALLTOOTH JOBFISH,JOBFISH SMALLTOOTH,Reef
KAWAKAWA,KAWAKAWA,Pelagic
LEATHERBACK,LEATHERBACK,Reef
HAWAIIAN LIONFISH,LIONFISH HAWAIIAN,Reef
SLENDER LIZARDFISH,LIZARDFISH SLENDER,Reef
FRIGATE MACKEREL,MACKEREL FRIGATE,Pelagic
BLACK MARLIN,MARLIN BLACK,Pelagic
BLUE MARLIN,MARLIN BLUE,Pelagic
STRIPED MARLIN,MARLIN STRIPED,Pelagic
MILKFISH,MILKFISH,Reef
DRAGON MORAY,MORAY DRAGON,Reef
NEEDLE-TOOTH MORAY,MORAY NEEDLE-TOOTH,Reef
SHARPNOSE MULLET,MULLET SHARPNOSE,Freshwater
STRIPED MULLET,MULLET STRIPED,Freshwater
SUMMER MULLET,MULLET SUMMER,Freshwater
NEEDLEFISH,NEEDLEFISH,Reef
KEELTAIL NEEDLEFISH,NEEDLEFISH KEELTAIL,Reef
OILFISH,OILFISH,Pelagic
BANDTAIL PARROTFISH,PARROTFISH BANDTAIL,Reef
BULLETHEAD PARROTFISH,PARROTFISH BULLETHEAD,Reef
PALENOSE PARROTFISH,PARROTFISH PALENOSE,Reef
REDLIP PARROTFISH,PARROTFISH REDLIP,Reef
REGAL PARROTFISH,PARROTFISH REGAL,Reef
SPECTACLED PARROTFISH,PARROTFISH SPECTACLED,Reef
STAREYE PARROTFISH,PARROTFISH STAREYE,Reef
YELLOWBAR PARROTFISH,PARROTFISH YELLOWBAR,Reef
POMFRETS,POMFRETS,Reef
AFRICAN POMPANO,POMPANO AFRICAN,Reef
PORCUPINEFISH,PORCUPINEFISH,Reef
SPINY PORCUPINEFISH,PORCUPINEFISH SPINY,Reef
STRIPEBELLY PUFFER,PUFFER STRIPEBELLY,Reef
PUFFERS,PUFFERS,Reef
BLACKSIDE RAZORFISH,RAZORFISH BLACKSIDE,Reef
PEACOCK RAZORFISH,RAZORFISH PEACOCK,Reef
HIGHFIN RUDDERFISH,RUDDERFISH HIGHFIN,Reef
RAINBOW RUNNER,RUNNER RAINBOW,Reef
SAILFISH,SAILFISH,Pelagic
HAWAIIAN SURF SARDINE,SARDINE HAWAIIAN SURF ,Reef
BIGEYE SCAD,SCAD BIGEYE,Reef
MACKEREL SCAD,SCAD MACKEREL,Reef
DEVIL SCORPIONFISH,SCORPIONFISH DEVIL,Reef
LARGE HEADED SCORPIONFISH,SCORPIONFISH LARGE HEADED ,Pelagic
SPECKLED SCORPIONFISH,SCORPIONFISH SPECKLED,Reef
TITAN SCORPIONFISH,SCORPIONFISH TITAN,Reef
BLACKSPOT SERGEANT,SERGEANT BLACKSPOT,Reef
HAWAIIAN SERGEANT,SERGEANT HAWAIIAN,Reef
BLACK-TIPPED REEF SHARK,SHARK BLACK-TIPPED REEF ,Reef
GALAPAGOS SHARK,SHARK GALAPAGOS,Reef
GRAY REEF SHARK,SHARK GRAY REEF ,Reef
SANDBAR SHARK,SHARK SANDBAR,Reef
SCALLOPED HAMMERHEAD SHARK,SHARK SCALLOPED HAMMERHEAD ,Reef
WHITE TIP REEF SHARK,SHARK WHITE TIP REEF ,Reef
HAWAIIAN SILVERSIDE,SILVERSIDE HAWAIIAN,Reef
BINGHAMS SNAPPER,SNAPPER BINGHAMS,Pelagic
BLACKTAIL SNAPPER,SNAPPER BLACKTAIL,Reef
BLUESTRIPE SNAPPER,SNAPPER BLUESTRIPE,Reef
GLASSEYE SNAPPER,SNAPPER GLASSEYE,Reef
IRONJAW SNAPPER,SNAPPER IRONJAW,Pelagic
LONGTAILED RED SNAPPER,SNAPPER LONGTAILED RED ,Reef
PINK SNAPPER,SNAPPER PINK,Pelagic
RUBY SNAPPER,SNAPPER RUBY,Pelagic
VON SIEBOLDS SNAPPER,SNAPPER VON SIEBOLDS ,Pelagic
BIGSCALE SOLDIERFISH,SOLDIERFISH BIGSCALE,Reef
BRICK SOLDIERFISH,SOLDIERFISH BRICK,Reef
EPAULETTE SOLDIERFISH,SOLDIERFISH EPAULETTE,Reef
ROUGHSCALE SOLDIERFISH,SOLDIERFISH ROUGHSCALE,Reef
WHITETIP SOLDIERFISH,SOLDIERFISH WHITETIP,Reef
YELLOWFIN SOLDIERFISH,SOLDIERFISH YELLOWFIN,Reef
SOLES,SOLES,Reef
SHORTBILL SPEARFISH,SPEARFISH SHORTBILL,Pelagic
HAWAIIAN SQUIRRELFISH,SQUIRRELFISH HAWAIIAN,Reef
SABER SQUIRRELFISH,SQUIRRELFISH SABER,Reef
TAHITIAN SQUIRRELFISH,SQUIRRELFISH TAHITIAN,Reef
BLACK SURGEONFISH,SURGEONFISH BLACK,Reef
BLUELINED SURGEONFISH,SURGEONFISH BLUELINED,Reef
BROWN SURGEONFISH,SURGEONFISH BROWN,Reef
EYESTRIPED SURGEONFISH,SURGEONFISH EYESTRIPED,Reef
UNICORN SURGEONFISH GENUS,SURGEONFISH GENUS UNICORN,Reef
GOLDRING SURGEONFISH,SURGEONFISH GOLDRING,Reef
ORANGEBAND SURGEONFISH,SURGEONFISH ORANGEBAND,Reef
RINGTAIL SURGEONFISH,SURGEONFISH RINGTAIL,Reef
WHITE BAR SURGEONFISH,SURGEONFISH WHITE BAR ,Reef
YELLOWFIN SURGEONFISH,SURGEONFISH YELLOWFIN,Reef
ACHILLES TANG,TANG ACHILLES,Reef
CONVICT TANG,TANG CONVICT,Reef
SAILFIN TANG,TANG SAILFIN,Reef
YELLOW TANG,TANG YELLOW,Reef
HAWAIIAN TENPOUNDER,TENPOUNDER HAWAIIAN,Reef
SIX-FINGERED THREADFIN,THREADFIN SIX-FINGERED,Reef
TILAPIA,TILAPIA,Freshwater
AMBON TOBY,TOBY AMBON,Reef
BIGEYE TREVALLY,TREVALLY BIGEYE,Reef
BLACK TREVALLY,TREVALLY BLACK,Reef
BLUEFIN TREVALLY,TREVALLY BLUEFIN,Reef
GIANT TREVALLY,TREVALLY GIANT,Reef
GOLDEN TREVALLY,TREVALLY GOLDEN,Reef
WHITEMOUTH TREVALLY,TREVALLY WHITEMOUTH,Reef
BLACK TRIGGERFISH,TRIGGERFISH BLACK,Reef
LAGOON TRIGGERFISH,TRIGGERFISH LAGOON,Reef
LEI TRIGGERFISH,TRIGGERFISH LEI,Reef
REEF TRIGGERFISH,TRIGGERFISH REEF,Reef
TRUMPETFISH,TRUMPETFISH,Reef
BIGEYE TUNA,TUNA BIGEYE,Pelagic
BLUEFIN TUNA,TUNA BLUEFIN,Pelagic
SKIPJACK TUNA,TUNA SKIPJACK,Pelagic
YELLOWFIN TUNA,TUNA YELLOWFIN,Pelagic
WHITEMARGIN UNICORN FISH,UNICORN FISH WHITEMARGIN,Reef
BLUE SPINE UNICORNFISH,UNICORNFISH BLUE SPINE ,Reef
ORANGESPINE UNICORNFISH,UNICORNFISH ORANGESPINE,Reef
