"Year","Species","Pounds","Dollars","Habitat"
1986,"TUNA, YELLOWFIN",2500000,7557490.67541455,"Pelagic"
1986,"TUNA, LITTLE TUNNY",15000,34723.6058059587,"Pelagic"
1986,"VERTEBRATES, JAWED",1614000,6489229.15561947,"Jawed Vertebrates"
1986,"LOBSTER, CARIBBEAN SPINY",1146000,7559533.24046196,"NWHI"
1986,"SNAPPERS, LUTJANIDAE (FAMILY) **",657000,3509126.75144924,"Deep"
1986,"SHARKS, CHONDRICHTHYES (CLASS) **",14000,34723.6058059587,"Pelagic"
1987,"CORALS **",12000,123592.675920444,"Reef"
1987,"SWORDFISH",12000,69770.0589873473,"Pelagic"
1987,"MULLETS **",7000,31894.8841085016,"Fishpond"
1987,"SNAPPER, RED",419000,3255271.60932395,"Deep"
1987,"TUNA, BIGEYE",1683000,8101300.56355942,"Pelagic"
1987,"BILLFISHES **",635000,1096386.64122974,"Pelagic"
1987,"SPEARFISHES **",23000,71763.4892441287,"Pelagic"
1987,"TUNA, ALBACORE",685000,1784120.07981931,"Pelagic"
1987,"TUNA, SKIPJACK",3300000,6977005.89873473,"Pelagic"
1987,"SEA BASS, GIANT",2e+05,643877.972940377,"Deep"
1987,"TUNA, YELLOWFIN",5233000,14910858.3207245,"Pelagic"
1987,"TUNA, LITTLE TUNNY",8000,15947.4420542508,"Pelagic"
1987,"VERTEBRATES, JAWED",2069000,7744476.54759555,"Jawed Vertebrates"
1987,"SHRIMPS, PENAEID **",8000,65783.1984737846,"Deep"
1987,"LOBSTER, CARIBBEAN SPINY",528000,4965634.76964235,"NWHI"
1987,"CRABS, DECAPODA (ORDER) **",24000,147513.83900182,"Reef"
1987,"SNAPPERS, LUTJANIDAE (FAMILY) **",711000,4447342.9028792,"Deep"
1987,"SHARKS, CHONDRICHTHYES (CLASS) **",9000,19934.3025678135,"Pelagic"
1988,"TUNAS **",5000,7702.20247147886,"Pelagic"
1988,"SWORDFISH",20000,48138.7654467429,"Pelagic"
1988,"MULLETS **",6000,26957.708650176,"Fishpond"
1988,"SNAPPER, RED",2e+05,878051.08174859,"Deep"
1988,"TUNA, BIGEYE",3e+06,19236250.6725185,"Pelagic"
1988,"CRUSTACEANS **",331000,2133510.08459964,"Reef"
1988,"TUNA, ALBACORE",7e+05,1752251.06226144,"Pelagic"
1988,"TUNA, SKIPJACK",5e+06,10879360.9909639,"Pelagic"
1988,"SEA BASS, GIANT",175000,589218.489068133,"Deep"
1988,"TUNA, YELLOWFIN",4e+06,13863964.448662,"Pelagic"
1988,"VERTEBRATES, JAWED",5180000,14994262.6613515,"Jawed Vertebrates"
1988,"LOBSTER, CARIBBEAN SPINY",1200000,8472422.71862675,"NWHI"
1988,"SNAPPERS, LUTJANIDAE (FAMILY) **",1300000,3629662.91468441,"Deep"
1988,"SHARKS, CHONDRICHTHYES (CLASS) **",14000,26957.708650176,"Pelagic"
1989,"SAILFISH",6000,14822.1991236115,"Pelagic"
1989,"TUNAS **",16000,35202.7229185774,"Pelagic"
1989,"SWORDFISH",629000,2529037.72546622,"Pelagic"
1989,"SNAPPER, RED",750000,4996933.87954754,"Deep"
1989,"TUNA, BIGEYE",3424000,21972057.4258636,"Pelagic"
1989,"BILLFISHES **",3051000,4917264.55925813,"Pelagic"
1989,"CRUSTACEANS **",571000,4185418.47752981,"Reef"
1989,"SPEARFISHES **",315000,600299.064506267,"Pelagic"
1989,"TUNA, ALBACORE",601000,1378464.51849587,"Pelagic"
1989,"TUNA, SKIPJACK",3347000,6708897.87832467,"Pelagic"
1989,"SEA BASS, GIANT",94000,448371.523489249,"Deep"
1989,"TUNA, YELLOWFIN",6688000,18620387.649037,"Pelagic"
