"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,13.396,45.0610231381368,4.82246967425788,5.59935310234964
1982,14.245,33.3860074337329,5.78807369081187,6.75672033387162
1983,28.829,39.8646625891947,3.09808580482915,4.45522935296292
1984,34.824,63.2080908854425,3.63925073658786,5.06710231926074
1985,16.987,45.8895487195474,6.7145066675926,8.73382301573721
1986,10.59,41.0187912820743,8.09130212846666,8.36386210285783
1987,15.566,54.4724751968072,6.87059036096561,7.98659293725139
1988,21.131,76.5387115097034,6.61849262527682,6.87278598425145
1989,24.397,87.282372314277,8.69045100821536,8.71983217597938
1990,26.582,116.092936627299,8.27022147683709,7.96948313841579
1991,27.662,99.679252137824,7.02872753093681,6.70354633556879
1992,27.893,118.602572612381,6.85368470372576,5.84803673130261
1993,34.582,113.978241118585,7.20288635835706,6.72168427621202
1994,27.09,100.884877321676,8.01506555727734,7.00829059586166
1995,29.892,94.6897496997692,8.79150457701795,7.7397472402034
1996,31.87,99.889766644333,8.87764777971851,7.66285800570288
1997,36.568,104.923958599229,7.63728478994328,7.35981588746106
1998,36.42603,93.7444967869498,7.18019734045092,6.65979551770004
1999,36.90684,96.1545499633837,7.67272989042941,7.09337198490558
2000,32.53133,99.6899396472347,7.21261514966568,6.16255628091211
2001,23.870471,77.7115238188814,6.28283742584224,5.50730961283763
2002,23.847956,73.1633260018822,9.10242065760264,6.86044311395956
2003,23.561942,72.1738416941917,10.9991801072409,7.40298174960457
2004,24.393499,76.914459628615,9.66933949950907,7.27757793798461
2005,28.146339,92.0139368521975,9.57336706177551,6.90774769332304
2006,26.027451,84.1665966216339,9.73225022244688,6.97725464087165
2007,28.938499,92.8875220133314,8.22045360556425,6.13988765054403
2008,30.657844,102.205652254389,8.50040757747778,5.64379584258241
2009,26.912368,85.2109732046905,9.13544186455142,6.34165178739883
2010,28.073224,99.3687370672566,8.01999740277136,5.42601447930071
2011,29.29255,106.045100598843,8.46030688120367,5.69853285855391
2012,31.052943,127.659569069666,8.30697281752481,5.75486943024162
2013,32.453284,120.65080588786,7.86302587120039,5.27303784462956
2014,33.478755,111.07028496614,7.85406577672721,5.45468697235879
2015,34.624935,112.259579783789,6.14431268740638,3.87186442048142
2016,35.055268,127.007438089056,7.10044941865765,5.0616425358441
2017,37.166095,122.788695787,6.97744280682654,5.36539983385604
2018,35.496725,122.740463989004,6.84055503224662,4.81832473595615
2019,34.684461,111.063070297769,6.92419504396376,4.88472669809006
2020,27.26403,83.854598,5.18921232314317,4.24949465144162
