"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv"
1981,0.085,0.417732246345472,2.55200183037415,2.11725492697088
1982,0.085,0.361029887679352,3.15793122569061,3.44878443010811
1983,0.093,0.345273955147809,2.06451491638084,2.09794342288848
1984,0.3,1.75637746593451,1,1
1985,0.799,4.80942141697918,1,1
1986,1.178,5.17994496023008,1,1
1987,0.036,0.271106514922264,1.88988157484231,1.99221957215837
1988,0.331,2.13351008459964,1,1
1989,0.571,4.18541847752981,1,1
1990,0.449,3.45194736883462,1,1
1991,0.018,0.15547351378469,1,1
1992,0.228,1.57587263058932,1.42876320151045,1.44495088324851
1993,1.154,3.37239114163439,1.0199209302755,1.06742426418433
1994,0.104,0.722094764900309,1.1770645027989,1.58320444388037
1995,0.062,0.536364816084713,1.3742893762672,1.92520058277298
1996,0.073,0.470797027333762,1.07506141428595,1.3504951542158
1997,0.08,0.5147449383189,1.12401472187303,1.44805725190762
1998,0.18703,1.14460337687627,1.0015631752625,1.01686617537117
1999,0.221286,1.40673531910933,1.07123163634295,1.30720228435173
2000,0.068242,0.484505656238885,1.53218789711613,1.92680597973211
2001,0.065336,1.01612388457296,1.44871903124059,1.48470174338483
2002,1.16591,3.88463388151078,10.6445227779104,13.512063184183
2003,1.222985,3.82056788357364,10.3441390551454,13.3022137305166
2004,1.02755,3.22066138320181,10.1827264018815,11.3304229301627
2005,0.940117,3.19369917549444,10.5861284826216,11.637852459341
2006,0.904643,3.02933904921231,9.65604469422899,10.7220997704475
2007,0.974513,3.33268227210216,9.60140714074056,11.0242406022823
2008,0.867507,3.37792046507983,11.6655830138046,12.3750871183542
2009,0.915766,3.62642012990573,10.9360843738451,11.7483817594431
2010,1.075818,4.01156165177332,10.7170355025929,11.665543386798
2011,0.858575,3.29934615371685,11.7184076999343,12.2741732486203
2012,0.987455,3.89077728387926,11.656791773029,13.100858693146
2013,0.997914,4.17294416480995,12.2647076324717,13.9820513489827
2014,0.892411,3.66361382844904,11.982128524508,13.582432350946
2015,0.141971,0.569322609831932,7.96756126922539,7.56572366354711
2016,0.856233,3.43462376624021,9.75702988754919,10.5668074446391
2017,0.814053,3.35363251706047,10.4710665753184,11.3232393577554
2018,0.683817,2.80227212823982,9.82615281815837,10.9311763892243
2019,0.682195,2.71845677983618,9.81676235092507,11.1264738061868
2020,0.638978,2.45609,8.39592919971203,10.0433954945572
