"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1983","VERTEBRATES, JAWED","224,000","102","1,624,000","Public","Commercial","Gnathostomata ","914179"
"1983","SHRIMPS, PENAEID **","6,000","3","16,000","Public","Commercial","Penaeidae","95602"
"1983","TUNA, BLUEFIN PACIFIC","16,000","7","25,000","Public","Commercial","Thunnus orientalis","172422"
"1983","SQUIDS, LOLIGINIDAE **","9,000","4","10,000","Public","Commercial","Loliginidae","82369"
"1983","LOBSTER, CARIBBEAN SPINY","209,000","95","627,000","Public","Commercial","Panulirus argus","97648"
"1983","CRABS, DECAPODA (ORDER) **","14,000","6","33,000","Public","Commercial","Decapoda","95599"
"1983","SNAPPERS, LUTJANIDAE (FAMILY) **","58,000","26","88,000","Public","Commercial","Lutjanidae","168845"
"1983","SHARKS, CHONDRICHTHYES (CLASS) **","1,000","0","","Public","Commercial","Chondrichthyes","159785"
"1984","TUNA, BIGEYE","121,000","55","52,000","Public","Commercial","Thunnus obesus","172428"
"1984","BILLFISHES **","500,000","227","400,000","Public","Commercial","Istiophoridae","172486"
"1984","CRUSTACEANS **","300,000","136","817,000","Public","Commercial","Crustacea","83677"
"1984","TUNA, ALBACORE","1,049,000","476","628,000","Public","Commercial","Thunnus alalunga","172419"
"1984","TUNA, SKIPJACK","18,789,000","8,523","8,727,000","Public","Commercial","Katsuwonus pelamis","172401"
"1984","TUNA, YELLOWFIN","8,625,000","3,912","7,322,000","Public","Commercial","Thunnus albacares","172423"
"1984","VERTEBRATES, JAWED","4,400,000","1,996","8,400,000","Public","Commercial","Gnathostomata ","914179"
"1984","SHRIMPS, PENAEID **","400,000","181","1,360,000","Public","Commercial","Penaeidae","95602"
"1984","LOBSTER, CARIBBEAN SPINY","640,000","290","1,696,000","Public","Commercial","Panulirus argus","97648"
"1985","SNAPPER, RED","300,000","136","1,035,000","Public","Commercial","Lutjanus campechanus","168853"
"1985","TUNA, BIGEYE","122,000","55","288,000","Public","Commercial","Thunnus obesus","172428"
"1985","BILLFISHES **","450,000","204","459,000","Public","Commercial","Istiophoridae","172486"
"1985","CRUSTACEANS **","799,000","362","2,308,000","Public","Commercial","Crustacea","83677"
"1985","TUNA, ALBACORE","1,536,000","697","1,051,000","Public","Commercial","Thunnus alalunga","172419"
"1985","TUNA, SKIPJACK","6,250,000","2,835","3,423,000","Public","Commercial","Katsuwonus pelamis","172401"
"1985","SEA BASS, GIANT","192,000","87","326,000","Public","Commercial","Stereolepis gigas","167918"
"1985","TUNA, YELLOWFIN","3,251,000","1,475","3,845,000","Public","Commercial","Thunnus albacares","172423"
"1985","TUNA, LITTLE TUNNY","27,000","12","23,000","Public","Commercial","Euthynnus alletteratus","172402"
"1985","VERTEBRATES, JAWED","2,109,000","957","3,625,000","Public","Commercial","Gnathostomata ","914179"
"1985","SHRIMPS, PENAEID **","50,000","23","150,000","Public","Commercial","Penaeidae","95602"
"1985","LOBSTER, CARIBBEAN SPINY","1,197,000","543","3,482,000","Public","Commercial","Panulirus argus","97648"
"1985","SNAPPERS, LUTJANIDAE (FAMILY) **","704,000","319","2,007,000","Public","Commercial","Lutjanidae","168845"
"1986","SWORDFISH","10,000","5","23,000","Public","Commercial","Xiphias gladius","172482"
"1986","SNAPPER, RED","420,000","191","1,449,000","Public","Commercial","Lutjanus campechanus","168853"
"1986","TUNA, BIGEYE","175,000","79","432,000","Public","Commercial","Thunnus obesus","172428"
