"Year","Species","RCatch"
2005,"GRAY REEF SHARK",0
2007,"GRAY REEF SHARK",0
2009,"GRAY REEF SHARK",0
2013,"GRAY REEF SHARK",0
2014,"GRAY REEF SHARK",0
2015,"GRAY REEF SHARK",0
2003,"GREAT BARRACUDA",1564
2004,"GREAT BARRACUDA",15986
2005,"GREAT BARRACUDA",13643
2006,"GREAT BARRACUDA",23238
2007,"GREAT BARRACUDA",1312
2008,"GREAT BARRACUDA",15376
2009,"GREAT BARRACUDA",17815
2010,"GREAT BARRACUDA",2849
2011,"GREAT BARRACUDA",5393
2012,"GREAT BARRACUDA",7586
2013,"GREAT BARRACUDA",1637
2014,"GREAT BARRACUDA",7627
2015,"GREAT BARRACUDA",7045
2016,"GREAT BARRACUDA",2363
2017,"GREAT BARRACUDA",2358
2018,"GREAT BARRACUDA",13169
2019,"GREAT BARRACUDA",16718
2020,"GREAT BARRACUDA",5183
2003,"GREATER AMBERJACK",1576
2004,"GREATER AMBERJACK",4343
2005,"GREATER AMBERJACK",2124
2006,"GREATER AMBERJACK",5069
2007,"GREATER AMBERJACK",819
2008,"GREATER AMBERJACK",0
2009,"GREATER AMBERJACK",1058
2010,"GREATER AMBERJACK",16910
2011,"GREATER AMBERJACK",395
2012,"GREATER AMBERJACK",2308
2013,"GREATER AMBERJACK",2335
2014,"GREATER AMBERJACK",2473
2015,"GREATER AMBERJACK",1843
2016,"GREATER AMBERJACK",1028
2017,"GREATER AMBERJACK",3391
2018,"GREATER AMBERJACK",11657
2019,"GREATER AMBERJACK",16904
2020,"GREATER AMBERJACK",14992
2015,"GREEN HALFBEAK",9839
2016,"GREEN HALFBEAK",407
2017,"GREEN HALFBEAK",401
2018,"GREEN HALFBEAK",34547
2019,"GREEN HALFBEAK",5054
2020,"GREEN HALFBEAK",56052
2003,"GREEN JOBFISH",18755
2004,"GREEN JOBFISH",27149
2005,"GREEN JOBFISH",36308
2006,"GREEN JOBFISH",20802
2007,"GREEN JOBFISH",11900
2008,"GREEN JOBFISH",7408
2009,"GREEN JOBFISH",14844
2010,"GREEN JOBFISH",22011
2011,"GREEN JOBFISH",18532
2012,"GREEN JOBFISH",29826
2013,"GREEN JOBFISH",8227
2014,"GREEN JOBFISH",17927
2015,"GREEN JOBFISH",20968
2016,"GREEN JOBFISH",9515
2017,"GREEN JOBFISH",18927
2018,"GREEN JOBFISH",38524
2019,"GREEN JOBFISH",10167
2020,"GREEN JOBFISH",31784
2009,"HALFBEAK FISH FAMILY",4897
2012,"HALFBEAK FISH FAMILY",8559
2013,"HALFBEAK FISH FAMILY",3114
2014,"HALFBEAK FISH FAMILY",10646
2015,"HALFBEAK FISH FAMILY",4681
2016,"HALFBEAK FISH FAMILY",4079
2017,"HALFBEAK FISH FAMILY",0
2018,"HALFBEAK FISH FAMILY",23751
2019,"HALFBEAK FISH FAMILY",0
2020,"HALFBEAK FISH FAMILY",1683
2003,"HAWAIIAN ANCHOVIES",42496
2004,"HAWAIIAN ANCHOVIES",88137
2006,"HAWAIIAN ANCHOVIES",394861
2007,"HAWAIIAN ANCHOVIES",84619
2008,"HAWAIIAN ANCHOVIES",1764
2009,"HAWAIIAN ANCHOVIES",94667
2010,"HAWAIIAN ANCHOVIES",232893
2011,"HAWAIIAN ANCHOVIES",133943
2003,"HAWAIIAN BIGEYE",3226313
2004,"HAWAIIAN BIGEYE",19873
2005,"HAWAIIAN BIGEYE",27165
2006,"HAWAIIAN BIGEYE",4254
2007,"HAWAIIAN BIGEYE",3466
2008,"HAWAIIAN BIGEYE",12829
2009,"HAWAIIAN BIGEYE",7552
2011,"HAWAIIAN BIGEYE",2043
2012,"HAWAIIAN BIGEYE",9628
2013,"HAWAIIAN BIGEYE",12496
2014,"HAWAIIAN BIGEYE",10756
2015,"HAWAIIAN BIGEYE",10076
2016,"HAWAIIAN BIGEYE",1209
2017,"HAWAIIAN BIGEYE",737
2018,"HAWAIIAN BIGEYE",24648
2019,"HAWAIIAN BIGEYE",7844
2020,"HAWAIIAN BIGEYE",4535
2003,"HAWAIIAN FLAGTAIL",419224
2004,"HAWAIIAN FLAGTAIL",125228
2005,"HAWAIIAN FLAGTAIL",192760
2006,"HAWAIIAN FLAGTAIL",144938
2007,"HAWAIIAN FLAGTAIL",178229
2008,"HAWAIIAN FLAGTAIL",231722
2009,"HAWAIIAN FLAGTAIL",179330
2010,"HAWAIIAN FLAGTAIL",223872
2011,"HAWAIIAN FLAGTAIL",66951
2012,"HAWAIIAN FLAGTAIL",106169
2013,"HAWAIIAN FLAGTAIL",143250
2014,"HAWAIIAN FLAGTAIL",110523
2015,"HAWAIIAN FLAGTAIL",137983
2016,"HAWAIIAN FLAGTAIL",125085
2017,"HAWAIIAN FLAGTAIL",93203
2018,"HAWAIIAN FLAGTAIL",206003
2019,"HAWAIIAN FLAGTAIL",221454
2020,"HAWAIIAN FLAGTAIL",329893
2003,"HAWAIIAN GROUPER",333
2004,"HAWAIIAN GROUPER",406
2005,"HAWAIIAN GROUPER",1473
2007,"HAWAIIAN GROUPER",2306
2008,"HAWAIIAN GROUPER",1072
2009,"HAWAIIAN GROUPER",335
2010,"HAWAIIAN GROUPER",1342
2011,"HAWAIIAN GROUPER",334
2012,"HAWAIIAN GROUPER",1425
2013,"HAWAIIAN GROUPER",1753
2014,"HAWAIIAN GROUPER",1955
2015,"HAWAIIAN GROUPER",718
2016,"HAWAIIAN GROUPER",91
2018,"HAWAIIAN GROUPER",1901
2019,"HAWAIIAN GROUPER",3299
2020,"HAWAIIAN GROUPER",1484
2003,"HAWAIIAN HOGFISH",8767
2004,"HAWAIIAN HOGFISH",2040
2005,"HAWAIIAN HOGFISH",7204
2006,"HAWAIIAN HOGFISH",4180
2007,"HAWAIIAN HOGFISH",4372
2008,"HAWAIIAN HOGFISH",1625
2009,"HAWAIIAN HOGFISH",7016
2010,"HAWAIIAN HOGFISH",3815
2011,"HAWAIIAN HOGFISH",2562
2012,"HAWAIIAN HOGFISH",5920
2013,"HAWAIIAN HOGFISH",3757
2014,"HAWAIIAN HOGFISH",7520
2015,"HAWAIIAN HOGFISH",2023
2016,"HAWAIIAN HOGFISH",3398
2017,"HAWAIIAN HOGFISH",7987
2018,"HAWAIIAN HOGFISH",2212
2019,"HAWAIIAN HOGFISH",6618
2020,"HAWAIIAN HOGFISH",9945
2004,"HAWAIIAN LIONFISH",1155
2019,"HAWAIIAN LIONFISH",0
2003,"HAWAIIAN SERGEANT",18699
2004,"HAWAIIAN SERGEANT",22806
2005,"HAWAIIAN SERGEANT",55408
2006,"HAWAIIAN SERGEANT",116636
2007,"HAWAIIAN SERGEANT",19518
2008,"HAWAIIAN SERGEANT",16638
2009,"HAWAIIAN SERGEANT",20070
2010,"HAWAIIAN SERGEANT",45476
2011,"HAWAIIAN SERGEANT",3504
2012,"HAWAIIAN SERGEANT",21022
2013,"HAWAIIAN SERGEANT",17255
2014,"HAWAIIAN SERGEANT",15395
2015,"HAWAIIAN SERGEANT",3291
2016,"HAWAIIAN SERGEANT",16299
2017,"HAWAIIAN SERGEANT",9535
2018,"HAWAIIAN SERGEANT",27418
2019,"HAWAIIAN SERGEANT",19229
2020,"HAWAIIAN SERGEANT",12511
2006,"HAWAIIAN SILVERSIDE",96135
2007,"HAWAIIAN SILVERSIDE",0
2011,"HAWAIIAN SILVERSIDE",13680
2005,"HAWAIIAN SQUIRRELFISH",1095
2006,"HAWAIIAN SQUIRRELFISH",0
2007,"HAWAIIAN SQUIRRELFISH",0
2009,"HAWAIIAN SQUIRRELFISH",5148
2014,"HAWAIIAN SQUIRRELFISH",0
2015,"HAWAIIAN SQUIRRELFISH",1135
2019,"HAWAIIAN SQUIRRELFISH",5728
2005,"HAWAIIAN SURF SARDINE",64021
2006,"HAWAIIAN SURF SARDINE",6184
2007,"HAWAIIAN SURF SARDINE",38150
2008,"HAWAIIAN SURF SARDINE",25577
2009,"HAWAIIAN SURF SARDINE",421724
2010,"HAWAIIAN SURF SARDINE",2931
2003,"HAWAIIAN TENPOUNDER",1879
2005,"HAWAIIAN TENPOUNDER",0
2006,"HAWAIIAN TENPOUNDER",2106
2007,"HAWAIIAN TENPOUNDER",2029
2008,"HAWAIIAN TENPOUNDER",10265
2009,"HAWAIIAN TENPOUNDER",316
2012,"HAWAIIAN TENPOUNDER",322
2014,"HAWAIIAN TENPOUNDER",917
2015,"HAWAIIAN TENPOUNDER",656
2016,"HAWAIIAN TENPOUNDER",453
2003,"HAWKFISH FAMILY",2125
2016,"HAWKFISH FAMILY",1682
2017,"HAWKFISH FAMILY",0
2018,"HAWKFISH FAMILY",0
2019,"HAWKFISH FAMILY",0
2020,"HAWKFISH FAMILY",0
2003,"HELLERS BARRACUDA",11456
2004,"HELLERS BARRACUDA",2736
2005,"HELLERS BARRACUDA",3992
2007,"HELLERS BARRACUDA",330
2009,"HELLERS BARRACUDA",1747
2010,"HELLERS BARRACUDA",0
2012,"HELLERS BARRACUDA",782
2013,"HELLERS BARRACUDA",670
2014,"HELLERS BARRACUDA",118
2015,"HELLERS BARRACUDA",585
2016,"HELLERS BARRACUDA",115
2017,"HELLERS BARRACUDA",492
2018,"HELLERS BARRACUDA",1488
2019,"HELLERS BARRACUDA",411
2020,"HELLERS BARRACUDA",3114
2019,"HELMET GURNARD",0
2020,"HELMET GURNARD",0
2004,"HERRING FAMILY",2311
2010,"HERRING FAMILY",155145
2014,"HERRING FAMILY",13934
2015,"HERRING FAMILY",16155
2016,"HERRING FAMILY",3762
2019,"HERRING FAMILY",12873
2003,"HIGHFIN RUDDERFISH",123751
2004,"HIGHFIN RUDDERFISH",29340
2005,"HIGHFIN RUDDERFISH",24718
2006,"HIGHFIN RUDDERFISH",39104
2007,"HIGHFIN RUDDERFISH",16035
2008,"HIGHFIN RUDDERFISH",46549
2009,"HIGHFIN RUDDERFISH",36971
2010,"HIGHFIN RUDDERFISH",23308
2011,"HIGHFIN RUDDERFISH",6435
2012,"HIGHFIN RUDDERFISH",21035
2013,"HIGHFIN RUDDERFISH",7369
2014,"HIGHFIN RUDDERFISH",5783
2015,"HIGHFIN RUDDERFISH",9473
2016,"HIGHFIN RUDDERFISH",5062
2017,"HIGHFIN RUDDERFISH",1756
2018,"HIGHFIN RUDDERFISH",6927
2019,"HIGHFIN RUDDERFISH",22896
2020,"HIGHFIN RUDDERFISH",32156
2006,"HOUNDFISH",393
2007,"HOUNDFISH",1169
2008,"HOUNDFISH",882
2009,"HOUNDFISH",0
2010,"HOUNDFISH",518
2011,"HOUNDFISH",198
2012,"HOUNDFISH",161
2013,"HOUNDFISH",0
2014,"HOUNDFISH",57
2015,"HOUNDFISH",4096
2016,"HOUNDFISH",637
2017,"HOUNDFISH",2193
2018,"HOUNDFISH",7011
2019,"HOUNDFISH",8593
2020,"HOUNDFISH",399
2003,"IRIDESCENT CARDINALFISH",2427759
2006,"IRIDESCENT CARDINALFISH",4123
2014,"IRIDESCENT CARDINALFISH",0
2017,"IRIDESCENT CARDINALFISH",1229
2004,"IRONJAW SNAPPER",10021
2005,"IRONJAW SNAPPER",1761
2007,"IRONJAW SNAPPER",568
2008,"IRONJAW SNAPPER",1855
2009,"IRONJAW SNAPPER",697
2010,"IRONJAW SNAPPER",417
2011,"IRONJAW SNAPPER",271
2012,"IRONJAW SNAPPER",440
2013,"IRONJAW SNAPPER",335
2015,"IRONJAW SNAPPER",1416
2016,"IRONJAW SNAPPER",721
2017,"IRONJAW SNAPPER",192
2019,"IRONJAW SNAPPER",1245
2020,"IRONJAW SNAPPER",313
2003,"ISLAND JACK",16956
2004,"ISLAND JACK",31064
2005,"ISLAND JACK",14681
2006,"ISLAND JACK",19477
2007,"ISLAND JACK",19230
2008,"ISLAND JACK",26157
2009,"ISLAND JACK",13278
2010,"ISLAND JACK",4925
2011,"ISLAND JACK",1497
2012,"ISLAND JACK",8205
2013,"ISLAND JACK",9205
2014,"ISLAND JACK",9028
2015,"ISLAND JACK",9399
2016,"ISLAND JACK",14817
2017,"ISLAND JACK",19727
2018,"ISLAND JACK",26403
2019,"ISLAND JACK",29280
2020,"ISLAND JACK",17822
2003,"JACK FAMILY",6726
2004,"JACK FAMILY",35802
2005,"JACK FAMILY",19625
2006,"JACK FAMILY",1929
2007,"JACK FAMILY",23847
2008,"JACK FAMILY",9337
2009,"JACK FAMILY",12198
2010,"JACK FAMILY",4700
2011,"JACK FAMILY",799
2012,"JACK FAMILY",0
2013,"JACK FAMILY",4994
2014,"JACK FAMILY",2531
2015,"JACK FAMILY",4587
2016,"JACK FAMILY",3336
2017,"JACK FAMILY",2452
2018,"JACK FAMILY",6257
2019,"JACK FAMILY",16136
2020,"JACK FAMILY",7941
2003,"KAWAKAWA",8914
2004,"KAWAKAWA",7860
2005,"KAWAKAWA",9590
2006,"KAWAKAWA",5601
2007,"KAWAKAWA",9136
2008,"KAWAKAWA",12453
2009,"KAWAKAWA",6980
2010,"KAWAKAWA",7372
2011,"KAWAKAWA",2403
2012,"KAWAKAWA",5698
2013,"KAWAKAWA",4459
2014,"KAWAKAWA",46053
2015,"KAWAKAWA",32644
2016,"KAWAKAWA",9443
2017,"KAWAKAWA",7840
2018,"KAWAKAWA",33468
2019,"KAWAKAWA",17843
2020,"KAWAKAWA",12409
2003,"KEELTAIL NEEDLEFISH",4335
2004,"KEELTAIL NEEDLEFISH",12411
2005,"KEELTAIL NEEDLEFISH",20124
2006,"KEELTAIL NEEDLEFISH",15151
2007,"KEELTAIL NEEDLEFISH",3377
2008,"KEELTAIL NEEDLEFISH",2681
2009,"KEELTAIL NEEDLEFISH",2767
2010,"KEELTAIL NEEDLEFISH",76199
2011,"KEELTAIL NEEDLEFISH",501
2012,"KEELTAIL NEEDLEFISH",963
2013,"KEELTAIL NEEDLEFISH",2558
2014,"KEELTAIL NEEDLEFISH",2092
2015,"KEELTAIL NEEDLEFISH",0
2016,"KEELTAIL NEEDLEFISH",3334
2017,"KEELTAIL NEEDLEFISH",13393
2004,"LAGOON TRIGGERFISH",1036
2007,"LAGOON TRIGGERFISH",0
2008,"LAGOON TRIGGERFISH",0
2010,"LAGOON TRIGGERFISH",1553
2013,"LAGOON TRIGGERFISH",0
2014,"LAGOON TRIGGERFISH",338
2015,"LAGOON TRIGGERFISH",0
2016,"LAGOON TRIGGERFISH",0
2017,"LAGOON TRIGGERFISH",0
2007,"LARGE HEADED SCORPIONFISH",0
2009,"LARGE HEADED SCORPIONFISH",294
2010,"LARGE HEADED SCORPIONFISH",537
2011,"LARGE HEADED SCORPIONFISH",793
2012,"LARGE HEADED SCORPIONFISH",2217
2013,"LARGE HEADED SCORPIONFISH",1985
2014,"LARGE HEADED SCORPIONFISH",1654
2016,"LARGE HEADED SCORPIONFISH",123
2017,"LARGE HEADED SCORPIONFISH",133
2019,"LARGE HEADED SCORPIONFISH",636
2003,"LEATHERBACK",105017
2004,"LEATHERBACK",24307
2005,"LEATHERBACK",21512
2006,"LEATHERBACK",19191
2007,"LEATHERBACK",14416
2008,"LEATHERBACK",41134
2009,"LEATHERBACK",14752
2010,"LEATHERBACK",8765
2011,"LEATHERBACK",13425
2012,"LEATHERBACK",2851
2013,"LEATHERBACK",12486
2014,"LEATHERBACK",9499
2015,"LEATHERBACK",17964
2016,"LEATHERBACK",6853
2017,"LEATHERBACK",3563
2018,"LEATHERBACK",17632
2019,"LEATHERBACK",24684
2020,"LEATHERBACK",6830
2005,"LEFTEYE FLOUNDER FAMILY",0
2010,"LEFTEYE FLOUNDER FAMILY",0
2014,"LEFTEYE FLOUNDER FAMILY",613
2015,"LEFTEYE FLOUNDER FAMILY",0
2016,"LEFTEYE FLOUNDER FAMILY",0
2018,"LEFTEYE FLOUNDER FAMILY",0
2019,"LEFTEYE FLOUNDER FAMILY",0
2020,"LEFTEYE FLOUNDER FAMILY",0
2004,"LEI TRIGGERFISH",1155
2010,"LEI TRIGGERFISH",182
2003,"LIZARDFISH FAMILY",0
2004,"LIZARDFISH FAMILY",0
2005,"LIZARDFISH FAMILY",0
2006,"LIZARDFISH FAMILY",0
2007,"LIZARDFISH FAMILY",0
2008,"LIZARDFISH FAMILY",0
2009,"LIZARDFISH FAMILY",0
2010,"LIZARDFISH FAMILY",349
2011,"LIZARDFISH FAMILY",0
2012,"LIZARDFISH FAMILY",0
2013,"LIZARDFISH FAMILY",0
2014,"LIZARDFISH FAMILY",0
2015,"LIZARDFISH FAMILY",0
2016,"LIZARDFISH FAMILY",1215
2017,"LIZARDFISH FAMILY",0
2018,"LIZARDFISH FAMILY",0
2019,"LIZARDFISH FAMILY",0
2020,"LIZARDFISH FAMILY",0
2007,"LONGNOSE BUTTERFLYFISH",330
2003,"LONGTAILED RED SNAPPER",13878
2004,"LONGTAILED RED SNAPPER",13845
2005,"LONGTAILED RED SNAPPER",18263
2006,"LONGTAILED RED SNAPPER",29913
2007,"LONGTAILED RED SNAPPER",7482
2008,"LONGTAILED RED SNAPPER",7984
2009,"LONGTAILED RED SNAPPER",4359
2010,"LONGTAILED RED SNAPPER",19992
2011,"LONGTAILED RED SNAPPER",7607
2012,"LONGTAILED RED SNAPPER",18519
2013,"LONGTAILED RED SNAPPER",14327
2014,"LONGTAILED RED SNAPPER",17909
2015,"LONGTAILED RED SNAPPER",9917
2016,"LONGTAILED RED SNAPPER",5515
2017,"LONGTAILED RED SNAPPER",1302
2018,"LONGTAILED RED SNAPPER",26473
2019,"LONGTAILED RED SNAPPER",1513
2020,"LONGTAILED RED SNAPPER",6275
2003,"LOWFIN CHUB",7591
2004,"LOWFIN CHUB",15926
2005,"LOWFIN CHUB",580
2006,"LOWFIN CHUB",459
2007,"LOWFIN CHUB",3980
2008,"LOWFIN CHUB",5657
2009,"LOWFIN CHUB",5640
2010,"LOWFIN CHUB",7588
2011,"LOWFIN CHUB",1946
2013,"LOWFIN CHUB",3636
2014,"LOWFIN CHUB",3675
2017,"LOWFIN CHUB",729
2018,"LOWFIN CHUB",25716
2003,"MACKEREL FAMILY",5153
2012,"MACKEREL FAMILY",448
2013,"MACKEREL FAMILY",41451
2014,"MACKEREL FAMILY",13986
2015,"MACKEREL FAMILY",18633
2016,"MACKEREL FAMILY",535
2017,"MACKEREL FAMILY",133
2019,"MACKEREL FAMILY",3405
2020,"MACKEREL FAMILY",11382
2003,"MACKEREL SCAD",1360220
2004,"MACKEREL SCAD",93485
2005,"MACKEREL SCAD",43665
2006,"MACKEREL SCAD",224541
2007,"MACKEREL SCAD",67055
2008,"MACKEREL SCAD",49059
2009,"MACKEREL SCAD",381869
2010,"MACKEREL SCAD",164598
2011,"MACKEREL SCAD",6462
2012,"MACKEREL SCAD",260276
2013,"MACKEREL SCAD",79117
2014,"MACKEREL SCAD",166886
2015,"MACKEREL SCAD",209361
2016,"MACKEREL SCAD",147523
2017,"MACKEREL SCAD",107865
2018,"MACKEREL SCAD",404650
2019,"MACKEREL SCAD",793390
2020,"MACKEREL SCAD",462733
2003,"MANYBAR GOATFISH",38582
2004,"MANYBAR GOATFISH",53704
2005,"MANYBAR GOATFISH",34903
2006,"MANYBAR GOATFISH",42787
2007,"MANYBAR GOATFISH",40466
2008,"MANYBAR GOATFISH",28179
2009,"MANYBAR GOATFISH",31799
2010,"MANYBAR GOATFISH",45457
2011,"MANYBAR GOATFISH",15160
2012,"MANYBAR GOATFISH",40263
2013,"MANYBAR GOATFISH",23216
2014,"MANYBAR GOATFISH",42302
2015,"MANYBAR GOATFISH",25381
2016,"MANYBAR GOATFISH",15322
2017,"MANYBAR GOATFISH",14052
2018,"MANYBAR GOATFISH",57239
2019,"MANYBAR GOATFISH",28509
2020,"MANYBAR GOATFISH",44660
2004,"MILKFISH",4229
2006,"MILKFISH",2339
2008,"MILKFISH",46289
2009,"MILKFISH",1715
2010,"MILKFISH",516
2011,"MILKFISH",264
2012,"MILKFISH",979
2015,"MILKFISH",779
2016,"MILKFISH",1604
2017,"MILKFISH",1298
2018,"MILKFISH",17118
2019,"MILKFISH",6653
2020,"MILKFISH",2752
2017,"MOORISH IDOL",0
2020,"MOORISH IDOL",0
2003,"MORAY FAMILY",7753
2004,"MORAY FAMILY",4143
2005,"MORAY FAMILY",7975
2006,"MORAY FAMILY",4679
2007,"MORAY FAMILY",679
2008,"MORAY FAMILY",1046
2009,"MORAY FAMILY",818
2010,"MORAY FAMILY",3821
2011,"MORAY FAMILY",0
2012,"MORAY FAMILY",4030
2013,"MORAY FAMILY",5112
2014,"MORAY FAMILY",2203
2015,"MORAY FAMILY",3434
2016,"MORAY FAMILY",4242
2017,"MORAY FAMILY",4229
2018,"MORAY FAMILY",10310
2019,"MORAY FAMILY",8153
2020,"MORAY FAMILY",4400
2003,"MULLET FAMILY",7558
2004,"MULLET FAMILY",6932
2006,"MULLET FAMILY",1144
2013,"MULLET FAMILY",2105
2014,"MULLET FAMILY",917
2015,"MULLET FAMILY",0
2020,"MULLETS",0
2003,"MUSTACHE CONGER EEL",2040
2006,"MUSTACHE CONGER EEL",1170
2007,"MUSTACHE CONGER EEL",254
2008,"MUSTACHE CONGER EEL",913
2009,"MUSTACHE CONGER EEL",1270
2010,"MUSTACHE CONGER EEL",549
2011,"MUSTACHE CONGER EEL",158
2012,"MUSTACHE CONGER EEL",1895
2013,"MUSTACHE CONGER EEL",1979
2014,"MUSTACHE CONGER EEL",2924
2015,"MUSTACHE CONGER EEL",122
2017,"MUSTACHE CONGER EEL",1300
2020,"MUSTACHE CONGER EEL",4201
2005,"NEEDLE-TOOTH MORAY",0
2008,"NEEDLE-TOOTH MORAY",2239
2017,"NEEDLEFISH",0
2018,"NEEDLEFISH",11754
2019,"NEEDLEFISH",2615
2020,"NEEDLEFISH",7156
2003,"NEEDLEFISH FAMILY",6767
2004,"NEEDLEFISH FAMILY",3660
2005,"NEEDLEFISH FAMILY",1004
2006,"NEEDLEFISH FAMILY",0
2007,"NEEDLEFISH FAMILY",642
2008,"NEEDLEFISH FAMILY",0
2009,"NEEDLEFISH FAMILY",0
2010,"NEEDLEFISH FAMILY",5157
2011,"NEEDLEFISH FAMILY",1783
2012,"NEEDLEFISH FAMILY",1163
2013,"NEEDLEFISH FAMILY",0
2014,"NEEDLEFISH FAMILY",0
2015,"NEEDLEFISH FAMILY",266
2016,"NEEDLEFISH FAMILY",0
2006,"OILFISH",643
2007,"OILFISH",344
2008,"OILFISH",785
2003,"ORANGEBAND SURGEONFISH",2426
2004,"ORANGEBAND SURGEONFISH",1036
2005,"ORANGEBAND SURGEONFISH",1036
2006,"ORANGEBAND SURGEONFISH",2802
2010,"ORANGEBAND SURGEONFISH",9991
2012,"ORANGEBAND SURGEONFISH",7928
2013,"ORANGEBAND SURGEONFISH",4606
2014,"ORANGEBAND SURGEONFISH",591
2018,"ORANGEBAND SURGEONFISH",14146
2003,"ORANGESPINE UNICORNFISH",9064
2004,"ORANGESPINE UNICORNFISH",12798
2006,"ORANGESPINE UNICORNFISH",3858
2008,"ORANGESPINE UNICORNFISH",5362
2010,"ORANGESPINE UNICORNFISH",1609
2012,"ORANGESPINE UNICORNFISH",396
2013,"ORANGESPINE UNICORNFISH",1078
2014,"ORANGESPINE UNICORNFISH",2403
2015,"ORANGESPINE UNICORNFISH",6480
2016,"ORANGESPINE UNICORNFISH",3475
2017,"ORANGESPINE UNICORNFISH",1843
2018,"ORANGESPINE UNICORNFISH",6556
2019,"ORANGESPINE UNICORNFISH",82404
2020,"ORANGESPINE UNICORNFISH",18747
2005,"ORNATE WRASSE",6356
2006,"ORNATE WRASSE",1401
2006,"PALENOSE PARROTFISH",286
2007,"PALENOSE PARROTFISH",2486
2008,"PALENOSE PARROTFISH",6521
2009,"PALENOSE PARROTFISH",213
2010,"PALENOSE PARROTFISH",1796
2012,"PALENOSE PARROTFISH",1264
2013,"PALENOSE PARROTFISH",2942
2014,"PALENOSE PARROTFISH",3095
2015,"PALENOSE PARROTFISH",917
2016,"PALENOSE PARROTFISH",808
2019,"PALENOSE PARROTFISH",2146
2011,"PALETAIL UNICORNFISH",180316
2003,"PARROTFISH FAMILY",32920
2004,"PARROTFISH FAMILY",18358
2005,"PARROTFISH FAMILY",12137
2006,"PARROTFISH FAMILY",2999
2007,"PARROTFISH FAMILY",18475
2008,"PARROTFISH FAMILY",7752
2009,"PARROTFISH FAMILY",4146
2010,"PARROTFISH FAMILY",3081
2011,"PARROTFISH FAMILY",545
2012,"PARROTFISH FAMILY",1306
2013,"PARROTFISH FAMILY",13413
2014,"PARROTFISH FAMILY",3999
2015,"PARROTFISH FAMILY",793
2016,"PARROTFISH FAMILY",157
2017,"PARROTFISH FAMILY",0
2019,"PARROTFISH FAMILY",1587
2020,"PARROTFISH FAMILY",3451
2003,"PEACOCK GROUPER",7874
2005,"PEACOCK GROUPER",6989
2006,"PEACOCK GROUPER",3729
2007,"PEACOCK GROUPER",1349
2008,"PEACOCK GROUPER",20120
2009,"PEACOCK GROUPER",0
2010,"PEACOCK GROUPER",557
2011,"PEACOCK GROUPER",4658
2012,"PEACOCK GROUPER",8377
2013,"PEACOCK GROUPER",7823
2014,"PEACOCK GROUPER",13302
2015,"PEACOCK GROUPER",2396
2016,"PEACOCK GROUPER",9251
2017,"PEACOCK GROUPER",3211
2018,"PEACOCK GROUPER",16583
2019,"PEACOCK GROUPER",7246
2020,"PEACOCK GROUPER",11809
2003,"PEACOCK RAZORFISH",60959
2004,"PEACOCK RAZORFISH",201828
2005,"PEACOCK RAZORFISH",93834
2006,"PEACOCK RAZORFISH",87713
2007,"PEACOCK RAZORFISH",31872
2008,"PEACOCK RAZORFISH",37571
2009,"PEACOCK RAZORFISH",61192
2010,"PEACOCK RAZORFISH",36538
2011,"PEACOCK RAZORFISH",9654
2012,"PEACOCK RAZORFISH",90750
2013,"PEACOCK RAZORFISH",58476
2014,"PEACOCK RAZORFISH",29409
2015,"PEACOCK RAZORFISH",34991
2016,"PEACOCK RAZORFISH",26159
2017,"PEACOCK RAZORFISH",37315
2018,"PEACOCK RAZORFISH",70768
2019,"PEACOCK RAZORFISH",98500
2020,"PEACOCK RAZORFISH",57186
2004,"PEARL WRASSE",4802
2003,"PFLUGERS GOATFISH",19219
2004,"PFLUGERS GOATFISH",45237
2005,"PFLUGERS GOATFISH",580
2006,"PFLUGERS GOATFISH",1728
2007,"PFLUGERS GOATFISH",4583
2009,"PFLUGERS GOATFISH",1126
2010,"PFLUGERS GOATFISH",8261
2011,"PFLUGERS GOATFISH",2936
2012,"PFLUGERS GOATFISH",2213
2013,"PFLUGERS GOATFISH",1341
2014,"PFLUGERS GOATFISH",7716
2015,"PFLUGERS GOATFISH",3428
2016,"PFLUGERS GOATFISH",3521
2017,"PFLUGERS GOATFISH",4547
2018,"PFLUGERS GOATFISH",15211
2019,"PFLUGERS GOATFISH",9252
2020,"PFLUGERS GOATFISH",3354
2003,"PINK SNAPPER",44787
2004,"PINK SNAPPER",83909
2005,"PINK SNAPPER",24247
2006,"PINK SNAPPER",27653
2007,"PINK SNAPPER",16845
2008,"PINK SNAPPER",42544
2009,"PINK SNAPPER",34464
2010,"PINK SNAPPER",115003
2011,"PINK SNAPPER",25380
2012,"PINK SNAPPER",46702
2013,"PINK SNAPPER",45120
2014,"PINK SNAPPER",41332
2015,"PINK SNAPPER",22924
2016,"PINK SNAPPER",17082
2017,"PINK SNAPPER",9739
2018,"PINK SNAPPER",56140
2019,"PINK SNAPPER",62815
2020,"PINK SNAPPER",16486
2005,"PINKTAIL DURGON",0
2009,"PINKTAIL DURGON",0
2010,"PINKTAIL DURGON",182
2013,"PINKTAIL DURGON",152
2015,"PINKTAIL DURGON",360
2016,"PINKTAIL DURGON",1213
2017,"PINKTAIL DURGON",628
2018,"PINKTAIL DURGON",2848
2019,"PINKTAIL DURGON",2343
2020,"PINKTAIL DURGON",1747
2011,"POLYNESIAN HALFBEAK",10213
