GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,PCTBLT2005,PCTBLT2000_04,PCTBLT2010,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,MOV2005,MOV2000_04,MOV2010,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_14,VALUE_14,DEALERNUM_14,COMMPMT_14,PNDSPRPOP_14,VALUPRPOP_14,DEALERNUMPRPOP_14,COMMPRPOP_14,RECPSSRMODESH_14,RECPSSRMODECH,RECPSSRMODEPR_14,RECPSSRMODESHPOP_14,RECPSSRMODECHPOP_14,RECPSSRMODEPRPOP_14
0600000US1500193150,1500193150,60,"South Kohala, HI","South Kohala CCD, Hawaii County, Hawaii",Hawaii,19.936748,-155.7519126,18189,50.1,49.9,38.51953393,52.95003414,8.3,1.7,39.6,44.5,1.3,0,13.6,9.8,6.2,42.1,9828,37.5,2.2,13,0,,,34.9,,,1.3,4.7,68.9,31.1,,,53.5,,,22.6,3.7,0,0.5,390400,2084,42.7,1598,46.2,6139,11.8,35.1,27.3,2.93,2.7,11.3,2,15,1,3.2,27.6,19.3,86.4,1,2.9,9.7,4.5,68.8,62.9,5.7,63.7,58.8,29,22.9,0.666588703,2.5,24.4,9.7,2.9,6.5,64870,83723,29.5,13.9,22969,4,5.3,30631,7.5,10.3,16.6,2.5,20,9,80.8,0,1.1050635,0.4278,97.04069051,50.46931408,89.51456311,-24.35750916,147.826087,16.93548387,12.78908523,164.7,99.7,1,2,305,79,0,25,0,0,137592,299007,6,69,7564.571994,16438.89164,0.329869701,3.793501567,38,42,36,2.089174776,2.30908791,1.979218209
0600000US1500193240,1500193240,60,"South Kona, HI","South Kona CCD, Hawaii County, Hawaii",Hawaii,19.3372688,-155.8376215,10750,47.7,52.3,25.16008849,32.50906016,7.9,2.1,43.3,30.9,0.3,0.3,19.8,10.8,7.6,30.4,4340,18.1,0.7,6.8,0.2,,,13.9,,,0.4,4.7,64.5,35.5,,,34.3,,,22.2,3.7,0,1.6,389600,1840,35.4,1070,48,3553,14.6,31.8,37,3.02,0.9,10.1,1.3,11.7,4.6,3.8,37.2,13.9,90,0.1,3.7,6.7,5.5,62,55.6,6.3,59.2,54.9,28.9,23.5,1.923076923,10.6,13.2,16.5,5.3,4.1,54741,81439,38.2,18.4,19846,4.3,3.7,29078,9.3,13.8,23.9,7.4,32,12,57.5,0,0.269767442,0.5013,87.06293706,39.07785336,82.82496481,-6.107476636,65.78947368,5.860805861,26.83433649,186.1,112.2,0,2,93,110,0,23,0,0,258759,599522,2,82,24070.60465,55769.48837,0.186046512,7.627906977,10,12,3,0.930232558,1.11627907,0.279069767
0600000US1500390270,1500390270,60,"Ewa, HI","Ewa CCD, Honolulu County, Hawaii",Hawaii,21.3682481,-158.0214964,333343,51.2,48.8,22.40496754,2019.930036,7.2,1.8,35.8,17.3,2.8,0.1,46.7,7.7,10.4,15.4,100900,5.3,1.2,4.8,0.1,,,16.7,,,1.7,5.2,65.8,34.2,,,35.8,,,25.9,4.3,0,0.4,507300,2395,31.7,1845,45.9,95592,12,41.7,29.3,3.39,1.1,6.9,1.5,8.5,4.4,4.1,27.9,20.2,85,0.4,4.3,19.1,13.9,68.8,60,3.4,62.6,58,32,20.8,0.495941429,0.7,12.9,3.9,3,6.3,87253,98787,29.4,26.1,28782,3.8,3.2,30015,4.7,6.7,8.8,5.4,31,11,78.1,1.132099472,2.646823242,0.3573,100.9803922,34.47501404,87.47228381,2.238858209,0,2.564102564,31.7279531,0,157.6,1,1,2417,2,0,25,0,0,2066345,6968692,12,236,6198.855233,20905.46974,0.035998956,0.707979469,173,131,0,0.518984949,0.392988603,0
0600000US1500390810,1500390810,60,"Honolulu, HI","Honolulu CCD, Honolulu County, Hawaii",Hawaii,27.7845986,-175.8600409,398714,49.6,50.4,7.100857153,4482.809416,5.3,3.7,41.1,19.5,1.8,0.1,53.1,7.8,5.8,17.9,164075,10.9,0.9,6.1,0.1,,,8.2,,,0.7,3.9,47.5,52.5,,,38.2,,,27.1,16.1,0,0.3,617400,2469,35.9,1327,44.8,146136,11.6,26.4,35,2.63,1,8.8,1.5,11,5.4,5.1,23.7,23.7,85.4,0.5,3.5,25.6,19.4,64.1,58.8,3.1,58.4,55.1,23.5,21.6,0.22568659,0.3,16.5,6.5,6.4,7.2,64353,86135,33.9,21.3,28659,3.5,3,33122,6.9,10.9,14,8.4,42,10,60.4,0.446853288,3.566215382,0.4559,74.60526316,20.85168869,59.65865012,-1.132973734,-11.42857143,1.731601732,92.68550876,0,166.3,8,6,3958,326,0,20,0,0,16661348,56520983,20,288,41787.71751,141758.2101,0.050161268,0.722322266,455,1236,350,1.141168858,3.099966392,0.877822198
0600000US1500391710,1500391710,60,"Koolauloa, HI","Koolauloa CCD, Honolulu County, Hawaii",Hawaii,21.638898,-157.9509804,20340,49.2,50.8,7.62474205,296.2704239,6.6,1.7,29.6,34.2,1.4,0.4,11.4,21.1,8.4,31.7,6567,21.2,0.6,3.3,0.1,,,10.3,,,0.7,5,56,44,,,33.5,,,23.7,7.5,0,0.2,699800,2900,44.8,1633,48.3,5172,13,39.6,28.6,3.63,0.4,8.8,1.4,7.4,1.9,3.7,25.8,23.1,79.7,0.5,6.6,12.1,6.7,66,59.8,4.5,59.8,55.2,30.2,24.1,0.555496208,1.3,16.9,9,5,8,75208,93725,30.8,22.2,28428,2.3,3.3,25739,8.8,11.7,13,4.3,38,12,67,0.414078675,7.777777778,0.4219,96.27403846,79.12291538,150.1072194,-12.60829493,-10,-10.11904762,60.39592035,18.5,163,0,1,172,2,0,24,0,0,83545,208051,1,24,4107.423795,10228.66273,0.049164208,1.179941003,11,0,0,0.540806293,0,0
0600000US1500391800,1500391800,60,"Koolaupoko, HI","Koolaupoko CCD, Honolulu County, Hawaii",Hawaii,21.4369085,-157.7454633,116853,50.3,49.7,-0.966998322,1733.112237,5.9,2.4,37.5,33.9,1.4,0.4,25.7,8.4,9.4,31.6,36935,4.1,0.6,1.7,0.1,,,7.6,,,1.4,5.5,66.3,33.7,,,29.8,,,22.4,3.8,0,0.4,687600,2644,33.2,2000,53.8,35408,13.2,34.7,34.1,3.15,0.8,7,1,9.7,1.9,3.5,25.7,23.9,86.3,0.3,5.8,7.4,4.9,66.9,55.9,3.4,59.7,55.6,26.9,17.5,0.323900443,0.8,9.9,7.5,3.5,10.6,86615,106939,34.6,27.5,31357,2.8,2.6,34662,5.1,7.7,11.6,3.7,43,13,70.1,0.668768104,4.586103908,0.4025,89.93352327,43.61759913,108.5532302,-0.825234576,0,-3.928571429,64.66475859,0,160.9,3,5,706,6,0,19,0,0,2101829,6929376,2,139,17986.94942,59299.94095,0.017115521,1.189528724,53,10,152,0.453561312,0.085577606,1.300779612
0600000US1500393420,1500393420,60,"Wahiawa, HI","Wahiawa CCD, Honolulu County, Hawaii",Hawaii,21.5011889,-158.0264599,45469,54.7,45.3,18.50143341,1146.072819,10.2,1.4,25.9,36.9,9.4,0.4,25.7,7.2,15,30,13052,7.1,1.4,2.3,0.1,,,19.3,,,2,5.3,27.1,72.9,,,30.4,,,45.7,8.2,0,0.4,464600,2063,41.5,2000,63.3,12131,12.5,52.1,18.5,3.36,0.6,7,1.7,7.2,4.9,4.5,31.4,13.7,73.9,0,14.8,14.1,10.3,70.1,40.5,4.1,54.1,44.4,21.2,25.5,0.822283132,1.2,16.9,5.7,6.9,2.4,54970,70490,19.6,12.8,31509,4.2,3.8,22124,9.7,11.9,15.1,9.9,37,5,65.2,0.912131347,10.22894719,0.4227,193.255132,28.6159601,96.03375527,5.692637083,10.81081081,-1.395348837,1.237107649,7.9,160.5,0,0,381,130,0,24,0,0,440416,1530200,1,25,9686.071829,33653.69812,0.021993006,0.549825156,0,0,0,0,0,0
0600000US1500393510,1500393510,60,"Waialua, HI","Waialua CCD, Honolulu County, Hawaii",Hawaii,21.5800225,-158.1234063,13197,50.5,49.5,-5.917159763,120.1015885,9.2,2.1,30.9,45.8,3.8,0,23.2,5.8,13.1,39.3,4909,12.3,1.1,1.3,0.1,,,8.2,,,2.4,4.9,42.2,57.8,,,28.6,,,39.2,5.8,0,0.6,591800,2559,43.9,2000,63.5,4305,12.6,38.4,22.6,2.97,1.1,11.4,1.2,10,6,4.9,26.5,17,73,0.2,11.4,12.9,10.4,67.5,50.1,4.8,56.5,49,29.2,21.8,1.476433844,4.5,14,12.1,4.5,3.7,60813,74212,26.2,19.5,23373,3,2,26228,5.4,9.9,9.1,9.1,39,8,58.5,3.524229075,3.068879291,0.4047,160.0780234,64.88402062,144.9503311,-1.16761165,26.31578947,-2.990033223,37.84970209,15.3,159.5,1,3,247,8,0,28,0,0,154273,380189,0,29,11690.0053,28808.74441,0,2.197469122,52,401,63,3.94028946,30.38569372,4.77381223
0600000US1500393600,1500393600,60,"Waianae, HI","Waianae CCD, Honolulu County, Hawaii",Hawaii,21.4613654,-158.201974,47774,48.7,51.3,13.05047446,782.8805561,9.4,1,30.7,10.5,1.8,0.2,13.7,34.6,16.5,8.5,13392,14.9,3.6,5.7,0.1,,,9.9,,,1.4,4.8,57.9,42.1,,,36.5,,,22.1,9.6,0,0.6,316000,1761,30.1,1200,59.7,11397,22.8,49.1,27.8,4.01,2.1,7.3,2.8,10.4,5,10.3,43.5,7.7,85.1,0.1,2.4,8.1,7,60.4,50.7,9,56.6,48.8,41.6,22.7,1.518857728,2.2,10.9,4.4,9.4,2.4,56604,69266,34.4,22.2,23499,11.8,10.2,17798,20,24.2,32,11.3,38,12,76.3,0.106108837,4.305689287,0.4305,76.47058824,49.49066214,94.46153846,-0.152296263,3.448275862,-0.715990453,52.08853169,12.3,153.1,1,7,341,4,0,28,0,0,675630,2214040,5,75,14142.21124,46344.03651,0.104659438,1.569891573,55,57,281,1.15125382,1.193117595,5.881860426
0600000US1500590990,1500590990,60,"Kalawao, HI","Kalawao CCD, Kalawao County, Hawaii",Hawaii,21.2187644,-156.9740097,73,45.2,54.8,-50.34013605,6.087656076,1.4,2.7,51.9,43.8,0,0,24.7,21.9,5.5,43.8,87,47.1,0,6.1,0,,,0,,,0,3.6,4.3,95.7,,,32.6,,,34.8,17.4,0,0,,,,830,35.5,46,0,0,30.4,1.39,6.1,12.1,0,20.5,4.5,13.4,28.4,10.4,94.5,0,2.7,17.8,13.9,79.2,73.6,0,76.9,76.9,10.5,17,0,0,9.4,15.1,19.6,0,61250,64680,34.8,28.3,15515,4.3,4.3,43771,0,17.6,,41.2,68,9,0,0,12.32876712,0.4378,58.0952381,,,-4.3,,-18.60465116,77.30146403,53.9,74.6,0,0,11,,0,19,0,0,,,,,,,,,0,0,0,0,0,0
