"Sector","Year","fit","se.fit","dec.trend","threshold","se.threshold"
"Combined",1998,1570.40506878967,171.073424282611,NA,NA,NA
"Combined",1998.04008016032,1568.72222531669,169.552676471358,NA,NA,NA
"Combined",1998.08016032064,1567.03936370544,168.048919961908,NA,NA,NA
"Combined",1998.12024048096,1565.35646581765,166.562743482705,NA,NA,NA
"Combined",1998.16032064128,1563.67351351505,165.094696072652,NA,NA,NA
"Combined",1998.2004008016,1561.99048865938,163.645285236497,NA,NA,NA
"Combined",1998.24048096192,1560.30737311234,162.214975276201,NA,NA,NA
"Combined",1998.28056112224,1558.62414873569,160.804185818268,NA,NA,NA
"Combined",1998.32064128257,1556.94079739116,159.413290557486,NA,NA,NA
"Combined",1998.36072144289,1555.25730094046,158.042616238279,NA,NA,NA
"Combined",1998.40080160321,1553.57364124533,156.69244189526,NA,NA,NA
"Combined",1998.44088176353,1551.8898001675,155.362998374621,NA,NA,NA
"Combined",1998.48096192385,1550.20575956872,154.054468158312,NA,NA,NA
"Combined",1998.52104208417,1548.52150131068,152.766985512713,NA,NA,NA
"Combined",1998.56112224449,1546.83700725514,151.500636983453,NA,NA,NA
"Combined",1998.60120240481,1545.15225926382,150.255462257358,NA,NA,NA
"Combined",1998.64128256513,1543.46723919845,149.031455412245,NA,NA,NA
"Combined",1998.68136272545,1541.78192892076,147.828566574533,NA,NA,NA
"Combined",1998.72144288577,1540.09631029249,146.646704003723,NA,NA,NA
"Combined",1998.76152304609,1538.41036517535,145.485736622104,NA,NA,NA
"Combined",1998.80160320641,1536.72407543109,144.345497007057,NA,NA,NA
"Combined",1998.84168336673,1535.03742292143,143.225784862202,NA,NA,NA
"Combined",1998.88176352705,1533.3503895081,142.126370982742,NA,NA,NA
"Combined",1998.92184368737,1531.66295705283,141.047001729358,NA,NA,NA
"Combined",1998.9619238477,1529.97510741737,139.987404023814,NA,NA,NA
"Combined",1999.00200400802,1528.28682246415,138.94729088292,NA,NA,NA
"Combined",1999.04208416834,1526.59809085903,137.926407982014,NA,NA,NA
"Combined",1999.08216432866,1524.9089247001,136.92464393267,NA,NA,NA
"Combined",1999.12224448898,1523.21934112644,135.941930452056,NA,NA,NA
"Combined",1999.1623246493,1521.52935727708,134.978210685344,NA,NA,NA
"Combined",1999.20240480962,1519.83899029112,134.033436239116,NA,NA,NA
"Combined",1999.24248496994,1518.14825730763,133.107564304071,NA,NA,NA
"Combined",1999.28256513026,1516.45717546565,132.200554880419,NA,NA,NA
"Combined",1999.32264529058,1514.76576190426,131.312368119621,NA,NA,NA
"Combined",1999.3627254509,1513.07403376254,130.442961796261,NA,NA,NA
"Combined",1999.40280561122,1511.38200817954,129.592288924189,NA,NA,NA
"Combined",1999.44288577154,1509.68970229433,128.76029553119,NA,NA,NA
"Combined",1999.48296593186,1507.997133246,127.946918606439,NA,NA,NA
"Combined",1999.52304609218,1506.30431817359,127.152084235059,NA,NA,NA
"Combined",1999.56312625251,1504.61127421618,126.375705934085,NA,NA,NA
"Combined",1999.60320641283,1502.91801851284,125.617683203779,NA,NA,NA
"Combined",1999.64328657315,1501.22456820263,124.877900308126,NA,NA,NA
"Combined",1999.68336673347,1499.53094042461,124.156225297959,NA,NA,NA
"Combined",1999.72344689379,1497.83715231788,123.452509289592,NA,NA,NA
"Combined",1999.76352705411,1496.14322102147,122.766586011394,NA,NA,NA
"Combined",1999.80360721443,1494.44916367446,122.0982716301,NA,NA,NA
"Combined",1999.84368737475,1492.75499741593,121.447364867845,NA,NA,NA
"Combined",1999.88376753507,1491.06073938495,120.813647420235,NA,NA,NA
"Combined",1999.92384769539,1489.36640672056,120.196884684864,NA,NA,NA
"Combined",1999.96392785571,1487.67201656184,119.596826808883,NA,NA,NA
"Combined",2000.00400801603,1485.97758605643,119.013210093317,NA,NA,NA
"Combined",2000.04408817635,1484.28314369319,118.445798585825,NA,NA,NA
"Combined",2000.08416833667,1482.58875166012,117.894463780501,NA,NA,NA
"Combined",2000.12424849699,1480.89447837565,117.359085988433,NA,NA,NA
"Combined",2000.16432865731,1479.20039225818,116.83952939046,NA,NA,NA
"Combined",2000.20440881764,1477.50656172615,116.335639259304,NA,NA,NA
"Combined",2000.24448897796,1475.81305519799,115.847239484861,NA,NA,NA
"Combined",2000.28456913828,1474.11994109209,115.374130418398,NA,NA,NA
"Combined",2000.3246492986,1472.42728782691,114.916087050368,NA,NA,NA
"Combined",2000.36472945892,1470.73516382085,114.47285753543,NA,NA,NA
"Combined",2000.40480961924,1469.04363749234,114.044162077093,NA,NA,NA
"Combined",2000.44488977956,1467.3527772598,113.629692183107,NA,NA,NA
"Combined",2000.48496993988,1465.66265154166,113.229110301308,NA,NA,NA
"Combined",2000.5250501002,1463.97332875634,112.842049844281,NA,NA,NA
"Combined",2000.56513026052,1462.28487732225,112.468115609776,NA,NA,NA
"Combined",2000.60521042084,1460.59736565782,112.106884602403,NA,NA,NA
"Combined",2000.64529058116,1458.91086218149,111.757907260818,NA,NA,NA
"Combined",2000.68537074148,1457.22543531166,111.420709093356,NA,NA,NA
"Combined",2000.7254509018,1455.54115346676,111.094792723959,NA,NA,NA
"Combined",2000.76553106212,1453.85808506522,110.779640349191,NA,NA,NA
"Combined",2000.80561122244,1452.17629852545,110.474716606401,NA,NA,NA
"Combined",2000.84569138277,1450.49586226587,110.179471852452,NA,NA,NA
"Combined",2000.88577154309,1448.81684470493,109.893345851956,NA,NA,NA
"Combined",2000.92585170341,1447.13931426103,109.615771873854,NA,NA,NA
"Combined",2000.96593186373,1445.46333935259,109.346181195176,NA,NA,NA
"Combined",2001.00601202405,1443.78898839173,109.084008220427,NA,NA,NA
"Combined",2001.04609218437,1442.11632696742,108.828790422467,NA,NA,NA
"Combined",2001.08617234469,1440.44541341108,108.580329843312,NA,NA,NA
"Combined",2001.12625250501,1438.77630490396,108.338497612637,NA,NA,NA
"Combined",2001.16633266533,1437.10905862728,108.103192558154,NA,NA,NA
"Combined",2001.20641282565,1435.44373176228,107.874337403933,NA,NA,NA
"Combined",2001.24649298597,1433.7803814902,107.651875089523,NA,NA,NA
"Combined",2001.28657314629,1432.11906499228,107.435765216999,NA,NA,NA
"Combined",2001.32665330661,1430.45983944975,107.225980632639,NA,NA,NA
"Combined",2001.36673346693,1428.80276204385,107.022504149724,NA,NA,NA
"Combined",2001.40681362725,1427.14788995582,106.825325418612,NA,NA,NA
"Combined",2001.44689378758,1425.49528036689,106.634437950084,NA,NA,NA
"Combined",2001.4869739479,1423.8449904583,106.449836297743,NA,NA,NA
"Combined",2001.52705410822,1422.19707741129,106.271513405024,NA,NA,NA
"Combined",2001.56713426854,1420.55159840709,106.099458122202,NA,NA,NA
"Combined",2001.60721442886,1418.90861062695,105.933652898561,NA,NA,NA
"Combined",2001.64729458918,1417.2681712521,105.774071654627,NA,NA,NA
"Combined",2001.6873747495,1415.63033746377,105.620677839128,NA,NA,NA
"Combined",2001.72745490982,1413.9951664432,105.473422675051,NA,NA,NA
"Combined",2001.76753507014,1412.36271537163,105.332243598804,NA,NA,NA
"Combined",2001.80761523046,1410.7330414303,105.197062896181,NA,NA,NA
"Combined",2001.84769539078,1409.10620180044,105.06778653841,NA,NA,NA
"Combined",2001.8877755511,1407.48225366329,104.944303221172,NA,NA,NA
"Combined",2001.92785571142,1405.86125420009,104.826483609027,NA,NA,NA
"Combined",2001.96793587174,1404.24326059207,104.714179787263,NA,NA,NA
"Combined",2002.00801603206,1402.62833002046,104.607224922719,NA,NA,NA
"Combined",2002.04809619238,1401.01651966653,104.505433134675,NA,NA,NA
"Combined",2002.08817635271,1399.40788671148,104.408599576496,NA,NA,NA
"Combined",2002.12825651303,1397.80248833657,104.31650072825,NA,NA,NA
"Combined",2002.16833667335,1396.20038172303,104.228894900179,NA,NA,NA
"Combined",2002.20841683367,1394.60162405208,104.145522946514,NA,NA,NA
"Combined",2002.24849699399,1393.00627250498,104.066109188846,NA,NA,NA
"Combined",2002.28857715431,1391.41438426297,103.990362547991,NA,NA,NA
"Combined",2002.32865731463,1389.82601650726,103.917977883123,NA,NA,NA
"Combined",2002.36873747495,1388.24122641911,103.848637536827,NA,NA,NA
"Combined",2002.40881763527,1386.66007117976,103.782013084645,NA,NA,NA
"Combined",2002.44889779559,1385.08260797042,103.717767287779,NA,NA,NA
"Combined",2002.48897795591,1383.50889397235,103.65555624767,NA,NA,NA
"Combined",2002.52905811623,1381.93898636679,103.595031761384,NA,NA,NA
"Combined",2002.56913827655,1380.37294233496,103.535843877004,NA,NA,NA
"Combined",2002.60921843687,1378.8108190581,103.477643648562,NA,NA,NA
"Combined",2002.64929859719,1377.25267371745,103.420086090435,NA,NA,NA
"Combined",2002.68937875751,1375.69856349426,103.362833331622,NA,NA,NA
"Combined",2002.72945891784,1374.14854556975,103.305557970813,NA,NA,NA
"Combined",2002.76953907816,1372.60267712516,103.247946633722,NA,NA,NA
"Combined",2002.80961923848,1371.06101534173,103.189703734717,NA,NA,NA
"Combined",2002.8496993988,1369.5236174007,103.130555445367,NA,NA,NA
"Combined",2002.88977955912,1367.9905404833,103.070253873091,NA,NA,NA
"Combined",2002.92985971944,1366.46184177077,103.008581453569,NA,NA,NA
"Combined",2002.96993987976,1364.93757844435,102.94535556106,NA,NA,NA
"Combined",2003.01002004008,1363.4178076104,102.880434495825,NA,NA,NA
"Combined",2003.0501002004,1361.90257731603,102.813857706904,NA,NA,NA
"Combined",2003.09018036072,1360.39191801388,102.745957373431,NA,NA,NA
"Combined",2003.13026052104,1358.88585813512,102.677098129394,NA,NA,NA
"Combined",2003.17034068136,1357.38442611094,102.607637537791,NA,NA,NA
"Combined",2003.21042084168,1355.88765037247,102.537919081227,NA,NA,NA
"Combined",2003.250501002,1354.3955593509,102.468265859061,NA,NA,NA
"Combined",2003.29058116232,1352.90818147739,102.398974995842,NA,NA,NA
"Combined",2003.33066132265,1351.4255451831,102.330312766821,NA,NA,NA
"Combined",2003.37074148297,1349.9476788992,102.262510446994,NA,NA,NA
"Combined",2003.41082164329,1348.47461105686,102.19576089047,NA,NA,NA
"Combined",2003.45090180361,1347.00637008725,102.130215846977,NA,NA,NA
"Combined",2003.49098196393,1345.54298442152,102.065984022035,NA,NA,NA
"Combined",2003.53106212425,1344.08448249084,102.003129886831,NA,NA,NA
"Combined",2003.57114228457,1342.63089272639,101.941673243044,NA,NA,NA
"Combined",2003.61122244489,1341.18224355932,101.881589547079,NA,NA,NA
"Combined",2003.65130260521,1339.7385634208,101.822810997192,NA,NA,NA
"Combined",2003.69138276553,1338.29988074201,101.765228386052,NA,NA,NA
"Combined",2003.73146292585,1336.8662239541,101.708693720458,NA,NA,NA
"Combined",2003.77154308617,1335.43762148823,101.653023609159,NA,NA,NA
"Combined",2003.81162324649,1334.01410177559,101.598003419192,NA,NA,NA
"Combined",2003.85170340681,1332.59569324733,101.543392200875,NA,NA,NA
"Combined",2003.89178356713,1331.18242433461,101.488928381564,NA,NA,NA
"Combined",2003.93186372745,1329.77432346862,101.434336228571,NA,NA,NA
"Combined",2003.97194388778,1328.37141908049,101.379333082262,NA,NA,NA
"Combined",2004.0120240481,1326.97373972548,101.32363897325,NA,NA,NA
"Combined",2004.05210420842,1325.58132355822,101.267109178321,NA,NA,NA
"Combined",2004.09218436874,1324.19422500489,101.20983105328,NA,NA,NA
"Combined",2004.13226452906,1322.81250006791,101.151932400776,NA,NA,NA
"Combined",2004.17234468938,1321.43620474963,101.093554833197,NA,NA,NA
"Combined",2004.2124248497,1320.06539505246,101.03484790053,NA,NA,NA
"Combined",2004.25250501002,1318.70012697874,100.975963707452,NA,NA,NA
"Combined",2004.29258517034,1317.34045653088,100.917052020916,NA,NA,NA
