Year,State,NMFS Name,Spatial,Pounds,Dollars,Collection,Confidentiality
2018,HAWAII,MILKFISH ,Reef,"1,744","2,794",Commercial,Public
2018,HAWAII,"MULLET, STRIPED ",Reef,"3,677","18,096",Commercial,Public
2018,HAWAII,MULLETS **,Reef,103,460,Commercial,Public
2018,HAWAII,OCTOPUSES **,Reef,"12,603","66,092",Commercial,Public
2018,HAWAII,OILFISH ,Pelagic,"303,110","234,719",Commercial,Public
2018,HAWAII,OPAH ,Pelagic,"2,326,858","3,301,313",Commercial,Public
2018,HAWAII,PARROTFISHES **,Reef,"52,404","257,070",Commercial,Public
2018,HAWAII,POMFRETS **,Reef,"929,604","2,854,598",Commercial,Public
2018,HAWAII,RUDDERFISH **,Reef,"11,805","22,597",Commercial,Public
2018,HAWAII,"RUNNER, RAINBOW ",Reef,"2,969","7,703",Commercial,Public
2018,HAWAII,SAILFISH ,Pelagic,"29,404","33,370",Commercial,Public
2018,HAWAII,"SCAD, BIGEYE ",Reef,"246,225","833,734",Commercial,Public
2018,HAWAII,"SCAD, MACKEREL ",Reef,"52,668","164,138",Commercial,Public
2018,HAWAII,SCORPIONFISHES **,Reef,"1,744","10,011",Commercial,Public
2018,HAWAII,SEAWEED,Reef,"6,082","84,412",Commercial,Public
2018,HAWAII,"SHARKS, CHONDRICHTHYES (CLASS) **",Reef,564,243,Commercial,Public
2018,HAWAII,"SHARKS, MAKO **",Pelagic,"92,189","62,018",Commercial,Public
2018,HAWAII,"SHRIMP, MARINE **",Reef,"6,957","65,897",Commercial,Public
2018,HAWAII,"SNAPPER, GLASSEYE ",Reef,"3,585","15,606",Commercial,Public
2018,HAWAII,"SNAPPERS, LUTJANIDAE (FAMILY) **",Reef,"197,350","1,434,924",Commercial,Public
2018,HAWAII,SPEARFISHES **,Pelagic,"484,741","577,809",Commercial,Public
2018,HAWAII,"SQUIDS, LOLIGINIDAE **",Reef,236,885,Commercial,Public
2018,HAWAII,SQUIRRELFISHES **,Reef,"40,603","191,451",Commercial,Public
2018,HAWAII,STRIPED MARLIN,Pelagic,"1,258,755","1,700,976",Commercial,Public
2018,HAWAII,SURGEONFISHES **,Reef,"66,466","137,067",Commercial,Public
2018,HAWAII,SWORDFISH ,Pelagic,"1,743,649","3,698,678",Commercial,Public
2018,HAWAII,"TENPOUNDER, HAWAIIAN",Reef,334,648,Commercial,Public
2018,HAWAII,THREADFINS **,Reef,179,"1,388",Commercial,Public
2018,HAWAII,TRIGGERFISHES **,Reef,544,"1,425",Commercial,Public
2018,HAWAII,"TUNA, ALBACORE ",Pelagic,"220,051","393,078",Commercial,Public
2018,HAWAII,"TUNA, BIGEYE ",Pelagic,"15,977,751","66,521,363",Commercial,Public
2018,HAWAII,"TUNA, KAWAKAWA ",Pelagic,"5,445","16,909",Commercial,Public
2018,HAWAII,"TUNA, SKIPJACK ",Pelagic,"370,285","651,287",Commercial,Public
2018,HAWAII,"TUNA, YELLOWFIN ",Pelagic,"7,337,181","26,625,997",Commercial,Public
2018,HAWAII,TUNAS **,Pelagic,"2,304","14,481",Commercial,Public
2018,HAWAII,"VERTEBRATES, JAWED",Reef,"11,854","38,897",Commercial,Public
2018,HAWAII,WAHOO ,Pelagic,"1,147,973","3,039,679",Commercial,Public
2017,HAWAII,AMBERJACKS **,AMBERJACKS **,"3,385","6,709",Commercial,Public
2017,HAWAII,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","BARRACUDAS, SPHYRAENIDAE (FAMILY) **","14,177","19,141",Commercial,Public
2017,HAWAII,BLACK MARLIN,BLACK MARLIN,"17,272","23,778",Commercial,Public
2017,HAWAII,"CRABS, DECAPODA (ORDER) **","CRABS, DECAPODA (ORDER) **","5,095","36,306",Commercial,Public
2017,HAWAII,DOLPHINFISH ,CRUSTACEANS **,"954,252","3,451,179",Commercial,Public
2017,HAWAII,EELS **,DOLPHINFISH ,728,"1,072",Commercial,Public
2017,HAWAII,EMPERORS **,EMPERORS **,"8,299","38,876",Commercial,Public
2017,HAWAII,ESCOLAR ,ESCOLAR ,"5,229","10,113",Commercial,Public
2017,HAWAII,GOATFISHES **,GOATFISHES **,"37,153","167,589",Commercial,Public
2017,HAWAII,"GROUPERS, SERRANIDAE (FAMILY) **","GROUPERS, SERRANIDAE (FAMILY) **","14,575","77,774",Commercial,Public
2017,HAWAII,"HERRING, ROUND ",JACKS **,"4,697","13,946",Commercial,Public
2017,HAWAII,"JACK, BLACK ","JOBFISH, GREEN /UKU ",74,206,Commercial,Public
2017,HAWAII,JACKS **,"LEATHERSKIN, LARGEMOUTHED ","33,004","147,177",Commercial,Public
2017,HAWAII,"JOBFISH, GREEN /UKU ",LIMPETS **,"124,297","600,703",Commercial,Public
2017,HAWAII,"LEATHERSKIN, LARGEMOUTHED ","LOBSTER, BANDED SPINY ",226,576,Commercial,Public
2017,HAWAII,LIMPETS **,"LOBSTERS, SLIPPER **","8,955","71,785",Commercial,Public
2017,HAWAII,"LOBSTER, BANDED SPINY ","MARLIN, BLUE ","3,110","19,984",Commercial,Public
2017,HAWAII,"LOBSTERS, SLIPPER **",MILKFISH ,88,745,Commercial,Public
2017,HAWAII,"MARLIN, BLUE ","MULLET, STRIPED ","1,543,533","2,119,555",Commercial,Public
2017,HAWAII,MILKFISH ,MULLETS **,"1,576","2,531",Commercial,Public
2017,HAWAII,"MULLET, STRIPED ",OCTOPUSES **,"4,210","21,009",Commercial,Public
2017,HAWAII,MULLETS **,OILFISH ,764,"2,775",Commercial,Public
2017,HAWAII,OCTOPUSES **,OPAH ,"19,236","95,851",Commercial,Public
2017,HAWAII,OILFISH ,PARROTFISHES **,"318,062","262,432",Commercial,Public
2017,HAWAII,OPAH ,POMFRETS **,"1,812,022","3,202,803",Commercial,Public
2017,HAWAII,PARROTFISHES **,RUDDERFISH **,"56,551","272,308",Commercial,Public
2017,HAWAII,POMFRETS **,"RUNNER, RAINBOW ","980,398","3,286,613",Commercial,Public
2017,HAWAII,RUDDERFISH **,SAILFISH ,"12,224","20,072",Commercial,Public
2017,HAWAII,"RUNNER, RAINBOW ","SCAD, BIGEYE ","4,324","12,660",Commercial,Public
2017,HAWAII,SAILFISH ,"SCAD, MACKEREL ","38,234","57,649",Commercial,Public
2017,HAWAII,"SCAD, BIGEYE ",SCORPIONFISHES **,"248,824","814,066",Commercial,Public
2017,HAWAII,"SCAD, MACKEREL ",SEAWEED,"57,185","181,751",Commercial,Public
2017,HAWAII,SCORPIONFISHES **,"SHARKS, CHONDRICHTHYES (CLASS) **","1,633","11,805",Commercial,Public
2017,HAWAII,SEAWEED,"SHARKS, MAKO **","8,096","109,556",Commercial,Public
2017,HAWAII,"SHARKS, MAKO **","SHRIMP, MARINE **","90,073","70,182",Commercial,Public
2017,HAWAII,"SHARKS, THRESHER **","SNAPPER, GLASSEYE ","4,436","2,357",Commercial,Public
2017,HAWAII,"SHRIMP, MARINE **","SNAPPERS, LUTJANIDAE (FAMILY) **","1,665","14,132",Commercial,Public
2017,HAWAII,"SNAPPER, GLASSEYE ",SPEARFISHES **,"4,641","20,022",Commercial,Public
2017,HAWAII,"SNAPPERS, LUTJANIDAE (FAMILY) **","SQUIDS, LOLIGINIDAE **","297,997","2,024,587",Commercial,Public
2017,HAWAII,SPEARFISHES **,SQUIRRELFISHES **,"689,858","789,107",Commercial,Public
2017,HAWAII,"SQUIDS, LOLIGINIDAE **",STRIPED MARLIN,"1,308","5,619",Commercial,Public
2017,HAWAII,SQUIRRELFISHES **,SURGEONFISHES **,"55,955","260,563",Commercial,Public
2017,HAWAII,STRIPED MARLIN,SWORDFISH ,"1,019,406","1,686,257",Commercial,Public
2017,HAWAII,SURGEONFISHES **,"TENPOUNDER, HAWAIIAN","85,903","172,179",Commercial,Public
2017,HAWAII,SWORDFISH ,THREADFINS **,"2,560,680","5,823,479",Commercial,Public
2017,HAWAII,"TENPOUNDER, HAWAIIAN",TRIGGERFISHES **,"1,170","2,183",Commercial,Public
2017,HAWAII,THREADFINS **,"TUNA, ALBACORE ",217,"1,579",Commercial,Public
2017,HAWAII,TRIGGERFISHES **,"TUNA, BIGEYE ",310,724,Commercial,Public
2017,HAWAII,"TUNA, ALBACORE ","TUNA, KAWAKAWA ","276,556","504,874",Commercial,Public
2017,HAWAII,"TUNA, BIGEYE ","TUNA, SKIPJACK ","16,976,424","64,787,731",Commercial,Public
2017,HAWAII,"TUNA, KAWAKAWA ","TUNA, YELLOWFIN ","6,720","17,234",Commercial,Public
2017,HAWAII,"TUNA, SKIPJACK ",TUNAS **,"492,728","770,487",Commercial,Public
2017,HAWAII,"TUNA, YELLOWFIN ","VERTEBRATES, JAWED","7,267,828","21,173,447",Commercial,Public
2017,HAWAII,TUNAS **,WAHOO ,"7,878","30,850",Commercial,Public
2017,HAWAII,"VERTEBRATES, JAWED",Reef,"10,022","38,324",Commercial,Public
2017,HAWAII,WAHOO ,Pelagic,"972,832","3,065,761",Commercial,Public
2016,HAWAII,ALFONSINO ,Pelagic,12,73,Commercial,Public
2016,HAWAII,AMBERJACKS **,Reef,"3,209","6,438",Commercial,Public
