GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,HUMNR,PCTOWNER,PCTRENTER,MOV2015,MOV2010_14,MOV2000_09,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_17,VALUE_17,DEALERNUM_17,COMMPMT_17,PNDSPRPOP_17,VALUPRPOP_17,DEALERNUMPRPOP_17,COMMPRPOP_17,RECPSSRMODESH_17,RECPSSRMODECH,RECPSSRMODEPR_17,RECPSSRMODESHPOP_17,RECPSSRMODECHPOP_17,RECPSSRMODEPRPOP_17
0600000US1500193150,1500193150,60,"South Kohala, HI","South Kohala CCD, Hawaii County, Hawaii",Hawaii,19.936748,-155.7519126,19657,48,52,49.69918513,57.22601228,6.5,1.6,41.5,38.2,1.1,0,18.8,14.8,8.7,36.2,10100,37,2.9,21.4,0,0.5,2.2,29.6,5,66.8,33.2,14.3,31.4,29.1,2.6,0.1,0.3,422400,2058,34.6,1393,26.6,6366,11.2,32.3,37.7,3.05,0.8,10.8,1.4,10.4,1.6,4.2,26.2,22.3,82.4,2.6,4,13.3,9.1,66.5,63,3.4,63.9,59.8,28.9,25.7,1.980932203,5,21.4,8.2,5.8,8.2,73720,97310,34.1,14.2,27243,3,1.6,33161,7.7,10,14.4,6.3,24,8,73.9,0,1.07849621,0.4449,71.76325524,48.59205776,105.0485437,-19.24981685,47.82608696,16.53225806,12.78955877,164.7,5,1,2,305,111.71429,0,25.57143,0,0,106588,343596,3,53,5422.3940580963526,17479.574706211526,0.15261738820776313,2.6962405250038155,24,148,36,1.220939106,7.529124485,1.831408658
0600000US1500193240,1500193240,60,"South Kona, HI","South Kona CCD, Hawaii County, Hawaii",Hawaii,19.3372688,-155.8376215,11193,48.4,51.6,30.31784841,33.97108141,6.7,2.5,45.4,33.2,0.1,0.3,17.9,14.7,8,31.2,4370,16.1,2.4,4.9,0.6,0,1.9,14.6,4.7,66.6,33.4,9.7,21.3,31.5,3,0,3.8,457400,1906,31.7,1046,55.8,3665,13,32.4,41.9,3.05,1.1,10.3,1.1,10.8,3.1,4.8,32.5,16.1,91.5,0.1,2.6,11.1,7.8,56.7,54,2.8,54,51,32.1,22.9,2.318958503,10,13.4,14.7,5.9,6.8,56793,97001,45.6,21,30010,3.9,5.6,33933,8.8,11,16.8,4.6,34,13,53.4,0,0.268024658,0.5459,82.86713287,44.0665155,114.6410136,-11.66168224,-26.31578947,17.58241758,26.90453208,186.1,5,0,2,93,135.16667,0,23.83333,0,0,193370,559547,1,66,17275.976056463864,49990.797820066116,8.9341552756186909E-2,5.8965424819083356,20,5,19,1.786831055,0.446707764,1.697489502
0600000US1500390270,1500390270,60,"Ewa, HI","Ewa CCD, Honolulu County, Hawaii",Hawaii,21.3682481,-158.0214964,344153,50.9,49.1,26.37444552,2086.002989,7.1,2.1,35.8,16.6,2.7,0.1,46.1,8.1,10.7,14.4,102725,5.3,0.5,4.4,0.1,0.9,3.6,16.3,5.1,65.5,34.5,10.3,29.7,25.9,4.3,0,0.3,572500,2399,25.8,1927,47.3,97277,12.5,40.8,31.8,3.45,1.1,6.3,1.6,8.2,3.8,3.7,27.5,21.2,86.3,0.3,3.8,19.3,11.9,68.8,60.8,2.6,62.5,58.5,34.1,20.9,0.365847,0.6,13.1,3.9,2.9,9.1,93697,106712,31.6,27.6,30046,3.5,3,32105,4.1,6.1,7.9,5.8,33,11,76.8,0.665745509,2.576760917,0.3615,109.912854,34.69960696,111.5668884,3.135690299,-23.52941176,9.294871795,31.75251683,0,5,1,1,2417,191.80952,0,20.97619,0,0,3577271,12401702,7,203,10394.420504833606,36035.431915456204,2.0339790732610205E-2,0.58985393124569596,193,150,0,0.560797087,0.435852659,0
0600000US1500390810,1500390810,60,"Honolulu, HI","Honolulu CCD, Honolulu County, Hawaii",Hawaii,21.3178503,-157.9462169,402452,49.4,50.6,8.104942798,4525.297794,5.2,4,41.9,19.2,1.7,0.1,53.1,7.6,6.8,17.4,169422,13.5,1,6.7,0.1,0.8,1.6,7.6,3.9,48.4,51.6,10.9,33.7,24.6,15.1,0,0.5,688200,2581,32.7,1441,46.2,146553,11.6,25.9,36.9,2.65,1,8.6,1.4,11.1,5.1,5.2,23,24.4,85.5,0.4,3.2,25.5,20.5,64,59.6,2.3,58.3,55.6,24.3,21.9,0.275917413,0.3,16.6,6.6,6.2,9.6,70527,96426,34.8,21.9,31213,3.9,3.2,36798,6.9,10.6,12.5,9.6,45,9,60.2,0.425591883,3.538558636,0.4708,89.60526316,26.33382281,77.9674166,-2.827837041,-34.28571429,5.194805195,92.68620403,0,5,8,6,3958,73.89744,0,19.24176,0,0,17533199,61470354,13,250,43565.938298231842,152739.59130529853,3.2301988808603264E-2,0.62119209247313967,353,922,218,0.877123235,2.290956437,0.541679505
0600000US1500391710,1500391710,60,"Koolauloa, HI","Koolauloa CCD, Honolulu County, Hawaii",Hawaii,21.6388981,-157.9509804,20788,51.7,48.3,9.995237843,302.7632093,8.9,1.6,30.2,37.1,0.9,0.1,10.7,19.3,7.8,34.9,6551,21.7,2,4.1,0.3,0.7,3,11,4.9,54.8,45.2,11.8,27.4,21.4,6.1,0,0.2,718200,2659,38.9,1645,38.8,5131,12.4,39.8,32.2,3.7,0.9,7.7,0.7,8.4,2.3,3.4,26.6,25.4,80,0.5,8.2,10,6.7,64.2,60.5,2.3,56,53.7,31.8,24.8,0.770529871,1.8,17.9,8.7,3.6,10.8,86048,105552,31.9,21.2,33302,3.9,2.2,28175,5.8,8.9,8.3,6,40,12,65.8,0.355366027,8.610736964,0.4007,97.71634615,64.23718345,156.6833452,-10.22488479,-54,-5.357142857,60.39163271,18.5,5,0,1,172,192.45455,0,23.72727,0,0,82721,211037,1,18,3979.2668847411969,10151.86646142005,4.8104675774485281E-2,0.86588416394073497,15,0,0,0.721570137,0,0
0600000US1500391800,1500391800,60,"Koolaupoko, HI","Koolaupoko CCD, Honolulu County, Hawaii",Hawaii,21.4369085,-157.7454633,115160,50.9,49.1,-2.401817042,1707.503454,6,2.6,38.4,34.3,1.5,0.2,25.2,7.1,9.6,31.3,36599,4.9,0.5,2.3,0.1,0.4,3,7.2,5.5,67.4,32.6,8.9,26.9,20.5,3.6,0.1,0.4,780000,2764,28.2,2230,51.6,34795,12.2,33.9,37.8,3.16,0.7,7.1,0.7,10.2,1.3,3.2,25.9,24.8,86.8,0.2,5.5,7.6,5.1,66.6,56.4,2.5,60.1,56.7,27.8,16.9,0.418410042,0.9,9.6,7.3,2.7,14.5,99509,123290,37.5,28.8,35079,2.7,2.5,39558,3.6,6.3,8.9,3.8,46,14,69.5,1.074168798,4.505904828,0.4105,111.7758784,50.13579576,136.5787079,-4.062393091,-26.47058824,-0.714285714,64.65516937,0,5,3,5,706,192.23077,0,19,0,0,1638785,5848119,2,120,14230.505383813825,50782.554706495313,1.736714136853074E-2,1.0420284821118444,49,0,192,0.425494964,0,1.667245571
0600000US1500393420,1500393420,60,"Wahiawa, HI","Wahiawa CCD, Honolulu County, Hawaii",Hawaii,21.5011889,-158.0264599,45685,55.5,44.5,19.06437321,1151.51829,11.1,1.6,25.7,36.8,9.1,0.3,25,6.3,17,29,12949,7.2,0,1.3,0.1,1.2,6.9,16.9,5.4,29.3,70.7,17.3,46,16.4,7.6,0,0.2,524400,1966,37.8,2235,68.7,12018,10.8,51,21.8,3.39,0.6,5,1,8.3,4.8,3.6,29.4,15.9,76.6,0.6,13.1,14.1,9.7,71.6,41.3,3.4,56.5,45.9,21.2,25.8,0.808314088,1.4,16.4,4.6,5.7,3.8,60227,73989,22.9,14.9,27269,4.9,3.6,23124,7.1,9.4,10.6,8.2,39,6,66.7,0.425652667,10.69935427,0.4091,227.71261,22.56857855,121.2658228,2.503010175,-8.108108108,-1.395348837,1.237192314,7.9,5,0,0,381,191.91667,0,24.625,0,0,355333,1441811,2,22,7777.89208711831,31559.833643427821,4.3778045310276896E-2,0.48155849841304582,0,0,0,0,0,0
0600000US1500393510,1500393510,60,"Waialua, HI","Waialua CCD, Honolulu County, Hawaii",Hawaii,21.5800225,-158.1234063,12733,49.7,50.3,-9.225065944,115.8642175,7.6,2.2,34.1,42.5,4.8,0.3,24.1,5.4,14.6,35.7,4704,14.2,2.5,0.7,0.1,1.2,3.8,4.3,5,47.4,52.6,9.7,38.2,18.7,4.7,0,0.5,674400,2792,36.7,1838,60.9,4034,11.8,37.6,28.5,3.09,0.9,9.8,1.7,10.6,5.2,4.9,27.3,19.3,81,0.3,8.8,12.7,10.3,67.5,53.7,3.3,61.4,54,29.9,20.1,1.230101302,3.6,16.1,7.9,4.8,6.9,64979,89739,31.5,18.5,30140,3.2,2.2,30624,5.2,9.7,11.1,8,42,8,61.8,1.097178683,2.159742402,0.448,139.0117035,79.89690722,179.1390728,-10.0591068,-13.15789474,-0.664451827,37.8434978,15.3,5,1,3,247,192.72727,0,27.90909,0,0,98637,241978,0,23,7746.5640461792191,19004.005340453939,0,1.8063300086389695,80,242,37,6.282886987,19.00573313,2.905835231
0600000US1500393600,1500393600,60,"Waianae, HI","Waianae CCD, Honolulu County, Hawaii",Hawaii,21.4613654,-158.201974,49089,48.8,51.2,16.16223763,804.429519,8.5,1.1,32.8,11.1,1,0.3,13.1,37.4,18.1,9.4,13424,13.3,1,5.7,0.1,1.9,3,11.1,4.8,59.1,40.9,8.4,30.2,25.3,11.3,0,0.8,363900,1892,27.6,1277,55.5,11643,21.1,46.6,32.9,4.04,1.2,9.2,2.6,10.2,3.8,8,45.5,9.2,85.3,0.5,1.8,8.8,6.7,60.3,51.1,8.4,55.7,48.8,45.4,25.1,0.877986484,2.1,12.9,4.2,9.3,4.3,62318,79194,37.4,25.5,24490,13.1,9.9,20252,17.4,23.3,31.6,10.2,39,12,76.6,0.101714618,4.269795677,0.453,87.79411765,60.61120543,123.9384615,-2.998311571,-3.448275862,8.353221957,52.08849876,12.3,5,1,7,341,193.375,0,28,0,0,373847,1552787,3,66,7615.6980178858812,31632.076432602011,6.1113487746745708E-2,1.3444967304284057,59,70,167,1.201898592,1.425981381,3.401984151
0600000US1500590990,1500590990,60,"Kalawao, HI","Kalawao CCD, Kalawao County, Hawaii",Hawaii,21.2187644,-156.9740097,86,47.7,52.3,-41.49659864,7.171801933,2.3,3.5,57.6,20.9,0,0,31.4,33.7,4.7,20.9,95,44.2,0,10.2,0,0,0,1.1,3.4,3.8,96.2,13.2,35.8,20.8,24.5,0,0,,,,867,14.3,53,0,0,11.3,1.4,5,17.5,0,0,3.8,8.9,25.3,13.9,88.2,7.1,3.5,7,10.7,79.8,75,0,72.7,72.7,6.6,38.1,0,4.8,22.2,3.2,13.2,0,61750,70187,11.3,11.3,23833,5.7,9.4,46024,20,12.7,,28.6,72,7,0,0,13.95348837,0.3801,65.14285714,,,-3.8,,-48.8372093,77.30073608,53.9,5,0,0,11,194,0,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
