"Year","Species","RCatch","Group","Habitat"
2003,"ACHILLES TANG",52933,"TANGS","All Species"
2006,"ACHILLES TANG",0,"TANGS","All Species"
2007,"ACHILLES TANG",8389,"TANGS","All Species"
2008,"ACHILLES TANG",4479,"TANGS","All Species"
2010,"ACHILLES TANG",2187,"TANGS","All Species"
2011,"ACHILLES TANG",131,"TANGS","All Species"
2012,"ACHILLES TANG",963,"TANGS","All Species"
2013,"ACHILLES TANG",5270,"TANGS","All Species"
2015,"ACHILLES TANG",2292,"TANGS","All Species"
2016,"ACHILLES TANG",1423,"TANGS","All Species"
2018,"ACHILLES TANG",16934,"TANGS","All Species"
2019,"ACHILLES TANG",77956,"TANGS","All Species"
2020,"ACHILLES TANG",32420,"TANGS","All Species"
2004,"ACUTE HALFBEAK",3161,"HALFBEAKS","All Species"
2014,"ACUTE HALFBEAK",16340,"HALFBEAKS","All Species"
2015,"ACUTE HALFBEAK",11308,"HALFBEAKS","All Species"
2016,"ACUTE HALFBEAK",1129,"HALFBEAKS","All Species"
2019,"ACUTE HALFBEAK",24281,"HALFBEAKS","All Species"
2020,"ACUTE HALFBEAK",17284,"HALFBEAKS","All Species"
2004,"AFRICAN POMPANO",2235,"POMPANO","All Species"
2005,"AFRICAN POMPANO",695,"POMPANO","All Species"
2008,"AFRICAN POMPANO",913,"POMPANO","All Species"
2012,"AFRICAN POMPANO",1295,"POMPANO","All Species"
2013,"AFRICAN POMPANO",1320,"POMPANO","All Species"
2014,"AFRICAN POMPANO",330,"POMPANO","All Species"
2015,"AFRICAN POMPANO",1426,"POMPANO","All Species"
2016,"AFRICAN POMPANO",218,"POMPANO","All Species"
2017,"AFRICAN POMPANO",246,"POMPANO","All Species"
2019,"AFRICAN POMPANO",962,"POMPANO","All Species"
2020,"AFRICAN POMPANO",1505,"POMPANO","All Species"
2003,"ALBACORE",657,"TUNA","All Species"
2006,"ALBACORE",4712,"TUNA","All Species"
2007,"ALBACORE",1433,"TUNA","All Species"
2008,"ALBACORE",2719,"TUNA","All Species"
2009,"ALBACORE",1634,"TUNA","All Species"
2010,"ALBACORE",200,"TUNA","All Species"
2014,"ALBACORE",1236,"TUNA","All Species"
2015,"ALBACORE",377,"TUNA","All Species"
2016,"ALBACORE",2176,"TUNA","All Species"
2017,"ALBACORE",760,"TUNA","All Species"
2018,"ALBACORE",6298,"TUNA","All Species"
2019,"ALBACORE",281,"TUNA","All Species"
2003,"AMBON TOBY",2168,"PUFFERS","All Species"
2004,"AMBON TOBY",0,"PUFFERS","All Species"
2005,"AMBON TOBY",0,"PUFFERS","All Species"
2006,"AMBON TOBY",0,"PUFFERS","All Species"
2007,"AMBON TOBY",0,"PUFFERS","All Species"
2008,"AMBON TOBY",0,"PUFFERS","All Species"
2009,"AMBON TOBY",979,"PUFFERS","All Species"
2011,"AMBON TOBY",0,"PUFFERS","All Species"
2003,"ANCHOVY FAMILY",21248,"ANCHOVIES","All Species"
2006,"ANCHOVY FAMILY",10307,"ANCHOVIES","All Species"
2003,"BALDWINS WRASSE",56683,"WRASSES","All Species"
2004,"BALDWINS WRASSE",23422,"WRASSES","All Species"
2005,"BALDWINS WRASSE",27004,"WRASSES","All Species"
2006,"BALDWINS WRASSE",6636,"WRASSES","All Species"
2007,"BALDWINS WRASSE",2323,"WRASSES","All Species"
2008,"BALDWINS WRASSE",9715,"WRASSES","All Species"
2009,"BALDWINS WRASSE",12574,"WRASSES","All Species"
2010,"BALDWINS WRASSE",7392,"WRASSES","All Species"
2011,"BALDWINS WRASSE",4111,"WRASSES","All Species"
2012,"BALDWINS WRASSE",2745,"WRASSES","All Species"
2013,"BALDWINS WRASSE",4383,"WRASSES","All Species"
2014,"BALDWINS WRASSE",3036,"WRASSES","All Species"
2015,"BALDWINS WRASSE",12718,"WRASSES","All Species"
2016,"BALDWINS WRASSE",6937,"WRASSES","All Species"
2017,"BALDWINS WRASSE",6903,"WRASSES","All Species"
2018,"BALDWINS WRASSE",27414,"WRASSES","All Species"
2019,"BALDWINS WRASSE",32968,"WRASSES","All Species"
2020,"BALDWINS WRASSE",35306,"WRASSES","All Species"
2003,"BANDFIN CARDINALFISH",54059,"CARDINALFISHES","All Species"
2016,"BANDFIN CARDINALFISH",5267,"CARDINALFISHES","All Species"
2003,"BANDTAIL GOATFISH",65537,"GOATFISHES","All Species"
2004,"BANDTAIL GOATFISH",3176,"GOATFISHES","All Species"
2006,"BANDTAIL GOATFISH",6886,"GOATFISHES","All Species"
2007,"BANDTAIL GOATFISH",2611,"GOATFISHES","All Species"
2008,"BANDTAIL GOATFISH",10565,"GOATFISHES","All Species"
2009,"BANDTAIL GOATFISH",1422,"GOATFISHES","All Species"
2010,"BANDTAIL GOATFISH",15169,"GOATFISHES","All Species"
2011,"BANDTAIL GOATFISH",5771,"GOATFISHES","All Species"
2012,"BANDTAIL GOATFISH",0,"GOATFISHES","All Species"
2013,"BANDTAIL GOATFISH",6715,"GOATFISHES","All Species"
2014,"BANDTAIL GOATFISH",29482,"GOATFISHES","All Species"
2015,"BANDTAIL GOATFISH",25040,"GOATFISHES","All Species"
2016,"BANDTAIL GOATFISH",1983,"GOATFISHES","All Species"
2017,"BANDTAIL GOATFISH",2094,"GOATFISHES","All Species"
2018,"BANDTAIL GOATFISH",6364,"GOATFISHES","All Species"
2019,"BANDTAIL GOATFISH",15488,"GOATFISHES","All Species"
2020,"BANDTAIL GOATFISH",0,"GOATFISHES","All Species"
2003,"BANDTAIL PARROTFISH",8559,"PARROTFISHES","All Species"
2004,"BANDTAIL PARROTFISH",13141,"PARROTFISHES","All Species"
2006,"BANDTAIL PARROTFISH",1703,"PARROTFISHES","All Species"
2007,"BANDTAIL PARROTFISH",7532,"PARROTFISHES","All Species"
2008,"BANDTAIL PARROTFISH",3477,"PARROTFISHES","All Species"
2010,"BANDTAIL PARROTFISH",2012,"PARROTFISHES","All Species"
2017,"BARRED FILEFISH",585,"FILEFISHES","All Species"
2003,"BARRED JACK",9325,"JACKS","All Species"
2004,"BARRED JACK",3161,"JACKS","All Species"
2005,"BARRED JACK",263,"JACKS","All Species"
2009,"BARRED JACK",5145,"JACKS","All Species"
2011,"BARRED JACK",2572,"JACKS","All Species"
2012,"BARRED JACK",5815,"JACKS","All Species"
2014,"BARRED JACK",3526,"JACKS","All Species"
2015,"BARRED JACK",4133,"JACKS","All Species"
2016,"BARRED JACK",1768,"JACKS","All Species"
2017,"BARRED JACK",2043,"JACKS","All Species"
2018,"BARRED JACK",17160,"JACKS","All Species"
2019,"BARRED JACK",14786,"JACKS","All Species"
2020,"BARRED JACK",5756,"JACKS","All Species"
2003,"BIGEYE EMPEROR",1117,"BIGEYE EMPEROR","All Species"
2004,"BIGEYE EMPEROR",3466,"BIGEYE EMPEROR","All Species"
2005,"BIGEYE EMPEROR",3020,"BIGEYE EMPEROR","All Species"
2006,"BIGEYE EMPEROR",2029,"BIGEYE EMPEROR","All Species"
2007,"BIGEYE EMPEROR",2988,"BIGEYE EMPEROR","All Species"
2008,"BIGEYE EMPEROR",785,"BIGEYE EMPEROR","All Species"
2011,"BIGEYE EMPEROR",384,"BIGEYE EMPEROR","All Species"
2012,"BIGEYE EMPEROR",1080,"BIGEYE EMPEROR","All Species"
2013,"BIGEYE EMPEROR",254,"BIGEYE EMPEROR","All Species"
2014,"BIGEYE EMPEROR",1284,"BIGEYE EMPEROR","All Species"
2015,"BIGEYE EMPEROR",1646,"BIGEYE EMPEROR","All Species"
2016,"BIGEYE EMPEROR",1464,"BIGEYE EMPEROR","All Species"
2017,"BIGEYE EMPEROR",213,"BIGEYE EMPEROR","All Species"
2018,"BIGEYE EMPEROR",6175,"BIGEYE EMPEROR","All Species"
2019,"BIGEYE EMPEROR",1413,"BIGEYE EMPEROR","All Species"
2020,"BIGEYE EMPEROR",3510,"BIGEYE EMPEROR","All Species"
2003,"BIGEYE FAMILY",27135,"BIGEYE","All Species"
2004,"BIGEYE FAMILY",3466,"BIGEYE","All Species"
2005,"BIGEYE FAMILY",6009,"BIGEYE","All Species"
2006,"BIGEYE FAMILY",0,"BIGEYE","All Species"
2008,"BIGEYE FAMILY",5657,"BIGEYE","All Species"
2010,"BIGEYE FAMILY",4711,"BIGEYE","All Species"
2012,"BIGEYE FAMILY",768,"BIGEYE","All Species"
2013,"BIGEYE FAMILY",2156,"BIGEYE","All Species"
2014,"BIGEYE FAMILY",7626,"BIGEYE","All Species"
2015,"BIGEYE FAMILY",2859,"BIGEYE","All Species"
2016,"BIGEYE FAMILY",718,"BIGEYE","All Species"
2017,"BIGEYE FAMILY",1368,"BIGEYE","All Species"
2003,"BIGEYE SCAD",590357,"SCADS","All Species"
2004,"BIGEYE SCAD",85670,"SCADS","All Species"
2005,"BIGEYE SCAD",682514,"SCADS","All Species"
2006,"BIGEYE SCAD",587037,"SCADS","All Species"
2007,"BIGEYE SCAD",1022023,"SCADS","All Species"
2008,"BIGEYE SCAD",352490,"SCADS","All Species"
2009,"BIGEYE SCAD",720587,"SCADS","All Species"
2010,"BIGEYE SCAD",675563,"SCADS","All Species"
2011,"BIGEYE SCAD",655607,"SCADS","All Species"
2012,"BIGEYE SCAD",347515,"SCADS","All Species"
2013,"BIGEYE SCAD",810147,"SCADS","All Species"
2014,"BIGEYE SCAD",731985,"SCADS","All Species"
2015,"BIGEYE SCAD",1035617,"SCADS","All Species"
2016,"BIGEYE SCAD",542125,"SCADS","All Species"
2017,"BIGEYE SCAD",1064372,"SCADS","All Species"
2018,"BIGEYE SCAD",3637857,"SCADS","All Species"
2019,"BIGEYE SCAD",4438580,"SCADS","All Species"
2020,"BIGEYE SCAD",3256580,"SCADS","All Species"
2003,"BIGEYE TREVALLY",9407,"TREVALLY","All Species"
2004,"BIGEYE TREVALLY",11926,"TREVALLY","All Species"
2005,"BIGEYE TREVALLY",314,"TREVALLY","All Species"
2010,"BIGEYE TREVALLY",1553,"TREVALLY","All Species"
2011,"BIGEYE TREVALLY",1140,"TREVALLY","All Species"
2012,"BIGEYE TREVALLY",1880,"TREVALLY","All Species"
2013,"BIGEYE TREVALLY",2937,"TREVALLY","All Species"
2014,"BIGEYE TREVALLY",5471,"TREVALLY","All Species"
2015,"BIGEYE TREVALLY",401,"TREVALLY","All Species"
2018,"BIGEYE TREVALLY",600,"TREVALLY","All Species"
2020,"BIGEYE TREVALLY",2984,"TREVALLY","All Species"
2003,"BIGEYE TUNA",2893,"TUNA","All Species"
2004,"BIGEYE TUNA",42184,"TUNA","All Species"
2005,"BIGEYE TUNA",63170,"TUNA","All Species"
2006,"BIGEYE TUNA",20932,"TUNA","All Species"
2007,"BIGEYE TUNA",13363,"TUNA","All Species"
2008,"BIGEYE TUNA",23972,"TUNA","All Species"
2009,"BIGEYE TUNA",21020,"TUNA","All Species"
2010,"BIGEYE TUNA",17520,"TUNA","All Species"
2011,"BIGEYE TUNA",9136,"TUNA","All Species"
2012,"BIGEYE TUNA",22077,"TUNA","All Species"
2013,"BIGEYE TUNA",3162,"TUNA","All Species"
2014,"BIGEYE TUNA",38322,"TUNA","All Species"
2015,"BIGEYE TUNA",4592,"TUNA","All Species"
2016,"BIGEYE TUNA",10465,"TUNA","All Species"
2017,"BIGEYE TUNA",375,"TUNA","All Species"
2018,"BIGEYE TUNA",6578,"TUNA","All Species"
2019,"BIGEYE TUNA",8762,"TUNA","All Species"
2020,"BIGEYE TUNA",8020,"TUNA","All Species"
2003,"BIGSCALE SOLDIERFISH",45672,"SOLDIERFISHES","All Species"
2005,"BIGSCALE SOLDIERFISH",24972,"SOLDIERFISHES","All Species"
2006,"BIGSCALE SOLDIERFISH",6041,"SOLDIERFISHES","All Species"
2007,"BIGSCALE SOLDIERFISH",660,"SOLDIERFISHES","All Species"
2008,"BIGSCALE SOLDIERFISH",8043,"SOLDIERFISHES","All Species"
2009,"BIGSCALE SOLDIERFISH",26610,"SOLDIERFISHES","All Species"
2010,"BIGSCALE SOLDIERFISH",41029,"SOLDIERFISHES","All Species"
2011,"BIGSCALE SOLDIERFISH",1863,"SOLDIERFISHES","All Species"
2012,"BIGSCALE SOLDIERFISH",7908,"SOLDIERFISHES","All Species"
2013,"BIGSCALE SOLDIERFISH",10689,"SOLDIERFISHES","All Species"
2014,"BIGSCALE SOLDIERFISH",23825,"SOLDIERFISHES","All Species"
2015,"BIGSCALE SOLDIERFISH",31543,"SOLDIERFISHES","All Species"
2016,"BIGSCALE SOLDIERFISH",50331,"SOLDIERFISHES","All Species"
2017,"BIGSCALE SOLDIERFISH",74778,"SOLDIERFISHES","All Species"
2018,"BIGSCALE SOLDIERFISH",480643,"SOLDIERFISHES","All Species"
2019,"BIGSCALE SOLDIERFISH",154773,"SOLDIERFISHES","All Species"
2020,"BIGSCALE SOLDIERFISH",78600,"SOLDIERFISHES","All Species"
2005,"BILLFISH FAMILY",335,"BILLFISH FAMILY","All Species"
2008,"BILLFISH FAMILY",488,"BILLFISH FAMILY","All Species"
2010,"BILLFISH FAMILY",417,"BILLFISH FAMILY","All Species"
2014,"BILLFISH FAMILY",421,"BILLFISH FAMILY","All Species"
2016,"BILLFISH FAMILY",236,"BILLFISH FAMILY","All Species"
2017,"BILLFISH FAMILY",0,"BILLFISH FAMILY","All Species"
2018,"BILLFISH FAMILY",1842,"BILLFISH FAMILY","All Species"
2019,"BILLFISH FAMILY",399,"BILLFISH FAMILY","All Species"
2020,"BILLFISH FAMILY",1335,"BILLFISH FAMILY","All Species"
2004,"BINGHAMS SNAPPER",813,"SNAPPERS","All Species"
2005,"BINGHAMS SNAPPER",3674,"SNAPPERS","All Species"
2007,"BINGHAMS SNAPPER",850,"SNAPPERS","All Species"
2008,"BINGHAMS SNAPPER",8037,"SNAPPERS","All Species"
2009,"BINGHAMS SNAPPER",484,"SNAPPERS","All Species"
2010,"BINGHAMS SNAPPER",2110,"SNAPPERS","All Species"
2011,"BINGHAMS SNAPPER",167,"SNAPPERS","All Species"
2012,"BINGHAMS SNAPPER",9254,"SNAPPERS","All Species"
2013,"BINGHAMS SNAPPER",2147,"SNAPPERS","All Species"
2014,"BINGHAMS SNAPPER",166,"SNAPPERS","All Species"
2015,"BINGHAMS SNAPPER",1708,"SNAPPERS","All Species"
2016,"BINGHAMS SNAPPER",238,"SNAPPERS","All Species"
2017,"BINGHAMS SNAPPER",920,"SNAPPERS","All Species"
2018,"BINGHAMS SNAPPER",2151,"SNAPPERS","All Species"
2019,"BINGHAMS SNAPPER",20394,"SNAPPERS","All Species"
2020,"BINGHAMS SNAPPER",4999,"SNAPPERS","All Species"
2003,"BIRD WRASSE",11781,"WRASSES","All Species"
2004,"BIRD WRASSE",1588,"WRASSES","All Species"
2006,"BIRD WRASSE",3509,"WRASSES","All Species"
2007,"BIRD WRASSE",8280,"WRASSES","All Species"
2010,"BIRD WRASSE",4159,"WRASSES","All Species"
2008,"BLACK MARLIN",164,"MARLINS","All Species"
2014,"BLACK MARLIN",191,"MARLINS","All Species"
2017,"BLACK MARLIN",203,"MARLINS","All Species"
2003,"BLACK SURGEONFISH",35364,"SURGEONFISHES","All Species"
2005,"BLACK SURGEONFISH",29780,"SURGEONFISHES","All Species"
2007,"BLACK SURGEONFISH",15275,"SURGEONFISHES","All Species"
2008,"BLACK SURGEONFISH",164,"SURGEONFISHES","All Species"
2009,"BLACK SURGEONFISH",8300,"SURGEONFISHES","All Species"
2010,"BLACK SURGEONFISH",22420,"SURGEONFISHES","All Species"
2011,"BLACK SURGEONFISH",5051,"SURGEONFISHES","All Species"
2012,"BLACK SURGEONFISH",11194,"SURGEONFISHES","All Species"
2013,"BLACK SURGEONFISH",3114,"SURGEONFISHES","All Species"
2014,"BLACK SURGEONFISH",8840,"SURGEONFISHES","All Species"
2015,"BLACK SURGEONFISH",1755,"SURGEONFISHES","All Species"
2016,"BLACK SURGEONFISH",91,"SURGEONFISHES","All Species"
2019,"BLACK SURGEONFISH",1561,"SURGEONFISHES","All Species"
2003,"BLACK TREVALLY",762,"TREVALLY","All Species"
2004,"BLACK TREVALLY",406,"TREVALLY","All Species"
2005,"BLACK TREVALLY",2218,"TREVALLY","All Species"
2006,"BLACK TREVALLY",1401,"TREVALLY","All Species"
2008,"BLACK TREVALLY",76897,"TREVALLY","All Species"
2009,"BLACK TREVALLY",210,"TREVALLY","All Species"
2015,"BLACK TREVALLY",82,"TREVALLY","All Species"
2020,"BLACK TREVALLY",1323,"TREVALLY","All Species"
2003,"BLACK TRIGGERFISH",34539,"TRIGGERFISHES","All Species"
2004,"BLACK TRIGGERFISH",0,"TRIGGERFISHES","All Species"
2005,"BLACK TRIGGERFISH",0,"TRIGGERFISHES","All Species"
2006,"BLACK TRIGGERFISH",2802,"TRIGGERFISHES","All Species"
2007,"BLACK TRIGGERFISH",0,"TRIGGERFISHES","All Species"
2009,"BLACK TRIGGERFISH",1245,"TRIGGERFISHES","All Species"
2010,"BLACK TRIGGERFISH",12580,"TRIGGERFISHES","All Species"
2011,"BLACK TRIGGERFISH",2379,"TRIGGERFISHES","All Species"
2012,"BLACK TRIGGERFISH",1895,"TRIGGERFISHES","All Species"
2014,"BLACK TRIGGERFISH",5003,"TRIGGERFISHES","All Species"
2015,"BLACK TRIGGERFISH",3627,"TRIGGERFISHES","All Species"
2016,"BLACK TRIGGERFISH",10924,"TRIGGERFISHES","All Species"
2017,"BLACK TRIGGERFISH",15419,"TRIGGERFISHES","All Species"
2018,"BLACK TRIGGERFISH",8543,"TRIGGERFISHES","All Species"
2019,"BLACK TRIGGERFISH",8764,"TRIGGERFISHES","All Species"
2020,"BLACK TRIGGERFISH",16255,"TRIGGERFISHES","All Species"
2004,"BLACK-TIPPED REEF SHARK",0,"SHARKS","All Species"
2007,"BLACK-TIPPED REEF SHARK",1476,"SHARKS","All Species"
2012,"BLACK-TIPPED REEF SHARK",0,"SHARKS","All Species"
2015,"BLACK-TIPPED REEF SHARK",0,"SHARKS","All Species"
2020,"BLACK-TIPPED REEF SHARK",0,"SHARKS","All Species"
2007,"BLACKSIDE HAWKFISH",11552,"HAWKFISHES","All Species"
2003,"BLACKSIDE RAZORFISH",5679,"RAZORFISHES","All Species"
2004,"BLACKSIDE RAZORFISH",0,"RAZORFISHES","All Species"
2006,"BLACKSIDE RAZORFISH",1144,"RAZORFISHES","All Species"
2008,"BLACKSIDE RAZORFISH",1312,"RAZORFISHES","All Species"
2014,"BLACKSIDE RAZORFISH",441,"RAZORFISHES","All Species"
2015,"BLACKSIDE RAZORFISH",1440,"RAZORFISHES","All Species"
2017,"BLACKSIDE RAZORFISH",446,"RAZORFISHES","All Species"
2003,"BLACKSPOT SERGEANT",206662,"DAMSELFISHES","All Species"
2004,"BLACKSPOT SERGEANT",88369,"DAMSELFISHES","All Species"
2005,"BLACKSPOT SERGEANT",45316,"DAMSELFISHES","All Species"
2006,"BLACKSPOT SERGEANT",38864,"DAMSELFISHES","All Species"
2007,"BLACKSPOT SERGEANT",39867,"DAMSELFISHES","All Species"
2008,"BLACKSPOT SERGEANT",20499,"DAMSELFISHES","All Species"
2009,"BLACKSPOT SERGEANT",36148,"DAMSELFISHES","All Species"
2010,"BLACKSPOT SERGEANT",13724,"DAMSELFISHES","All Species"
2011,"BLACKSPOT SERGEANT",7833,"DAMSELFISHES","All Species"
2012,"BLACKSPOT SERGEANT",28850,"DAMSELFISHES","All Species"
2013,"BLACKSPOT SERGEANT",11790,"DAMSELFISHES","All Species"
2014,"BLACKSPOT SERGEANT",12744,"DAMSELFISHES","All Species"
2015,"BLACKSPOT SERGEANT",9825,"DAMSELFISHES","All Species"
2016,"BLACKSPOT SERGEANT",16458,"DAMSELFISHES","All Species"
2017,"BLACKSPOT SERGEANT",10711,"DAMSELFISHES","All Species"
2018,"BLACKSPOT SERGEANT",89066,"DAMSELFISHES","All Species"
2019,"BLACKSPOT SERGEANT",54090,"DAMSELFISHES","All Species"
2020,"BLACKSPOT SERGEANT",79299,"DAMSELFISHES","All Species"
2003,"BLACKTAIL SNAPPER",39944,"SNAPPERS","All Species"
2004,"BLACKTAIL SNAPPER",28849,"SNAPPERS","All Species"
2005,"BLACKTAIL SNAPPER",25368,"SNAPPERS","All Species"
2006,"BLACKTAIL SNAPPER",32963,"SNAPPERS","All Species"
2007,"BLACKTAIL SNAPPER",25950,"SNAPPERS","All Species"
2008,"BLACKTAIL SNAPPER",19595,"SNAPPERS","All Species"
2009,"BLACKTAIL SNAPPER",22363,"SNAPPERS","All Species"
2010,"BLACKTAIL SNAPPER",34120,"SNAPPERS","All Species"
2011,"BLACKTAIL SNAPPER",28594,"SNAPPERS","All Species"
2012,"BLACKTAIL SNAPPER",31071,"SNAPPERS","All Species"
2013,"BLACKTAIL SNAPPER",23436,"SNAPPERS","All Species"
2014,"BLACKTAIL SNAPPER",15407,"SNAPPERS","All Species"
2015,"BLACKTAIL SNAPPER",11997,"SNAPPERS","All Species"
2016,"BLACKTAIL SNAPPER",15234,"SNAPPERS","All Species"
2017,"BLACKTAIL SNAPPER",8662,"SNAPPERS","All Species"
2018,"BLACKTAIL SNAPPER",56580,"SNAPPERS","All Species"
2019,"BLACKTAIL SNAPPER",31129,"SNAPPERS","All Species"
2020,"BLACKTAIL SNAPPER",75315,"SNAPPERS","All Species"
2003,"BLACKTAIL WRASSE",4250,"WRASSES","All Species"
2005,"BLACKTAIL WRASSE",0,"WRASSES","All Species"
2007,"BLACKTAIL WRASSE",0,"WRASSES","All Species"
2009,"BLACKTAIL WRASSE",845,"WRASSES","All Species"
2010,"BLACKTAIL WRASSE",1790,"WRASSES","All Species"
2014,"BLACKTAIL WRASSE",0,"WRASSES","All Species"
2015,"BLACKTAIL WRASSE",1312,"WRASSES","All Species"
2003,"BLUE GOATFISH",4407,"GOATFISHES","All Species"
2004,"BLUE GOATFISH",2823,"GOATFISHES","All Species"
2005,"BLUE GOATFISH",5405,"GOATFISHES","All Species"
2006,"BLUE GOATFISH",10144,"GOATFISHES","All Species"
2007,"BLUE GOATFISH",3944,"GOATFISHES","All Species"
2008,"BLUE GOATFISH",3979,"GOATFISHES","All Species"
2009,"BLUE GOATFISH",1947,"GOATFISHES","All Species"
2010,"BLUE GOATFISH",9092,"GOATFISHES","All Species"
2011,"BLUE GOATFISH",4944,"GOATFISHES","All Species"
2012,"BLUE GOATFISH",3092,"GOATFISHES","All Species"
2013,"BLUE GOATFISH",4488,"GOATFISHES","All Species"
2014,"BLUE GOATFISH",6233,"GOATFISHES","All Species"
2015,"BLUE GOATFISH",6034,"GOATFISHES","All Species"
2016,"BLUE GOATFISH",6320,"GOATFISHES","All Species"
2017,"BLUE GOATFISH",2411,"GOATFISHES","All Species"
2018,"BLUE GOATFISH",9026,"GOATFISHES","All Species"
2019,"BLUE GOATFISH",14206,"GOATFISHES","All Species"
2020,"BLUE GOATFISH",17202,"GOATFISHES","All Species"
2003,"BLUE MARLIN",3816,"MARLINS","All Species"
2004,"BLUE MARLIN",4949,"MARLINS","All Species"
2005,"BLUE MARLIN",19166,"MARLINS","All Species"
2006,"BLUE MARLIN",3370,"MARLINS","All Species"
2007,"BLUE MARLIN",1821,"MARLINS","All Species"
2008,"BLUE MARLIN",11033,"MARLINS","All Species"
2009,"BLUE MARLIN",2802,"MARLINS","All Species"
2010,"BLUE MARLIN",1253,"MARLINS","All Species"
2011,"BLUE MARLIN",1685,"MARLINS","All Species"
2012,"BLUE MARLIN",2786,"MARLINS","All Species"
2013,"BLUE MARLIN",3928,"MARLINS","All Species"
2014,"BLUE MARLIN",2678,"MARLINS","All Species"
2015,"BLUE MARLIN",4938,"MARLINS","All Species"
2016,"BLUE MARLIN",2340,"MARLINS","All Species"
2017,"BLUE MARLIN",4074,"MARLINS","All Species"
2018,"BLUE MARLIN",12639,"MARLINS","All Species"
2019,"BLUE MARLIN",9555,"MARLINS","All Species"
2020,"BLUE MARLIN",10285,"MARLINS","All Species"
2004,"BLUE SPINE UNICORNFISH",12642,"UNICORNFISHES","All Species"
2005,"BLUE SPINE UNICORNFISH",21350,"UNICORNFISHES","All Species"
2006,"BLUE SPINE UNICORNFISH",14803,"UNICORNFISHES","All Species"
2007,"BLUE SPINE UNICORNFISH",10060,"UNICORNFISHES","All Species"
2008,"BLUE SPINE UNICORNFISH",9305,"UNICORNFISHES","All Species"
2009,"BLUE SPINE UNICORNFISH",12759,"UNICORNFISHES","All Species"
2010,"BLUE SPINE UNICORNFISH",14773,"UNICORNFISHES","All Species"
2011,"BLUE SPINE UNICORNFISH",1933,"UNICORNFISHES","All Species"
2012,"BLUE SPINE UNICORNFISH",5112,"UNICORNFISHES","All Species"
2013,"BLUE SPINE UNICORNFISH",3714,"UNICORNFISHES","All Species"
2014,"BLUE SPINE UNICORNFISH",9598,"UNICORNFISHES","All Species"
2015,"BLUE SPINE UNICORNFISH",5970,"UNICORNFISHES","All Species"
2016,"BLUE SPINE UNICORNFISH",4878,"UNICORNFISHES","All Species"
2018,"BLUE SPINE UNICORNFISH",9341,"UNICORNFISHES","All Species"
2019,"BLUE SPINE UNICORNFISH",32893,"UNICORNFISHES","All Species"
2020,"BLUE SPINE UNICORNFISH",9609,"UNICORNFISHES","All Species"
2003,"BLUEFIN TREVALLY",57639,"TREVALLY","All Species"
2004,"BLUEFIN TREVALLY",183984,"TREVALLY","All Species"
2005,"BLUEFIN TREVALLY",181964,"TREVALLY","All Species"
2006,"BLUEFIN TREVALLY",132546,"TREVALLY","All Species"
2007,"BLUEFIN TREVALLY",110231,"TREVALLY","All Species"
2008,"BLUEFIN TREVALLY",130701,"TREVALLY","All Species"
2009,"BLUEFIN TREVALLY",77102,"TREVALLY","All Species"
2010,"BLUEFIN TREVALLY",74854,"TREVALLY","All Species"
2011,"BLUEFIN TREVALLY",74984,"TREVALLY","All Species"
2012,"BLUEFIN TREVALLY",59925,"TREVALLY","All Species"
2013,"BLUEFIN TREVALLY",89333,"TREVALLY","All Species"
2014,"BLUEFIN TREVALLY",107399,"TREVALLY","All Species"
2015,"BLUEFIN TREVALLY",103555,"TREVALLY","All Species"
2016,"BLUEFIN TREVALLY",72651,"TREVALLY","All Species"
2017,"BLUEFIN TREVALLY",77594,"TREVALLY","All Species"
2018,"BLUEFIN TREVALLY",117747,"TREVALLY","All Species"
2019,"BLUEFIN TREVALLY",203031,"TREVALLY","All Species"
2020,"BLUEFIN TREVALLY",165574,"TREVALLY","All Species"
2003,"BLUEFIN TUNA",3859,"TUNA","All Species"
2011,"BLUEFIN TUNA",1077,"TUNA","All Species"
2005,"BLUELINED SURGEONFISH",4053,"SURGEONFISHES","All Species"
2006,"BLUELINED SURGEONFISH",1031,"SURGEONFISHES","All Species"
2010,"BLUELINED SURGEONFISH",561,"SURGEONFISHES","All Species"
2013,"BLUELINED SURGEONFISH",854,"SURGEONFISHES","All Species"
2016,"BLUELINED SURGEONFISH",325,"SURGEONFISHES","All Species"
2018,"BLUELINED SURGEONFISH",11754,"SURGEONFISHES","All Species"
2020,"BLUELINED SURGEONFISH",0,"SURGEONFISHES","All Species"
2003,"BLUESTRIPE SNAPPER",114271,"SNAPPERS","All Species"
2004,"BLUESTRIPE SNAPPER",58107,"SNAPPERS","All Species"
2005,"BLUESTRIPE SNAPPER",100003,"SNAPPERS","All Species"
2006,"BLUESTRIPE SNAPPER",46862,"SNAPPERS","All Species"
2007,"BLUESTRIPE SNAPPER",27667,"SNAPPERS","All Species"
2008,"BLUESTRIPE SNAPPER",31946,"SNAPPERS","All Species"
2009,"BLUESTRIPE SNAPPER",53415,"SNAPPERS","All Species"
2010,"BLUESTRIPE SNAPPER",67534,"SNAPPERS","All Species"
2011,"BLUESTRIPE SNAPPER",16687,"SNAPPERS","All Species"
2012,"BLUESTRIPE SNAPPER",21858,"SNAPPERS","All Species"
2013,"BLUESTRIPE SNAPPER",20687,"SNAPPERS","All Species"
