"Year","NMFS.Name","Pounds","Dollars"
1988,"MULLETS **",6000,14000
1988,"SNAPPER, RED",2e+05,456000
1988,"TUNA, BIGEYE",3e+06,9990000
1988,"CRUSTACEANS **",331000,1108000
1988,"TUNA, ALBACORE",7e+05,910000
1988,"TUNA, SKIPJACK",5e+06,5650000
1988,"SEA BASS, GIANT",175000,306000
1988,"TUNA, YELLOWFIN",4e+06,7200000
1988,"VERTEBRATES, JAWED",5180000,7787000
1988,"LOBSTER, CARIBBEAN SPINY",1200000,4400000
1988,"SNAPPERS, LUTJANIDAE (FAMILY) **",1300000,1885000
1988,"SHARKS, CHONDRICHTHYES (CLASS) **",14000,14000
1989,"SAILFISH",6000,8000
1989,"TUNAS **",16000,19000
1989,"SWORDFISH",629000,1365000
1989,"SNAPPER, RED",750000,2697000
1989,"TUNA, BIGEYE",3424000,11859000
1989,"BILLFISHES **",3051000,2654000
1989,"CRUSTACEANS **",571000,2259000
1989,"SPEARFISHES **",315000,324000
1989,"TUNA, ALBACORE",601000,744000
1989,"TUNA, SKIPJACK",3347000,3621000
1989,"SEA BASS, GIANT",94000,242000
1989,"TUNA, YELLOWFIN",6688000,10050000
1989,"VERTEBRATES, JAWED",2845000,4082000
1989,"LOBSTER, CARIBBEAN SPINY",1276000,5674000
1989,"SNAPPERS, LUTJANIDAE (FAMILY) **",564000,1392000
1989,"SHARKS, CHONDRICHTHYES (CLASS) **",220000,119000
1990,"SAILFISH",10000,10000
1990,"TUNAS **",16000,51000
1990,"SWORDFISH",3518000,7882000
1990,"SNAPPER, RED",553000,2296000
1990,"TUNA, BIGEYE",3689000,13281000
1990,"BILLFISHES **",2843000,3383000
1990,"CRUSTACEANS **",449000,1933000
1990,"SPEARFISHES **",144000,204000
1990,"TUNA, ALBACORE",476000,714000
1990,"TUNA, SKIPJACK",2141000,4346000
1990,"SEA BASS, GIANT",132000,290000
1990,"TUNA, YELLOWFIN",7880000,19700000
1990,"VERTEBRATES, JAWED",3072000,4848000
1990,"LOBSTER, CARIBBEAN SPINY",794000,4390000
1990,"SNAPPERS, LUTJANIDAE (FAMILY) **",624000,1541000
