"Sector","Year","fit","se.fit","inc.trend"
"Combined",1998,79.6389210175472,9.12656299524137,NA
"Combined",1998.04008016032,79.5434765541833,9.04543291464894,NA
"Combined",1998.08016032064,79.4480311363294,8.96520929972715,NA
"Combined",1998.12024048096,79.3525838094942,8.8859235584358,NA
"Combined",1998.16032064128,79.2571336191877,8.80760498134509,NA
"Combined",1998.2004008016,79.16167961092,8.73028064322757,NA
"Combined",1998.24048096192,79.0662208301998,8.65397531403863,NA
"Combined",1998.28056112224,78.9707563225368,8.57871138035143,NA
"Combined",1998.32064128257,78.8752851334415,8.5045087783369,NA
"Combined",1998.36072144289,78.7798063084223,8.43138493941997,NA
"Combined",1998.40080160321,78.6843188929892,8.35935474976433,NA
"Combined",1998.44088176353,78.5888219326518,8.28843052473868,NA
"Combined",1998.48096192385,78.4933144729203,8.21862199953724,NA
"Combined",1998.52104208417,78.3977955593031,8.14993633711127,NA
"Combined",1998.56112224449,78.3022642373104,8.08237815456661,NA
"Combined",1998.60120240481,78.2067195524523,8.01594956914813,NA
"Combined",1998.64128256513,78.1111605502372,7.95065026491444,NA
"Combined",1998.68136272545,78.0155862761754,7.88647758116947,NA
"Combined",1998.72144288577,77.9199957757768,7.82342662366723,NA
"Combined",1998.76152304609,77.82438809455,7.76149039956811,NA
"Combined",1998.80160320641,77.7287622780051,7.70065997707535,NA
"Combined",1998.84168336673,77.6331173716522,7.64092467061609,NA
"Combined",1998.88176352705,77.5374524209999,7.58227225238799,NA
"Combined",1998.92184368737,77.4417664715581,7.52468919103615,NA
"Combined",1998.9619238477,77.3460585688371,7.4681609181626,NA
"Combined",1999.00200400802,77.2503277584793,7.4126721235567,NA
"Combined",1999.04208416834,77.1545743257471,7.35820923930124,NA
"Combined",1999.08216432866,77.0588028254015,7.30476632295673,NA
"Combined",1999.12224448898,76.9630187307027,7.25233973171553,NA
"Combined",1999.1623246493,76.8672275149096,7.20092643244045,NA
"Combined",1999.20240480962,76.7714346512825,7.15052384340038,NA
"Combined",1999.24248496994,76.6756456130815,7.10112968077022,NA
"Combined",1999.28256513026,76.5798658735654,7.05274181060891,NA
"Combined",1999.32264529058,76.4841009059946,7.00535810704444,NA
"Combined",1999.3627254509,76.3883561836293,6.95897631740137,NA
"Combined",1999.40280561122,76.2926371797281,6.91359393502449,NA
"Combined",1999.44288577154,76.1969493675515,6.86920808056074,NA
"Combined",1999.48296593186,76.1012982203596,6.82581539245764,NA
"Combined",1999.52304609218,76.0056892114113,6.78341192744487,NA
"Combined",1999.56312625251,75.9101278139667,6.74199307175943,NA
"Combined",1999.60320641283,75.8146195012862,6.70155346386027,NA
"Combined",1999.64328657315,75.7191697466285,6.66208692936902,NA
"Combined",1999.68336673347,75.6237840232539,6.62358642895523,NA
"Combined",1999.72344689379,75.5284678044226,6.58604401985193,NA
"Combined",1999.76352705411,75.4332265633935,6.54945083166603,NA
"Combined",1999.80360721443,75.3380657734267,6.51379705711236,NA
"Combined",1999.84368737475,75.2429909077821,6.47907195825692,NA
"Combined",1999.88376753507,75.1480074397199,6.44526388882094,NA
"Combined",1999.92384769539,75.0531208424988,6.41236033304606,NA
"Combined",1999.96392785571,74.9583365893791,6.38034796158104,NA
"Combined",2000.00400801603,74.8636601541326,6.34921270640024,NA
"Combined",2000.04408817635,74.769097689071,6.31894197972796,NA
"Combined",2000.08416833667,74.6746573627032,6.28952892592748,NA
"Combined",2000.12424849699,74.5803477163011,6.26096715973819,NA
"Combined",2000.16432865731,74.4861772911352,6.23324943536997,NA
"Combined",2000.20440881764,74.3921546284777,6.20636749830719,NA
"Combined",2000.24448897796,74.2982882696006,6.18031195328607,NA
"Combined",2000.28456913828,74.2045867557743,6.15507214928492,NA
"Combined",2000.3246492986,74.111058628271,6.13063608231304,NA
"Combined",2000.36472945892,74.0177124283627,6.10699031672206,NA
"Combined",2000.40480961924,73.92455669732,6.08411992570315,NA
"Combined",2000.44488977956,73.8315999764148,6.06200845156299,NA
"Combined",2000.48496993988,73.7388508069193,6.04063788629656,NA
"Combined",2000.5250501002,73.646317730104,6.01998867290272,NA
"Combined",2000.56513026052,73.5540092872409,6.00003972781322,NA
"Combined",2000.60521042084,73.4619340196015,5.98076848472883,NA
"Combined",2000.64529058116,73.370100468458,5.96215096008847,NA
"Combined",2000.68537074148,73.2785171750809,5.94416184032826,NA
"Combined",2000.7254509018,73.1871926807421,5.92677459102897,NA
"Combined",2000.76553106212,73.0961355267139,5.90996158799539,NA
"Combined",2000.80561122244,73.0053542542666,5.89369427026921,NA
"Combined",2000.84569138277,72.9148574046724,5.87794331504498,NA
"Combined",2000.88577154309,72.8246535192033,5.86267883443348,NA
"Combined",2000.92585170341,72.7347511391298,5.84787059400918,NA
"Combined",2000.96593186373,72.6451588057239,5.8334882530804,NA
"Combined",2001.00601202405,72.5558850570766,5.81950163780259,NA
"Combined",2001.04609218437,72.4669370104287,5.80588607290493,NA
"Combined",2001.08617234469,72.3783181303382,5.79263099756517,NA
"Combined",2001.12625250501,72.2900313024905,5.77972953670535,NA
"Combined",2001.16633266533,72.2020794125693,5.7671762929047,NA
"Combined",2001.20641282565,72.1144653462599,5.75496714358448,NA
"Combined",2001.24649298597,72.0271919892471,5.74309904463786,NA
"Combined",2001.28657314629,71.940262227216,5.73156984088365,NA
"Combined",2001.32665330661,71.8536789458504,5.72037808370324,NA
"Combined",2001.36673346693,71.7674450308356,5.70952285620567,NA
"Combined",2001.40681362725,71.6815633678569,5.69900360624989,NA
"Combined",2001.44689378758,71.596036842598,5.68881998764387,NA
