"Year","NMFS.Name","Pounds","Dollars","nominal_revenue"
1987,"LOBSTER, CARIBBEAN SPINY ",528000,4902562.60272352,2491000
1987,"MULLETS **",7000,31489.7638071362,16000
1987,"SEA BASS, GIANT ",2e+05,635699.606856562,323000
1987,"SHARKS, CHONDRICHTHYES (CLASS) **",9000,19681.1023794601,10000
1987,"SHRIMPS, PENAEID **",8000,64947.6378522184,33000
1987,"SNAPPER, RED ",419000,3213924.01856584,1633000
1987,"SNAPPERS, LUTJANIDAE (FAMILY) **",711000,4390853.94085755,2231000
1987,"SPEARFISHES **",23000,70851.9685660564,36000
1987,"SWORDFISH ",12000,68883.8583281104,35000
1987,"TUNA, ALBACORE ",685000,1761458.66296168,895000
1987,"TUNA, BIGEYE ",1683000,7998400.00701259,4064000
1987,"TUNA, LITTLE TUNNY ",8000,15744.8819035681,8000
1987,"TUNA, SKIPJACK ",3300000,6888385.83281104,3500000
1987,"TUNA, YELLOWFIN ",5233000,14721464.5798362,7480000
1987,"VERTEBRATES, JAWED",2069000,7646108.27442026,3885000
1988,"CRUSTACEANS **",331000,2106412.11833839,1108000
1988,"LOBSTER, CARIBBEAN SPINY ",1200000,8364813.46632572,4400000
1988,"MULLETS **",6000,26615.3155746727,14000
1988,"SEA BASS, GIANT ",175000,581734.754703561,306000
1988,"SHARKS, CHONDRICHTHYES (CLASS) **",14000,26615.3155746727,14000
1988,"SNAPPER, RED ",2e+05,866898.850146484,456000
1988,"SNAPPERS, LUTJANIDAE (FAMILY) **",1300000,3583562.13273272,1885000
1988,"SWORDFISH ",20000,47527.349240487,25000
1988,"TUNA, ALBACORE ",7e+05,1729995.51235373,910000
1988,"TUNA, BIGEYE ",3e+06,18991928.7564986,9990000
1988,"TUNA, SKIPJACK ",5e+06,10741180.9283501,5650000
1988,"TUNA, YELLOWFIN ",4e+06,13687876.5812603,7200000
1988,"TUNAS **",5000,7604.37587847793,4000
1988,"VERTEBRATES, JAWED",5180000,14803818.7414269,7787000
1989,"BILLFISHES **",3051000,4854847.9876161,2654000
1989,"CRUSTACEANS **",571000,4132291.48606811,2259000
1989,"LOBSTER, CARIBBEAN SPINY ",1276000,10379204.0247678,5674000
1989,"SAILFISH ",6000,14634.0557275542,8000
1989,"SEA BASS, GIANT ",94000,442680.185758514,242000
1989,"SHARKS, CHONDRICHTHYES (CLASS) **",220000,217681.578947368,119000
1989,"SNAPPER, RED ",750000,4933506.0371517,2697000
1989,"SNAPPERS, LUTJANIDAE (FAMILY) **",564000,2546325.69659443,1392000
1989,"SPEARFISHES **",315000,592679.256965944,324000
1989,"SWORDFISH ",629000,2496935.75851393,1365000
1989,"TUNA, ALBACORE ",601000,1360967.18266254,744000
1989,"TUNA, BIGEYE ",3424000,21693158.3591331,11859000
1989,"TUNA, SKIPJACK ",3347000,6623739.47368421,3621000
1989,"TUNA, YELLOWFIN ",6688000,18384032.5077399,10050000
1989,"TUNAS **",16000,34755.8823529412,19000
1989,"VERTEBRATES, JAWED",2845000,7467026.93498452,4082000
1990,"BILLFISHES **",2843000,5964618.09500999,3383000
1990,"CRUSTACEANS **",449000,3408101.32357503,1933000
1990,"LOBSTER, CARIBBEAN SPINY ",794000,7740074.91489621,4390000
1990,"SAILFISH ",10000,17631.1501478274,10000
1990,"SEA BASS, GIANT ",132000,511303.354286993,290000
1990,"SHARKS, CHONDRICHTHYES (CLASS) **",241000,246836.102069583,140000
1990,"SNAPPER, RED ",553000,4048112.07394116,2296000
1990,"SNAPPERS, LUTJANIDAE (FAMILY) **",624000,2716960.23778019,1541000
1990,"SPEARFISHES **",144000,359675.463015678,204000
