Year,Species,Pounds,Dollars,Habitat,,,,,,,,,,
1995,"TUNA, BLUEFIN PACIFIC ",50000,1702718.797,Pelagic,,,,,,,,,,
1995,"TUNA, SKIPJACK ",1603000,3046148.307,Pelagic,,,,,,,,,,
1995,"TUNA, YELLOWFIN ",4541000,16691330.59,Pelagic,,,,,,,,,,
1995,TUNAS **,12000,21869.78272,Pelagic,,,,,,,,,,
1996,BILLFISHES **,2806000,3804473.536,Pelagic,,,,,,,,,,
1996,SPEARFISHES **,210000,352834.2392,Pelagic,,,,,,,,,,
1996,SWORDFISH ,5871000,21275904.62,Pelagic,,,,,,,,,,
1996,"TUNA, ALBACORE ",2951000,4637469.153,Pelagic,,,,,,,,,,
1996,"TUNA, BIGEYE ",5233000,30693510.69,Pelagic,,,,,,,,,,
1996,"TUNA, BLUEFIN PACIFIC ",60000,1595424.386,Pelagic,,,,,,,,,,
1996,"TUNA, SKIPJACK ",2192000,4479460.776,Pelagic,,,,,,,,,,
1996,"TUNA, YELLOWFIN ",3674000,13660821.31,Pelagic,,,,,,,,,,
1996,TUNAS **,9000,19942.80483,Pelagic,,,,,,,,,,
1997,SPEARFISHES **,220000,286528.5273,Pelagic,,,,,,,,,,
1997,SWORDFISH ,6361000,21203111.02,Pelagic,,,,,,,,,,
1997,"TUNA, ALBACORE ",4083000,7363783.153,Pelagic,,,,,,,,,,
1997,"TUNA, BIGEYE ",5778000,27028688.4,Pelagic,,,,,,,,,,
1997,"TUNA, BLUEFIN PACIFIC ",50000,1176275.007,Pelagic,,,,,,,,,,
1997,"TUNA, SKIPJACK ",2472000,4812171.214,Pelagic,,,,,,,,,,
1997,"TUNA, YELLOWFIN ",4810000,17757228.47,Pelagic,,,,,,,,,,
1997,TUNAS **,9000,19604.58345,Pelagic,,,,,,,,,,
1998,SPEARFISHES **,296000,259480.5474,Pelagic,,,,,,,,,,
1998,SWORDFISH ,7202000,17837050.73,Pelagic,,,,,,,,,,
1998,"TUNA, ALBACORE ",3003000,5329790.095,Pelagic,,,,,,,,,,
1998,"TUNA, BIGEYE ",7407000,32026461.13,Pelagic,,,,,,,,,,
1998,"TUNA, BLUEFIN PACIFIC ",36000,377290.681,Pelagic,,,,,,,,,,
1998,"TUNA, SKIPJACK ",1084000,2092248.322,Pelagic,,,,,,,,,,
1998,"TUNA, YELLOWFIN ",3456000,11042835.94,Pelagic,,,,,,,,,,
1998,TUNAS **,1000,4473.802542,Pelagic,,,,,,,,,,
1999,SPEARFISHES **,472000,583611.9124,Pelagic,,,,,,,,,,
1999,SWORDFISH ,6847322,19037917.46,Pelagic,,,,,,,,,,
1999,"TUNA, ALBACORE ",3872494,6419504.648,Pelagic,,,,,,,,,,
1999,"TUNA, BIGEYE ",6152197,29875550.99,Pelagic,,,,,,,,,,
1999,"TUNA, BLUEFIN PACIFIC ",23000,221978.3345,Pelagic,,,,,,,,,,
1999,"TUNA, SKIPJACK ",1943872,3580614.909,Pelagic,,,,,,,,,,
1999,"TUNA, YELLOWFIN ",3062896,9870378.366,Pelagic,,,,,,,,,,
1999,TUNAS **,5960,11144.48843,Pelagic,,,,,,,,,,
2000,SPEARFISHES **,271001,471631.09,Pelagic,,,,,,,,,,
2000,SWORDFISH ,6521184,18397008.83,Pelagic,,,,,,,,,,
2000,"TUNA, ALBACORE ",2288550,4817546.226,Pelagic,,,,,,,,,,
2000,"TUNA, BIGEYE ",6170906,30835965.37,Pelagic,,,,,,,,,,
2000,"TUNA, BLUEFIN PACIFIC ",8000,123659.3712,Pelagic,,,,,,,,,,
2000,"TUNA, SKIPJACK ",1653920,2964014.474,Pelagic,,,,,,,,,,
2000,"TUNA, YELLOWFIN ",4808084,18133722.21,Pelagic,,,,,,,,,,
2000,TUNAS **,6702,14771.54326,Pelagic,,,,,,,,,,
2001,SPEARFISHES **,552000,939853.5777,Pelagic,,,,,,,,,,
2001,SWORDFISH ,679746,1886051.167,Pelagic,,,,,,,,,,
2001,"TUNA, ALBACORE ",3111763,6162355.399,Pelagic,,,,,,,,,,
2001,"TUNA, BIGEYE ",6388583,31311697.5,Pelagic,,,,,,,,,,
2001,"TUNA, BLUEFIN PACIFIC ",2000,30953.26154,Pelagic,,,,,,,,,,
2001,"TUNA, SKIPJACK ",1771530,3003082.621,Pelagic,,,,,,,,,,
2001,"TUNA, YELLOWFIN ",3859490,13928417.57,Pelagic,,,,,,,,,,
2001,TUNAS **,10240,17489.99974,Pelagic,,,,,,,,,,
2002,ALFONSINO ,11,44.322589,Pelagic,,,,,,,,,,
2002,BILLFISHES **,654,1238.26233,Pelagic,,,,,,,,,,
2002,BLACK MARLIN,7932,12744.12942,Pelagic,,,,,,,,,,
2002,DOLPHINFISH ,1367673,3613038.947,Pelagic,,,,,,,,,,
2002,ESCOLAR ,3972,5520.932493,Pelagic,,,,,,,,,,
2002,FLYINGFISHES **,4,9.695566344,Pelagic,,,,,,,,,,
2002,"JACK, ALMACO ",966,1223.02644,Pelagic,,,,,,,,,,
2002,"MACKEREL, FRIGATE ",84,178.6754369,Pelagic,,,,,,,,,,
2002,"MARLIN, BLUE ",868147,1401844.541,Pelagic,,,,,,,,,,
2002,OILFISH ,203333,401305.0313,Pelagic,,,,,,,,,,
2002,OPAH ,912187,1689060.458,Pelagic,,,,,,,,,,
2002,POMFRETS **,489784,934997.4807,Pelagic,,,,,,,,,,
2002,SAILFISH ,11002,21351.02217,Pelagic,,,,,,,,,,
2002,"SHARKS, MAKO **",176232,112097.3679,Pelagic,,,,,,,,,,
2002,"SHARKS, THRESHER **",81362,36286.34958,Pelagic,,,,,,,,,,
2002,SPEARFISHES **,313627,372482.8827,Pelagic,,,,,,,,,,
2002,"SQUID, JUMBO ",2189,7442.03971,Pelagic,,,,,,,,,,
2002,STRIPED MARLIN,611826,1359517.853,Pelagic,,,,,,,,,,
2002,SWORDFISH ,707787,1913299.516,Pelagic,,,,,,,,,,
2002,"TUNA, ALBACORE ",1640907,2666838.932,Pelagic,,,,,,,,,,
2002,"TUNA, BIGEYE ",10628443,39430188.22,Pelagic,,,,,,,,,,
2002,"TUNA, KAWAKAWA ",8839,12076.52042,Pelagic,,,,,,,,,,
2002,"TUNA, SKIPJACK ",949209,1669925.565,Pelagic,,,,,,,,,,
2002,"TUNA, YELLOWFIN ",2608935,8190214.708,Pelagic,,,,,,,,,,
2002,TUNAS **,1812,14518.41806,Pelagic,,,,,,,,,,
2002,WAHOO ,654987,1995909.897,Pelagic,,,,,,,,,,
2003,ALFONSINO ,33,165.9083839,Pelagic,,,,,,,,,,
2003,BILLFISHES **,2208,3953.243213,Pelagic,,,,,,,,,,
2003,BLACK MARLIN,4069,5948.223535,Pelagic,,,,,,,,,,
2003,DOLPHINFISH ,1311806,3958699.151,Pelagic,,,,,,,,,,
2003,ESCOLAR ,3255,4528.482938,Pelagic,,,,,,,,,,
2003,"JACK, ALMACO ",1736,1569.330123,Pelagic,,,,,,,,,,
2003,"MACKEREL, FRIGATE ",5,2.719809572,Pelagic,,,,,,,,,,
2003,"MARLIN, BLUE ",952069,1119231.557,Pelagic,,,,,,,,,,
2003,OILFISH ,278118,567531.7842,Pelagic,,,,,,,,,,
2003,OPAH ,1095520,2052643.004,Pelagic,,,,,,,,,,
2003,POMFRETS **,458541,1056448.833,Pelagic,,,,,,,,,,
2003,SAILFISH ,3493,3641.825017,Pelagic,,,,,,,,,,
2003,"SHARKS, MAKO **",189564,107254.3306,Pelagic,,,,,,,,,,
2003,"SHARKS, THRESHER **",96424,38711.04964,Pelagic,,,,,,,,,,
2003,SPEARFISHES **,516920,360513.4786,Pelagic,,,,,,,,,,
2003,"SQUID, JUMBO ",3290,7679.382327,Pelagic,,,,,,,,,,
2003,STRIPED MARLIN,1370255,1571053.123,Pelagic,,,,,,,,,,
2003,"SUNFISH, OCEAN ",7,1.359904786,Pelagic,,,,,,,,,,
2003,SWORDFISH ,323506,959250.9979,Pelagic,,,,,,,,,,
2003,"TUNA, ALBACORE ",1341084,2122834.49,Pelagic,,,,,,,,,,
2003,"TUNA, BIGEYE ",8258716,35057345.86,Pelagic,,,,,,,,,,
2003,"TUNA, KAWAKAWA ",3924,5465.457335,Pelagic,,,,,,,,,,
2003,"TUNA, SKIPJACK ",1329888,1808385.066,Pelagic,,,,,,,,,,
2003,"TUNA, YELLOWFIN ",3415046,11720249.65,Pelagic,,,,,,,,,,
2003,TUNAS **,14883,84497.68389,Pelagic,,,,,,,,,,
2003,WAHOO ,980639,2583661.345,Pelagic,,,,,,,,,,
2004,ALFONSINO ,27,156.2626898,Pelagic,,,,,,,,,,
2004,BILLFISHES **,436,806.4743904,Pelagic,,,,,,,,,,
2004,BLACK MARLIN,7063,13691.525,Pelagic,,,,,,,,,,
2004,DOLPHINFISH ,2220401,6511357.693,Pelagic,,,,,,,,,,
2004,ESCOLAR ,2807,4142.285539,Pelagic,,,,,,,,,,
2004,FLYINGFISHES **,8,13.24260083,Pelagic,,,,,,,,,,
2004,"JACK, ALMACO ",462,716.4247048,Pelagic,,,,,,,,,,
2004,"MACKEREL, FRIGATE ",3,5.297040331,Pelagic,,,,,,,,,,
2004,"MACKEREL, SNAKE ",4,2.648520166,Pelagic,,,,,,,,,,
2004,"MARLIN, BLUE ",895251,1473543.922,Pelagic,,,,,,,,,,
2004,OILFISH ,345898,753960.8568,Pelagic,,,,,,,,,,
2004,OPAH ,790946,1792682.656,Pelagic,,,,,,,,,,
2004,POMFRETS **,769062,1751777.587,Pelagic,,,,,,,,,,
2004,SAILFISH ,7578,12922.12989,Pelagic,,,,,,,,,,
2004,"SHARKS, MAKO **",125491,63021.53734,Pelagic,,,,,,,,,,
2004,"SHARKS, THRESHER **",102958,34575.1065,Pelagic,,,,,,,,,,
2004,SPEARFISHES **,444656,573220.5437,Pelagic,,,,,,,,,,
2004,STRIPED MARLIN,937299,1792211.22,Pelagic,,,,,,,,,,
2004,"SUNFISH, OCEAN ",117,15.89112099,Pelagic,,,,,,,,,,
2004,SWORDFISH ,521484,1623227.688,Pelagic,,,,,,,,,,
2004,"TUNA, ALBACORE ",1127051,1979060.345,Pelagic,,,,,,,,,,
2004,"TUNA, BIGEYE ",9844778,38198862.11,Pelagic,,,,,,,,,,
2004,"TUNA, KAWAKAWA ",3293,6241.23777,Pelagic,,,,,,,,,,
2004,"TUNA, SKIPJACK ",861637,1498001.681,Pelagic,,,,,,,,,,
2004,"TUNA, YELLOWFIN ",3105695,9335215.191,Pelagic,,,,,,,,,,
2004,TUNAS **,267,2951.775725,Pelagic,,,,,,,,,,
2004,WAHOO ,847994,2901644.535,Pelagic,,,,,,,,,,
2005,ALFONSINO ,18,110.4446218,Pelagic,,,,,,,,,,
2005,BILLFISHES **,315,408.3882526,Pelagic,,,,,,,,,,
2005,BLACK MARLIN,2461,3518.817019,Pelagic,,,,,,,,,,
2005,DOLPHINFISH ,1439168,4617386.555,Pelagic,,,,,,,,,,
2005,ESCOLAR ,3436,4564.188206,Pelagic,,,,,,,,,,
2005,"JACK, ALMACO ",231,222.1734833,Pelagic,,,,,,,,,,
2005,"MACKEREL, FRIGATE ",3,1.284239788,Pelagic,,,,,,,,,,
2005,"MARLIN, BLUE ",969226,1248422.34,Pelagic,,,,,,,,,,
2005,OILFISH ,385809,904431.0076,Pelagic,,,,,,,,,,
2005,OPAH ,1086076,2436635.666,Pelagic,,,,,,,,,,
2005,POMFRETS **,646123,1849518.478,Pelagic,,,,,,,,,,
2005,SAILFISH ,7420,10890.3534,Pelagic,,,,,,,,,,
2005,"SHARKS, MAKO **",203827,104867.1684,Pelagic,,,,,,,,,,
2005,"SHARKS, THRESHER **",63314,22074.79771,Pelagic,,,,,,,,,,
2005,SPEARFISHES **,467748,539565.6415,Pelagic,,,,,,,,,,
2005,STRIPED MARLIN,1218030,1973560.631,Pelagic,,,,,,,,,,
2005,"SUNFISH, OCEAN ",123,15.41087745,Pelagic,,,,,,,,,,
2005,SWORDFISH ,3445598,9989022.549,Pelagic,,,,,,,,,,
2005,"TUNA, ALBACORE ",1008007,1935107.923,Pelagic,,,,,,,,,,
2005,"TUNA, BIGEYE ",10934544,46308439.76,Pelagic,,,,,,,,,,
2005,"TUNA, KAWAKAWA ",3342,6222.141772,Pelagic,,,,,,,,,,
2005,"TUNA, SKIPJACK ",964402,1453844.2,Pelagic,,,,,,,,,,
2005,"TUNA, YELLOWFIN ",3208468,9463690.137,Pelagic,,,,,,,,,,
2005,TUNAS **,10770,38506.6458,Pelagic,,,,,,,,,,
2005,WAHOO ,817249,2890370.426,Pelagic,,,,,,,,,,
2006,ALFONSINO ,3,8.725269601,Pelagic,,,,,,,,,,
2006,BILLFISHES **,271,432.5240788,Pelagic,,,,,,,,,,
2006,BLACK MARLIN,9245,12306.36954,Pelagic,,,,,,,,,,
2006,DOLPHINFISH ,1337174,4524512.234,Pelagic,,,,,,,,,,
2006,ESCOLAR ,4062,5373.519607,Pelagic,,,,,,,,,,
2006,"JACK, ALMACO ",323,660.6275555,Pelagic,,,,,,,,,,
2006,"MACKEREL, FRIGATE ",88,355.2431195,Pelagic,,,,,,,,,,
2006,"MACKEREL, SNAKE ",1,2.492934172,Pelagic,,,,,,,,,,
2006,"MARLIN, BLUE ",977245,1208004.851,Pelagic,,,,,,,,,,
2006,OILFISH ,417146,1046963.796,Pelagic,,,,,,,,,,
2006,OPAH ,1093224,2375765.019,Pelagic,,,,,,,,,,
2006,POMFRETS **,584014,1655833.053,Pelagic,,,,,,,,,,
2006,SAILFISH ,18442,19270.38115,Pelagic,,,,,,,,,,
2006,"SHARKS, MAKO **",198645,150271.5789,Pelagic,,,,,,,,,,
2006,"SHARKS, THRESHER **",73732,38656.68373,Pelagic,,,,,,,,,,
2006,SPEARFISHES **,362830,471669.3776,Pelagic,,,,,,,,,,
2006,STRIPED MARLIN,1490250,1996839.025,Pelagic,,,,,,,,,,
2006,"SUNFISH, OCEAN ",77,11.21820377,Pelagic,,,,,,,,,,
2006,SWORDFISH ,2602183,6528368.869,Pelagic,,,,,,,,,,
2006,"TUNA, ALBACORE ",764709,1600371.5,Pelagic,,,,,,,,,,
2006,"TUNA, BIGEYE ",10136398,42662124.69,Pelagic,,,,,,,,,,
2006,"TUNA, KAWAKAWA ",2920,6637.437232,Pelagic,,,,,,,,,,
2006,"TUNA, SKIPJACK ",867271,1489801.144,Pelagic,,,,,,,,,,
2006,"TUNA, YELLOWFIN ",3026303,9868792.216,Pelagic,,,,,,,,,,
2006,TUNAS **,1303,1697.688171,Pelagic,,,,,,,,,,
2006,WAHOO ,892581,2903889.384,Pelagic,,,,,,,,,,
2007,BILLFISHES **,736,452.7725732,Pelagic,,,,,,,,,,
2007,BLACK MARLIN,4770,7473.782126,Pelagic,,,,,,,,,,
2007,DOLPHINFISH ,1388217,4227581.215,Pelagic,,,,,,,,,,
2007,ESCOLAR ,6641,8347.766718,Pelagic,,,,,,,,,,
2007,"JACK, ALMACO ",1027,2380.394145,Pelagic,,,,,,,,,,
2007,"MACKEREL, FRIGATE ",137,208.785208,Pelagic,,,,,,,,,,
2007,"MARLIN, BLUE ",747197,1107966.047,Pelagic,,,,,,,,,,
2007,OILFISH ,458221,1237841.371,Pelagic,,,,,,,,,,
2007,OPAH ,1226428,2634855.973,Pelagic,,,,,,,,,,
2007,POMFRETS **,592991,1773300.17,Pelagic,,,,,,,,,,
2007,SAILFISH ,25902,30063.85609,Pelagic,,,,,,,,,,
2007,"SHARK, WHITETIP, OCEANIC ",114,97.10939908,Pelagic,,,,,,,,,,
2007,"SHARKS, MAKO **",264445,185784.8468,Pelagic,,,,,,,,,,
2007,"SHARKS, THRESHER **",99436,48946.77874,Pelagic,,,,,,,,,,
2007,SPEARFISHES **,316880,421197.4521,Pelagic,,,,,,,,,,
2007,STRIPED MARLIN,623175,1345893.786,Pelagic,,,,,,,,,,
2007,"SUNFISH, OCEAN ",86,37.62989214,Pelagic,,,,,,,,,,
2007,SWORDFISH ,3643173,9383403.257,Pelagic,,,,,,,,,,
2007,"TUNA, ALBACORE ",735183,1373040.718,Pelagic,,,,,,,,,,
2007,"TUNA, BIGEYE ",12875412,50949956.28,Pelagic,,,,,,,,,,
2007,"TUNA, KAWAKAWA ",2548,4793.562712,Pelagic,,,,,,,,,,
2007,"TUNA, SKIPJACK ",729260,971407.1686,Pelagic,,,,,,,,,,
2007,"TUNA, YELLOWFIN ",3246291,8791651.353,Pelagic,,,,,,,,,,
2007,TUNAS **,5000,24113.47766,Pelagic,,,,,,,,,,
2007,WAHOO ,714579,2531271.804,Pelagic,,,,,,,,,,
2008,ALFONSINO ,38,211.9292811,Pelagic,,,,,,,,,,
2008,BILLFISHES **,121,107.1552545,Pelagic,,,,,,,,,,
2008,BLACK MARLIN,6217,5563.738935,Pelagic,,,,,,,,,,
2008,DOLPHINFISH ,1249571,3779239.62,Pelagic,,,,,,,,,,
2008,ESCOLAR ,10649,13338.44795,Pelagic,,,,,,,,,,
2008,FLYINGFISHES **,1,2.381227877,Pelagic,,,,,,,,,,
2008,"JACK, ALMACO ",814,1185.851483,Pelagic,,,,,,,,,,
2008,"MACKEREL, FRIGATE ",66,128.5863054,Pelagic,,,,,,,,,,
2008,"MACKEREL, SNAKE ",5,1.190613939,Pelagic,,,,,,,,,,
2008,"MARLIN, BLUE ",922071,1213488.014,Pelagic,,,,,,,,,,
2008,OILFISH ,491247,1091940.618,Pelagic,,,,,,,,,,
2008,OPAH ,1313244,2616784.892,Pelagic,,,,,,,,,,
2008,POMFRETS **,670742,1978868.231,Pelagic,,,,,,,,,,
2008,SAILFISH ,11251,14002.81053,Pelagic,,,,,,,,,,
2008,"SHARK, WHITETIP, OCEANIC ",110,73.81806419,Pelagic,,,,,,,,,,
2008,"SHARKS, MAKO **",249683,150013.7844,Pelagic,,,,,,,,,,
2008,"SHARKS, THRESHER **",89390,28514.01321,Pelagic,,,,,,,,,,
2008,SPEARFISHES **,507744,426487.4377,Pelagic,,,,,,,,,,
2008,STRIPED MARLIN,1023462,1248288.468,Pelagic,,,,,,,,,,
2008,"SUNFISH, OCEAN ",79,9.524911509,Pelagic,,,,,,,,,,
2008,SWORDFISH ,3834728,8545302.935,Pelagic,,,,,,,,,,
2008,"TUNA, ALBACORE ",803125,1600073.216,Pelagic,,,,,,,,,,
2008,"TUNA, BIGEYE ",13373442,59143667.63,Pelagic,,,,,,,,,,
2008,"TUNA, KAWAKAWA ",2444,5505.398852,Pelagic,,,,,,,,,,
2008,"TUNA, SKIPJACK ",910313,1415132.771,Pelagic,,,,,,,,,,
2008,"TUNA, YELLOWFIN ",3201107,10286841.33,Pelagic,,,,,,,,,,
2008,TUNAS **,4471,12694.32581,Pelagic,,,,,,,,,,
2008,WAHOO ,849230,2648817.169,Pelagic,,,,,,,,,,
2009,ALFONSINO ,40,15.36165532,Pelagic,,,,,,,,,,
2009,BLACK MARLIN,691,2063.188476,Pelagic,,,,,,,,,,
2009,DOLPHINFISH ,1286856,3370951.009,Pelagic,,,,,,,,,,
2009,ESCOLAR ,7348,9747.561134,Pelagic,,,,,,,,,,
2009,FLYINGFISHES **,7,14.17998953,Pelagic,,,,,,,,,,
2009,"JACK, ALMACO ",518,851.9810374,Pelagic,,,,,,,,,,
2009,"MACKEREL, FRIGATE ",17,60.26495549,Pelagic,,,,,,,,,,
2009,"MACKEREL, SNAKE ",21,24.81498167,Pelagic,,,,,,,,,,
2009,"MARLIN, BLUE ",1032652,1409930.539,Pelagic,,,,,,,,,,
2009,OILFISH ,544613,832607.6267,Pelagic,,,,,,,,,,
2009,OPAH ,1884043,2846930.677,Pelagic,,,,,,,,,,
2009,POMFRETS **,627055,1631654.763,Pelagic,,,,,,,,,,
2009,SAILFISH ,22438,24233.6021,Pelagic,,,,,,,,,,
2009,"SHARKS, MAKO **",233776,141285.8706,Pelagic,,,,,,,,,,
2009,"SHARKS, THRESHER **",62207,23161.83123,Pelagic,,,,,,,,,,
2009,SPEARFISHES **,259433,322156.3637,Pelagic,,,,,,,,,,
2009,STRIPED MARLIN,644135,1119184.033,Pelagic,,,,,,,,,,
2009,"SUNFISH, OCEAN ",138,16.54332111,Pelagic,,,,,,,,,,
2009,SWORDFISH ,3881196,8669071.307,Pelagic,,,,,,,,,,
2009,"TUNA, ALBACORE ",649682,1264976.777,Pelagic,,,,,,,,,,
2009,"TUNA, BIGEYE ",10750161,46517443.83,Pelagic,,,,,,,,,,
2009,"TUNA, KAWAKAWA ",5340,14304.06443,Pelagic,,,,,,,,,,
2009,"TUNA, SKIPJACK ",709952,1193909.033,Pelagic,,,,,,,,,,
2009,"TUNA, YELLOWFIN ",2478242,7384684.487,Pelagic,,,,,,,,,,
2009,TUNAS **,590,1487.717235,Pelagic,,,,,,,,,,
2009,WAHOO ,604808,1976500.292,Pelagic,,,,,,,,,,
2010,ALFONSINO ,27,179.8861266,Pelagic,,,,,,,,,,
2010,BILLFISHES **,827,671.6527455,Pelagic,,,,,,,,,,
2010,DOLPHINFISH ,1517631,3857669.666,Pelagic,,,,,,,,,,
2010,ESCOLAR ,11209,13438.89537,Pelagic,,,,,,,,,,
2010,"JACK, ALMACO ",1538,3283.505857,Pelagic,,,,,,,,,,
2010,"MACKEREL, FRIGATE ",2,7.008550388,Pelagic,,,,,,,,,,
2010,"MARLIN, BLUE ",878279,1312557.812,Pelagic,,,,,,,,,,
2010,OILFISH ,580707,915343.5468,Pelagic,,,,,,,,,,
2010,OPAH ,1823832,3026985.904,Pelagic,,,,,,,,,,
2010,POMFRETS **,593171,1808891.67,Pelagic,,,,,,,,,,
2010,SAILFISH ,32366,47963.01458,Pelagic,,,,,,,,,,
2010,"SHARKS, MAKO **",184458,115093.2464,Pelagic,,,,,,,,,,
2010,"SHARKS, THRESHER **",39865,16853.2275,Pelagic,,,,,,,,,,
2010,SPEARFISHES **,271632,433027.9581,Pelagic,,,,,,,,,,
2010,STRIPED MARLIN,342332,739060.9831,Pelagic,,,,,,,,,,
2010,"SUNFISH, OCEAN ",130,15.18519251,Pelagic,,,,,,,,,,
2010,SWORDFISH ,3153143,8530142.888,Pelagic,,,,,,,,,,
2010,"TUNA, ALBACORE ",921063,1528459.711,Pelagic,,,,,,,,,,
2010,"TUNA, BIGEYE ",13059807,59408631.5,Pelagic,,,,,,,,,,
2010,"TUNA, KAWAKAWA ",2344,6157.011516,Pelagic,,,,,,,,,,
2010,"TUNA, SKIPJACK ",299811,641551.0216,Pelagic,,,,,,,,,,
2010,"TUNA, YELLOWFIN ",2405108,8183606.282,Pelagic,,,,,,,,,,
2010,TUNAS **,17687,54372.33391,Pelagic,,,,,,,,,,
2010,WAHOO ,600155,2039143.576,Pelagic,,,,,,,,,,
2011,ALFONSINO ,12,96.11111423,Pelagic,,,,,,,,,,
2011,BILLFISHES **,665,1623.591322,Pelagic,,,,,,,,,,
2011,BLACK MARLIN,337,481.6997511,Pelagic,,,,,,,,,,
2011,DOLPHINFISH ,1423369,4936174.148,Pelagic,,,,,,,,,,
2011,ESCOLAR ,16812,23063.23487,Pelagic,,,,,,,,,,
2011,FLYINGFISHES **,1,2.288359863,Pelagic,,,,,,,,,,
2011,"MACKEREL, FRIGATE ",13,28.60449828,Pelagic,,,,,,,,,,
2011,"MARLIN, BLUE ",915694,1417041.673,Pelagic,,,,,,,,,,
2011,OILFISH ,630529,992878.1539,Pelagic,,,,,,,,,,
2011,OPAH ,1564414,3264845.35,Pelagic,,,,,,,,,,
2011,POMFRETS **,427365,1658429.313,Pelagic,,,,,,,,,,
2011,SAILFISH ,17898,29774.99435,Pelagic,,,,,,,,,,
2011,"SHARK, WHITETIP, OCEANIC ",42,24.02777856,Pelagic,,,,,,,,,,
2011,"SHARKS, MAKO **",131482,116026.7101,Pelagic,,,,,,,,,,
2011,"SHARKS, THRESHER **",44315,15880.07327,Pelagic,,,,,,,,,,
2011,SPEARFISHES **,469238,604848.9812,Pelagic,,,,,,,,,,
2011,STRIPED MARLIN,910390,1299818.151,Pelagic,,,,,,,,,,
2011,"SUNFISH, OCEAN ",213,64.07407615,Pelagic,,,,,,,,,,
2011,SWORDFISH ,2592038,7630697.291,Pelagic,,,,,,,,,,
2011,"TUNA, ALBACORE ",1592234,2925164.645,Pelagic,,,,,,,,,,
2011,"TUNA, BIGEYE ",12879550,60767438.48,Pelagic,,,,,,,,,,
2011,"TUNA, KAWAKAWA ",2089,6010.377179,Pelagic,,,,,,,,,,
2011,"TUNA, SKIPJACK ",631691,1157366.605,Pelagic,,,,,,,,,,
2011,"TUNA, YELLOWFIN ",3399871,11326431.65,Pelagic,,,,,,,,,,
2011,TUNAS **,13687,52018.99639,Pelagic,,,,,,,,,,
2011,WAHOO ,563953,2066569.736,Pelagic,,,,,,,,,,
2012,ALFONSINO ,11,71.8482581,Pelagic,,,,,,,,,,
2012,BILLFISHES **,723,1996.03442,Pelagic,,,,,,,,,,
2012,BLACK MARLIN,2191,4334.470696,Pelagic,,,,,,,,,,
2012,DOLPHINFISH ,1745692,5959903.943,Pelagic,,,,,,,,,,
2012,ESCOLAR ,9900,13196.50428,Pelagic,,,,,,,,,,
2012,FLYINGFISHES **,3,7.85840323,Pelagic,,,,,,,,,,
2012,"JACK, ALMACO ",2331,4774.541277,Pelagic,,,,,,,,,,
2012,"MACKEREL, CHUB ",3,11.22629033,Pelagic,,,,,,,,,,
2012,"MARLIN, BLUE ",800027,1633418.507,Pelagic,,,,,,,,,,
2012,OILFISH ,601595,955113.6965,Pelagic,,,,,,,,,,
2012,OPAH ,1549415,3550810.518,Pelagic,,,,,,,,,,
2012,POMFRETS **,730826,2353948.763,Pelagic,,,,,,,,,,
2012,SAILFISH ,19211,39915.07526,Pelagic,,,,,,,,,,
2012,"SHARKS, MAKO **",123621,132438.7923,Pelagic,,,,,,,,,,
2012,"SHARKS, THRESHER **",30529,13981.22198,Pelagic,,,,,,,,,,
2012,SPEARFISHES **,365247,754126.0528,Pelagic,,,,,,,,,,
2012,STRIPED MARLIN,657099,1604129.116,Pelagic,,,,,,,,,,
2012,"SUNFISH, OCEAN ",24,2.245258066,Pelagic,,,,,,,,,,
2012,SWORDFISH ,2380900,7514031.161,Pelagic,,,,,,,,,,
2012,"TUNA, ALBACORE ",1933940,4603670.402,Pelagic,,,,,,,,,,
2012,"TUNA, BIGEYE ",13963977,72588173.92,Pelagic,,,,,,,,,,
2012,"TUNA, KAWAKAWA ",3714,12733.98112,Pelagic,,,,,,,,,,
2012,"TUNA, SKIPJACK ",534285,1039285.053,Pelagic,,,,,,,,,,
2012,"TUNA, YELLOWFIN ",3651459,15008461.22,Pelagic,,,,,,,,,,
2012,TUNAS **,59854,260412.8889,Pelagic,,,,,,,,,,
2012,WAHOO ,652126,2615477.546,Pelagic,,,,,,,,,,
2013,ALFONSINO ,47,207.4191914,Pelagic,,,,,,,,,,
2013,BLACK MARLIN,4177,5323.391482,Pelagic,,,,,,,,,,
2013,DOLPHINFISH ,1514901,4556145.686,Pelagic,,,,,,,,,,
2013,ESCOLAR ,9728,13514.24296,Pelagic,,,,,,,,,,
2013,FLYINGFISHES **,1,2.206587143,Pelagic,,,,,,,,,,
2013,"MACKEREL, CHUB ",6,25.37575214,Pelagic,,,,,,,,,,
2013,"MARLIN, BLUE ",947513,1618917.822,Pelagic,,,,,,,,,,
2013,OILFISH ,578295,453586.053,Pelagic,,,,,,,,,,
2013,OPAH ,2071806,3533616.514,Pelagic,,,,,,,,,,
2013,POMFRETS **,1142294,2841756.562,Pelagic,,,,,,,,,,
2013,SAILFISH ,11876,18763.71377,Pelagic,,,,,,,,,,
2013,"SHARKS, MAKO **",97828,113887.4789,Pelagic,,,,,,,,,,
2013,"SHARKS, THRESHER **",11144,4858.904888,Pelagic,,,,,,,,,,
2013,SPEARFISHES **,474723,677361.5717,Pelagic,,,,,,,,,,
