"County","Year","fit","se.fit","inc.trend","dec.trend","threshold","se.threshold"
"Maui County",2009.7081286462,18.9939532704113,4.67664019678717,NA,NA,NA,NA
"Maui County",2009.72543850342,18.9875972938527,4.66277653982637,NA,NA,NA,NA
"Maui County",2009.74274836063,18.9812413169363,4.64892826390838,NA,NA,NA,NA
"Maui County",2009.76005821784,18.97488533922,4.63509550796612,NA,NA,NA,NA
"Maui County",2009.77736807505,18.9685293602592,4.62127841226553,NA,NA,NA,NA
"Maui County",2009.79467793226,18.9621733796094,4.60747711841564,NA,NA,NA,NA
"Maui County",2009.81198778948,18.9558173968259,4.59369176938355,NA,NA,NA,NA
"Maui County",2009.82929764669,18.949461411464,4.57992250951172,NA,NA,NA,NA
"Maui County",2009.8466075039,18.9431054230794,4.56616948453568,NA,NA,NA,NA
"Maui County",2009.86391736111,18.9367494312234,4.55243284160947,NA,NA,NA,NA
"Maui County",2009.88122721832,18.9303934353717,4.53871272948109,NA,NA,NA,NA
"Maui County",2009.89853707554,18.9240374349312,4.5250092984669,NA,NA,NA,NA
"Maui County",2009.91584693275,18.9176814292812,4.51132270035766,NA,NA,NA,NA
"Maui County",2009.93315678996,18.9113254176823,4.49765308862133,NA,NA,NA,NA
"Maui County",2009.95046664717,18.9049693992942,4.48400061834234,NA,NA,NA,NA
"Maui County",2009.96777650438,18.8986133732428,4.47036544607919,NA,NA,NA,NA
"Maui County",2009.9850863616,18.8922573385815,4.45674772995539,NA,NA,NA,NA
"Maui County",2010.00239621881,18.885901294347,4.44314762954648,NA,NA,NA,NA
"Maui County",2010.01970607602,18.8795452395431,4.42956530593634,NA,NA,NA,NA
"Maui County",2010.03701593323,18.8731891731208,4.41600092177276,NA,NA,NA,NA
"Maui County",2010.05432579045,18.8668330940254,4.40245464118073,NA,NA,NA,NA
"Maui County",2010.07163564766,18.8604770011751,4.38892662984056,NA,NA,NA,NA
"Maui County",2010.08894550487,18.8541208934279,4.37541705508103,NA,NA,NA,NA
"Maui County",2010.10625536208,18.8477647695973,4.3619260858653,NA,NA,NA,NA
"Maui County",2010.12356521929,18.8414086284912,4.34845389271608,NA,NA,NA,NA
"Maui County",2010.14087507651,18.8350524689146,4.33500064773444,NA,NA,NA,NA
"Maui County",2010.15818493372,18.8286962896275,4.32156652476316,NA,NA,NA,NA
"Maui County",2010.17549479093,18.8223400893478,4.30815169940259,NA,NA,NA,NA
"Maui County",2010.19280464814,18.8159838667909,4.29475634890185,NA,NA,NA,NA
"Maui County",2010.21011450535,18.8096276206671,4.28138065220478,NA,NA,NA,NA
"Maui County",2010.22742436257,18.8032713496663,4.2680247900481,NA,NA,NA,NA
"Maui County",2010.24473421978,18.7969150524653,4.2546889449668,NA,NA,NA,NA
"Maui County",2010.26204407699,18.7905587277276,4.24137330132988,NA,NA,NA,NA
"Maui County",2010.2793539342,18.7842023741154,4.22807804528499,NA,NA,NA,NA
