"","Year","County","MSXI","PXI","BoatLaunches1000","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000"
"1",2010,"Hawaii County",0.946493118857916,1.00019319556286,0.919748113643977,0.972298740930886,0.666243971389312,0.72223960885915,1.41111375384759,0.783691465506941
"2",2011,"Hawaii County",0.972910740745074,1.00019566215053,0.0868242219279914,1.02790531435251,0.744828613267716,0.555716669750718,1.2667094625223,0.721852630135756
"3",2012,"Hawaii County",0.998281510169267,1.00019666923296,0.919748113643977,1.33473355693332,1.20833058414924,0.544662693441268,1.33472696934905,0.639090348528088
"4",2013,"Hawaii County",1.02011371320887,1.00019008940607,0.919748113643977,1.18305560730896,1.0639426099456,0.528436481663574,1.35574688082825,0.613297864894464
"5",2014,"Hawaii County",1.01659911159705,1.00019008950513,0.919748113643977,1.17074714926412,1.0710461789166,0.486403512127443,1.27554243461222,0.694941755207063
"6",2015,"Hawaii County",1.0081086851883,1.00019006405022,0.919748113643977,1.2499642296837,1.2995091323074,0.522591137480223,1.21829047545886,0.691326339557611
"7",2016,"Hawaii County",1.01842747223628,0.999614743548224,0.919748113643977,1.1153044043276,1.08553858964972,0.420678954504738,1.1777138405908,0.489814437509677
"8",2017,"Hawaii County",1.02217664523402,0.999614743233333,0.919748113643977,0.893058740557968,0.984081011015827,0.368822684328235,1.0103773776618,0.671087583573352
"9",2018,"Hawaii County",0.996889002763211,0.999614743310677,0.919748113643977,0.671801106008403,0.799195442180576,0.46646827769766,0.926416415476984,0.652534168733253
"10",2010,"Honolulu County",0.963440785020657,0.998882600750731,2.41762361300703,1.27154658399856,1.4127981773997,0.104092826973953,0.400599405270304,0.670280892869536
"11",2011,"Honolulu County",0.968220477053595,0.998881596082217,0.0518212365744549,1.25877058892287,1.46838902254125,0.0994865779865901,0.410610752734597,0.637843534658305
"12",2012,"Honolulu County",0.981359583427429,0.999069090276546,2.41762361300703,1.23692512069211,1.68940485951109,0.122710096143332,0.451984270776675,0.582939498611485
"13",2013,"Honolulu County",0.99515553975337,0.999412570232882,2.41762361300703,1.25450119921844,1.5794926000232,0.130162677162453,0.431188815052189,0.554019394927808
"14",2014,"Honolulu County",1.0127071300277,0.999412570550528,2.41762361300703,1.24972274176127,1.40445397718503,0.125536290544012,0.391054714566297,0.537322095160438
"15",2015,"Honolulu County",1.02241708526543,0.999502950912172,2.41762361300703,1.29286184973658,1.49288950177259,0.146759821225884,0.393856164866347,0.639800993040906
"16",2016,"Honolulu County",1.01519934621327,0.999489245304201,2.41762361300703,1.1961896064734,1.51321909781302,0.129410026341408,0.344128473561674,0.51934022662211
"17",2017,"Honolulu County",1.0192686425401,0.999479113290749,2.41762361300703,1.12795733535197,1.36700144929516,0.100308131145553,0.325262874101957,0.402430288037896
"18",2018,"Honolulu County",1.02223141069844,1.00587026259997,2.41762361300703,0.983390565748428,1.25767268202824,0.10367933803082,0.300217471045282,0.295924388106224
"19",2010,"Kauai County",0.953588815777324,1.00011975432283,0.981064654553576,1.50202461700701,1.14472791101337,1.44042640488917,1.22736971770633,1.73048461422453
"20",2011,"Kauai County",0.973743966202066,1.00012174421069,0.148386029001228,1.03417006200923,0.676019675474013,1.56481883540667,1.27999294946089,1.63636804950991
"21",2012,"Kauai County",0.988101529317758,1.00011362372918,0.981064654553576,1.48165758963767,1.10035750181174,1.38373476945412,1.33135486405183,1.68369375387312
"22",2013,"Kauai County",0.995525252051641,1.00011485709949,0.981064654553576,1.42681364696994,1.31936732051462,1.47527736474242,1.39006328416943,1.56913564677769
"23",2014,"Kauai County",0.999149227635774,1.00011600085092,0.981064654553576,1.39977554328895,1.37345482539556,1.39723325041627,1.40833779434332,1.62236575662907
"24",2015,"Kauai County",1.01000532243501,0.999849591478865,0.981064654553576,1.10268050705392,0.957590592837028,1.32158524025912,1.37815468579107,1.48716622987583
"25",2016,"Kauai County",1.01775212754508,0.999854805511461,0.981064654553576,1.10086762568689,0.851358429995296,1.16129343302722,1.31423523299836,1.17233201063569
"26",2017,"Kauai County",1.02650660011099,0.999854804482051,0.981064654553576,0.899538382615468,0.851133518008313,1.19612053377379,1.19184974444943,1.56089447667786
"27",2018,"Kauai County",1.03562715892435,0.999854818314522,0.981064654553576,0.902069544532584,0.839893673589294,1.11446817713744,0.984757328949236,1.55517281379466
"28",2010,"Maui County",0.967997333395703,1.00091814120244,0.679198606998629,0.588675159677463,0.494894471646259,1.77520001362358,1.04637620327376,1.12492762729189
"29",2011,"Maui County",0.971196925653496,1.00091886335682,0.100294994300131,0.559769618484883,0.50338196921955,1.79056672735662,1.01048214608497,1.19871553432061
"30",2012,"Maui County",0.967592156207181,1.00054516748634,0.679198606998629,0.795276740283971,0.825228918530668,1.84864415456389,1.0440345300944,1.14964603396225
"31",2013,"Maui County",0.996424023760973,1.00054344596376,0.679198606998629,0.648101783541948,0.793141673927837,1.66756662898086,0.997493953138328,1.40781730552006
"32",2014,"Maui County",1.00108070639147,1.00054344596376,0.679198606998629,0.851384307295422,0.915786442040756,1.67417452005669,1.02840794927179,1.33097819968638
"33",2015,"Maui County",1.04141926655115,1.00054113146473,0.679198606998629,0.812387597959766,0.945264237292781,1.5298430136599,0.973731344681272,1.4377208610239
"34",2016,"Maui County",1.05894108726301,0.99866285261276,0.679198606998629,0.816349479506057,0.753981191946378,1.39234322720357,0.918994347377778,1.00549955845348
"35",2017,"Maui County",1.0086368811667,0.998663466218248,0.679198606998629,0.562290039534995,0.809256977526993,1.67551512894133,0.689643511535501,0.805158554027308
