"Year","County","Indicator","val.mean","val.se"
2012,"Kaua‘i County","PopDensity.Thousands",0.483212246205556,0.238932690931746
2012,"Kaua‘i County","Pounds.Thousands1000",17.8853278836667,5.61970867759551
2012,"Kaua‘i County","RecFshTrps1000",24.9505011432222,10.0618298219133
2012,"Maui County","CommPermits1000",3.095797595,0.496693202545311
2012,"Maui County","Dealers1000",0.587129627230769,0.260526351354973
2012,"Maui County","Dollars.Thousands1000",32.5261511812338,9.40936032489565
2012,"Maui County","PCTWaterCover",40.0871194954286,5.43195837482238
2012,"Maui County","PopDensity.Thousands",0.795456693096077,0.41860124885566
2012,"Maui County","Pounds.Thousands1000",9.59991387869231,2.83935397972602
2012,"Maui County","RecFshTrps1000",17.0364976520769,6.47511010954391
2013,"Hawai‘i County","CommPermits1000",4.02009494141667,0.636393395456275
2013,"Hawai‘i County","Dealers1000",0.16783149625,0.0462830528573848
2013,"Hawai‘i County","Dollars.Thousands1000",41.2141339663543,10.6402773239859
2013,"Hawai‘i County","PCTWaterCover",22.46220954775,3.44909063900919
2013,"Hawai‘i County","PopDensity.Thousands",0.0551486274834167,0.0139227318187196
2013,"Hawai‘i County","Pounds.Thousands1000",14.280855164725,3.32195497636014
2013,"Hawai‘i County","RecFshTrps1000",9.08840401883333,7.70009734578108
2013,"Honolulu County","CommPermits1000",1.27857198028571,0.23456354836664
2013,"Honolulu County","Dealers1000",0.0413396834285714,0.012591801974715
2013,"Honolulu County","Dollars.Thousands1000",61.1850855560245,19.7452835412706
2013,"Honolulu County","PCTWaterCover",48.6642117312857,10.9069350146861
2013,"Honolulu County","PopDensity.Thousands",1.49235594702857,0.555729514471808
2013,"Honolulu County","Pounds.Thousands1000",15.143286435,4.59121802857156
2013,"Honolulu County","RecFshTrps1000",8.20996188571429,5.67659591607333
2013,"Kaua‘i County","CommPermits1000",4.12185080855556,0.623489931220877
2013,"Kaua‘i County","Dealers1000",0.468548285555556,0.144495225173994
2013,"Kaua‘i County","Dollars.Thousands1000",51.1085663739888,13.2380028281574
2013,"Kaua‘i County","PCTWaterCover",49.52521656,6.39228788483001
2013,"Kaua‘i County","PopDensity.Thousands",0.484351599135556,0.244330510480154
2013,"Kaua‘i County","Pounds.Thousands1000",17.2232978006667,4.04898346081185
2013,"Kaua‘i County","RecFshTrps1000",23.2528752088889,10.3033412322467
2013,"Maui County","CommPermits1000",2.95779429907692,0.596942043593103
2013,"Maui County","Dealers1000",0.529619381230769,0.194496077335926
2013,"Maui County","Dollars.Thousands1000",30.7240699808347,8.81977234372819
2013,"Maui County","PCTWaterCover",40.0870260495,5.43193372667095
2013,"Maui County","PopDensity.Thousands",0.802976098733077,0.422211923756306
2013,"Maui County","Pounds.Thousands1000",7.82334122384615,2.25587786163074
2013,"Maui County","RecFshTrps1000",20.8623137135385,8.38114716234941
2014,"Hawai‘i County","CommPermits1000",3.78227068891667,0.625344431163316
