"","Year","County","BoatLaunches1000","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000"
"1",2010,"Hawaii County",1.25,11736.7750174167,23108.9675619167,0.229383395,4.18427019366667,11.6134509385
"2",2011,"Hawaii County",0.118,12408.010939325,25834.7107101,0.176495687583333,3.75607893666667,10.6970669885833
"3",2012,"Hawaii County",1.25,16111.784173375,41911.4820880833,0.17298494325,3.95776616825,9.47062043491667
"4",2013,"Hawaii County",1.25,14280.855164725,36903.3211808333,0.16783149625,4.02009494141667,9.08840401883333
"5",2014,"Hawaii County",1.25,14132.27778125,37149.7116203333,0.154481819583333,3.78227068891667,10.2982772359167
"6",2015,"Hawaii County",1.25,15088.5199435417,45074.05045975,0.165975014166667,3.61250573158333,10.2447007276667
"7",2016,"Hawaii County",1.25,13463.019459425,37652.3873125833,0.133607691416667,3.49218686758333,7.25851459325
"8",2017,"Hawaii County",1.25,10780.2561846693,34133.2862111174,0.117138133171429,2.99599655532942,9.94478448508333
"9",2018,"Hawaii County",1.25,8109.41957008333,27720.4482773333,0.1481503865,2.74703338666667,9.66984315616667
"10",2010,"Honolulu County",3.28571428571429,15349.0440255714,49003.5312214286,0.0330598955714286,1.18786748871429,9.93283021057143
"11",2011,"Honolulu County",0.0704285714285714,15194.8229271429,50931.7243342857,0.0315969502857143,1.21755338942857,9.45214401614286
"12",2012,"Honolulu County",3.28571428571429,14931.1227545714,58597.7566385714,0.0389727427142857,1.34023519157143,8.63852621242857
"13",2013,"Honolulu County",3.28571428571429,15143.286435,54785.4011828571,0.0413396834285714,1.27857198028571,8.20996188571429
"14",2014,"Honolulu County",3.28571428571429,15085.6049038571,48714.1089371429,0.0398703424285714,1.15956533042857,7.96252615342857
"15",2015,"Honolulu County",3.28571428571429,15606.3440382857,51781.53432,0.0466109385714286,1.16787226171429,9.48115140985714
"16",2016,"Honolulu County",3.28571428571429,14439.3977882857,52486.6753728571,0.0411006414285714,1.02041845371429,7.696054516
"17",2017,"Honolulu County",3.28571428571429,13615.7550318291,47415.0514007363,0.0318578756773217,0.964477701035977,5.96357700957143
"18",2018,"Honolulu County",3.28571428571429,11870.6662248571,43622.9346314286,0.0329285714285714,0.890212438428571,4.38527598428571
"19",2010,"Kauai County",1.33333333333333,18131.181558,39705.3951687778,0.457479616111111,3.63942773033333,25.6438905508889
"20",2011,"Kauai County",0.201666666666667,12483.6337193333,23448.0421926667,0.496986668444444,3.79546746811111,24.2491859318889
"21",2012,"Kauai County",1.33333333333333,17885.3278836667,38166.3878516667,0.439474345222222,3.94776711633333,24.9505011432222
"22",2013,"Kauai County",1.33333333333333,17223.2978006667,45762.8405228889,0.468548285555556,4.12185080855556,23.2528752088889
"23",2014,"Kauai County",1.33333333333333,16896.9164875556,47638.8896122222,0.443761464555556,4.17603884833333,24.041687256
"24",2015,"Kauai County",1.33333333333333,13310.6343581111,33214.4543106667,0.419735646555556,4.08653913144444,22.0381780435556
"25",2016,"Kauai County",1.33333333333333,13288.7507745556,29529.7446388889,0.368826947444444,3.89700355333333,17.3726790304444
"26",2017,"Kauai County",1.33333333333333,10858.4729896705,29521.9434668938,0.37988803923346,3.53410300723894,23.1307500756667
"27",2018,"Kauai County",1.33333333333333,10889.0270536667,29132.0844794444,0.35395524,2.92002733888889,23.0459612855556
"28",2010,"Maui County",0.923076923076923,7105.99285653846,17165.6341865231,0.563803758384615,3.10274118353846,16.6701978826154
"29",2011,"Maui County",0.136307692307692,6757.06940384615,17460.0268032308,0.568684228692308,2.99630721730769,17.7636540140769
"30",2012,"Maui County",0.923076923076923,9599.91387869231,28623.4309478462,0.587129627230769,3.095797595,17.0364976520769
"31",2013,"Maui County",0.923076923076923,7823.34122384615,27510.4706412308,0.529619381230769,2.95779429907692,20.8623137135385
"32",2014,"Maui County",0.923076923076923,10277.1973750769,31764.4588042308,0.531718048307692,3.04946126230769,19.7236421507692
"33",2015,"Maui County",0.923076923076923,9806.46180315385,32786.9092030769,0.485878342846154,2.88733281146154,21.3054517213077
"34",2016,"Maui County",0.923076923076923,9854.28631469231,26152.1719598462,0.442208392538462,2.72502528261538,14.9004044381538
"35",2017,"Maui County",0.923076923076923,6787.49381310334,28069.4370921343,0.532143825866212,2.04494838329333,11.9315697266923
"36",2018,"Maui County",0.923076923076923,6109.01565295385,24207.3960546154,0.588244862615385,2.13584170876923,16.5111164640769
